"FIPS","MS_ID"
21141,1030
36081,1835
34017,1749
34019,1750
21147,1033
21195,1057
21127,1023
36009,1799
22109,1134
22031,1095
12121,352
22071,1115
22117,1138
22065,1112
12007,295
22035,1097
36111,1850
22037,1098
24019,1168
24001,1160
24015,1166
24013,1165
24029,1173
25011,1189
1121,61
1109,55
26099,1247
26029,1212
1115,58
1063,32
1035,18
26071,1233
27011,1286
27027,1294
27119,1340
27077,1319
27075,1318
27173,1367
28021,1378
28009,1372
29113,1506
30081,1605
30085,1607
30005,1567
31061,1651
31103,1672
32033,1729
33007,1734
34033,1757
35017,1771
35007,1766
35055,1791
35039,1783
37019,1866
37119,1916
37137,1925
37049,1881
37141,1927
37029,1871
37053,1883
37121,1917
37175,1944
38085,1999
38105,2009
40089,2142
40065,2130
40113,2154
41007,2178
1097,49
1053,27
1023,12
1113,57
1107,54
1049,25
4012,74
5091,128
5107,136
5041,103
6025,170
6087,201
6097,206
6045,180
6023,169
6057,186
8023,228
9007,283
10003,289
10001,288
12037,309
12123,353
12057,319
12109,346
17197,660
12033,307
12129,356
12079,330
12031,306
13127,421
13039,378
13143,429
13245,479
17125,624
16049,542
16079,557
17041,582
18089,708
19111,811
19045,778
19131,821
34001,1741
20091,900
37193,1953
37065,1889
37167,1940
37057,1885
37159,1936
37087,1900
37163,1938
37107,1910
37085,1899
37173,1943
37091,1902
38037,1975
39047,2033
40145,2170
40039,2117
41003,2176
42003,2212
42091,2256
42031,2226
42005,2213
42023,2222
45035,2300
45071,2318
45089,2327
45027,2296
46115,2385
46075,2365
46071,2363
47185,2487
47029,2409
47089,2439
47003,2396
47049,2419
48005,2492
48225,2602
48373,2676
48473,2726
48441,2710
48055,2517
42055,2238
42071,2246
42125,2273
42089,2255
44005,2280
45013,2289
45051,2308
45083,2324
45045,2305
45073,2319
45025,2295
47123,2456
47009,2399
48355,2667
48273,2626
48489,2734
48377,2678
48465,2722
48321,2650
48037,2508
49005,2746
49043,2765
50017,2781
51105,2838
51141,2854
51191,2877
51095,2833
51159,2862
51181,2873
51165,2865
53055,2947
53031,2935
53015,2927
53053,2946
53061,2950
53019,2929
54059,2988
54063,2990
54103,3010
55075,3051
55003,3015
55051,3039
4009,72
5039,102
5045,105
5095,130
5019,92
5025,95
5099,132
6107,211
6069,192
6009,162
6103,209
8013,222
8059,246
8035,234
8117,275
8093,263
12069,325
12133,358
13185,450
13179,447
13321,517
13009,363
13121,418
13261,487
13079,397
13107,411
13319,516
13075,395
13019,368
13237,475
13309,511
13201,458
16029,532
16085,560
18067,697
18169,748
19069,790
20205,957
20149,929
20145,927
21151,1035
21125,1022
21107,1013
21155,1037
21071,995
21115,1017
21049,984
21131,1025
21069,994
21079,999
22043,1101
22005,1082
22127,1143
22099,1129
22013,1086
22083,1121
24027,1172
25015,1191
26129,1262
26135,1265
27139,1350
27129,1345
28137,1436
28051,1393
28105,1420
29085,1492
29157,1528
29039,1469
29195,1546
30039,1584
30023,1576
30093,1611
31093,1667
31115,1678
31005,1623
32001,1714
35043,1785
35021,1773
31171,1706
6089,202
10005,290
12071,326
12103,343
12075,328
12086,334
12009,296
12045,313
12029,305
17043,583
17035,579
12089,336
17017,570
13027,372
17161,642
1089,45
1071,36
4027,82
4001,68
4005,70
5131,148
5133,149
4025,81
5015,90
5139,152
5093,129
5121,143
6073,194
6059,187
6053,184
6027,171
6001,158
6051,183
6015,165
8067,250
8123,278
8107,270
9011,285
8033,233
29189,1545
30003,1566
30083,1606
30071,1600
30051,1590
30035,1582
30105,1617
30057,1593
30029,1579
31049,1645
32003,1715
33009,1735
36031,1810
36115,1852
37031,1872
37113,1913
37039,1876
37055,1884
37013,1863
37171,1942
37139,1926
37177,1945
37115,1914
37155,1934
37009,1861
38017,1965
38035,1974
38067,1990
39161,2090
39123,2071
40013,2104
40057,2126
41019,2184
41045,2197
41065,2207
41001,2175
41049,2199
42133,2277
42101,2261
42111,2266
45019,2292
45003,2284
45021,2293
46127,2391
47065,2427
47111,2450
13105,410
17129,626
13313,513
17039,581
48001,2490
48475,2727
48053,2516
48073,2526
48241,2610
48411,2695
48051,2515
48235,2607
48119,2549
48407,2693
48161,2570
48155,2567
48435,2707
49049,2768
49051,2769
49029,2758
49015,2751
49013,2750
51157,2861
51087,2829
51630,2894
51085,2828
51125,2847
51139,2853
51179,2872
51003,2788
51530,2884
53021,2930
54083,3000
54087,3002
48245,2612
48277,2628
49047,2767
50009,2777
51001,2787
51193,2878
51119,2845
51185,2875
51069,2820
51107,2839
51153,2859
51059,2815
51195,2879
51057,2814
53073,2956
53067,2953
53071,2955
53045,2942
53029,2934
54099,3008
54047,2982
54107,3012
54037,2977
54071,2994
54075,2996
55043,3035
55009,3018
55037,3032
56041,3106
56003,3087
4021,79
4007,71
5011,88
5073,119
5103,134
5085,125
5057,111
5109,137
6007,161
6067,191
6063,189
6105,210
6011,163
6047,181
6101,208
8005,218
8043,238
8109,271
8029,231
8057,245
8091,262
8111,272
16069,552
16041,538
16083,559
16033,534
16073,554
17003,563
17185,654
18129,728
18019,673
18111,719
18147,737
18123,725
20033,871
19163,837
34007,1744
34025,1753
34039,1760
34013,1747
20175,942
36053,1821
36017,1803
36005,1797
36065,1827
34027,1754
34041,1761
34031,1756
36013,1801
36119,1854
36077,1833
36105,1847
21059,989
21139,1029
34035,1758
36091,1840
21135,1027
36067,1828
22087,1123
22051,1105
22017,1088
12083,332
22019,1089
23013,1150
12023,303
23003,1145
23017,1152
12117,350
24039,1178
24017,1167
24045,1181
24047,1182
24043,1180
24021,1169
24005,1162
24031,1174
24033,1175
24011,1164
25023,1195
25001,1184
1073,37
1009,5
26089,1242
1095,48
1087,44
26047,1221
1101,51
26141,1268
1085,43
26153,1274
1091,46
1001,1
27137,1349
27031,1296
27089,1325
28113,1424
28055,1395
28095,1415
28093,1414
29023,1461
19087,799
19117,814
19127,819
19009,760
20123,916
20053,881
20135,922
21123,1021
21067,993
21209,1064
21029,974
21017,968
21013,966
21217,1068
21179,1049
21033,976
21099,1009
21097,1008
21167,1043
21109,1014
21121,1020
21043,981
21229,1074
21027,973
21189,1054
22045,1102
47147,2468
47025,2407
47155,2472
47073,2431
47051,2420
48071,2525
48061,2520
48215,2597
48007,2493
48409,2694
48323,2651
48039,2509
48141,2560
48067,2523
48387,2683
48205,2592
46125,2390
46055,2355
47149,2469
47031,2410
47053,2421
47059,2424
47063,2426
47119,2454
47035,2412
47037,2413
47173,2481
47041,2415
47175,2482
47033,2411
47135,2462
47121,2455
48453,2716
48029,2504
48471,2725
48185,2582
48349,2664
48491,2735
48401,2690
48499,2739
48459,2719
48223,2601
48481,2730
48469,2724
48467,2723
48103,2541
48089,2534
48115,2547
48371,2675
48395,2687
48127,2553
48333,2656
48171,2575
48237,2608
48383,2681
48269,2624
22015,1087
22055,1107
22097,1128
22073,1116
22001,1080
22039,1099
22021,1090
22081,1120
22041,1100
26095,1245
27013,1287
27021,1291
27103,1332
27121,1341
27061,1311
27023,1292
28121,1428
28069,1402
28029,1382
28089,1412
28007,1371
28043,1389
29019,1459
29049,1474
29041,1470
30063,1596
30013,1571
30043,1586
30049,1589
30045,1587
30015,1572
30055,1592
30073,1601
31183,1712
31159,1700
31091,1666
32015,1721
35051,1789
35011,1768
8053,243
37183,1948
37147,1930
37023,1868
38003,1958
12097,340
12013,298
12093,338
12041,311
13135,425
13033,375
13209,461
13271,492
13113,414
13139,427
13153,434
13189,452
13151,433
13013,365
13021,369
13029,373
13233,473
13279,496
13163,439
13269,491
13263,488
13025,371
16039,537
16063,549
16037,536
16043,539
16003,519
18157,742
18027,677
18013,670
42063,2242
42035,2228
42033,2227
42067,2244
45015,2290
45055,2310
45085,2325
45075,2320
45087,2326
45031,2298
45061,2313
45005,2285
12107,345
22029,1094
22107,1133
22111,1135
22123,1141
22103,1131
23015,1151
12001,292
24037,1177
24041,1179
25005,1186
1043,22
1051,26
1055,28
26055,1225
1047,24
27167,1364
27071,1316
27069,1315
1025,13
28109,1422
28149,1442
28033,1384
29095,1497
29201,1549
29037,1468
30041,1585
30009,1569
33015,1738
35045,1786
35029,1778
51171,2868
51187,2876
51161,2863
51007,2790
51081,2826
51031,2802
51111,2841
54081,2999
54067,2992
54007,2962
55001,3014
38031,1972
38059,1986
39149,2084
39069,2044
39073,2046
40075,2135
40143,2169
40151,2173
40117,2156
40077,2136
41033,2191
41061,2205
41031,2190
42099,2260
42051,2236
39095,2057
37047,1880
37043,1878
37133,1923
37131,1922
38099,2006
39061,2040
39167,2093
39035,2027
40095,2145
40135,2165
41051,2200
42059,2240
42095,2258
42127,2274
45053,2309
45069,2317
47165,2477
47013,2401
48261,2620
48479,2729
48167,2573
48361,2670
49033,2760
51143,2855
51117,2844
51035,2804
51051,2812
51199,2881
51103,2837
53057,2948
53011,2925
53005,2922
53047,2943
54003,2960
5063,114
5147,156
5029,97
5097,131
5013,89
6039,177
6077,196
6021,168
49011,2749
51093,2832
51127,2848
51029,2801
51121,2846
51015,2794
51047,2810
51147,2857
51175,2870
51009,2791
51063,2817
51113,2842
51137,2852
51036,2805
51097,2834
51678,2899
53025,2932
53043,2941
54093,3005
54025,2971
54005,2961
54039,2978
54045,2981
54049,2983
54085,3001
54001,2959
54041,2979
55111,3070
55057,3042
55077,3052
56035,3103
1003,2
1005,3
5081,123
6037,176
6079,197
6003,159
6061,188
8077,255
9001,280
11001,291
12099,341
17097,610
12131,357
12039,310
17121,622
13215,464
13251,482
13241,477
13049,382
17153,638
19189,850
34023,1752
20025,867
36075,1832
36071,1830
36025,1807
21111,1015
22057,1108
22119,1139
18007,667
8031,232
8015,224
8065,249
12055,318
12077,329
13067,391
13317,515
13311,512
13267,490
13283,498
13305,509
13123,419
13219,466
16025,530
16077,556
18175,751
18069,698
18125,726
19141,826
20161,935
20069,889
20093,901
21031,975
21003,961
21011,965
21205,1062
21203,1061
22047,1103
22079,1119
22077,1118
22091,1125
23021,1154
23007,1147
26113,1254
28163,1449
28161,1448
29027,1463
29057,1478
29033,1466
29029,1464
30077,1603
30027,1578
30087,1608
31035,1638
37027,1870
37127,1920
37101,1907
37021,1867
37153,1933
37111,1912
37199,1956
38005,1959
38055,1984
39091,2055
41017,2183
42027,2224
42029,2225
42075,2248
42097,2259
45079,2322
45077,2321
45067,2316
46103,2380
46023,2339
47081,2435
47057,2423
47159,2474
47145,2467
47091,2440
47019,2404
48343,2661
48035,2507
48175,2577
48461,2720
48449,2714
48353,2666
48327,2653
48447,2713
48301,2640
49017,2752
49007,2747
49001,2744
38071,1992
38053,1983
40027,2111
40087,2141
40137,2166
40125,2160
13249,481
17047,585
12065,323
13191,453
13051,383
13103,409
5021,93
6071,193
6081,198
6017,166
8071,252
8095,264
32031,1728
37095,1904
37149,1931
38079,1996
40141,2168
40023,2109
42045,2233
45029,2297
45043,2304
47069,2429
47079,2434
16081,558
16007,521
18083,705
26003,1199
1099,50
28151,1443
29183,1541
35031,1779
39043,2031
42017,2219
48427,2703
53009,2924
5037,101
8001,216
13315,514
16015,525
20057,883
21193,1056
22115,1137
22025,1092
31001,1621
37017,1865
41047,2198
42041,2231
47093,2441
48339,2659
48289,2634
48063,2521
51109,2840
51017,2795
9003,281
4015,76
5017,91
6041,178
30001,1565
37129,1921
41043,2196
41023,2186
51167,2866
51019,2796
51067,2819
51053,2813
51145,2856
51075,2823
53037,2938
54033,2975
54043,2980
1069,35
5003,84
6085,200
8083,258
12101,342
13181,448
34015,1748
36103,1846
36045,1817
36113,1851
23031,1159
24003,1161
28157,1446
30089,1609
37015,1864
40067,2131
42103,2262
44009,2282
46123,2389
47151,2470
48389,2684
36059,1824
36061,1825
36047,1818
21007,963
34011,1746
22101,1130
22011,1085
12119,351
22125,1142
23005,1146
23027,1157
23025,1156
6091,203
25025,1196
25027,1197
1117,59
26041,1218
26083,1239
26163,1279
26063,1229
26109,1252
27163,1362
28001,1368
28087,1411
28143,1439
29013,1456
29069,1484
29099,1499
19041,776
20097,903
21065,992
21197,1058
21153,1036
