zone;sum
0.0;700722142352.376
1.0;7174750208.0
2.0;18350298368.0
3.0;12067437982.375
4.0;10820551680.0
5.0;7008427136.0
6.0;8558406912.0
7.0;12729037824.0
8.0;7623792640.0
9.0;9623194112.0
10.0;6485748032.0
11.0;9672545152.0
12.0;15429687808.0
13.0;19303024760.0
14.0;9661352960.0
15.0;9246492412.0
16.0;7608081452.0
17.0;6064498176.0
18.0;12205466880.0
19.0;11266151424.0
20.0;14032452608.0
21.0;8877327104.0
22.0;7076930560.0
23.0;6548237344.0
24.0;11848684544.0
25.0;6731340800.0
26.0;8281986688.0
27.0;10969812800.0
28.0;6041896448.0
29.0;10044147952.0
30.0;7954815488.0
31.0;5376583680.0
32.0;8741679616.0
33.0;7926767232.0
34.0;5671874176.0
35.0;4159280128.0
36.0;12488692568.0
37.0;14729543680.0
38.0;9339794944.0
39.0;5384705280.0
40.0;6316718972.0
41.0;8413258592.0
42.0;3325179572.0
43.0;8126936832.0
44.0;8309633024.0
45.0;6094751812.0
46.0;12494044096.0
47.0;10683948032.0
48.0;5288707264.0
49.0;14219973440.0
50.0;14128122880.0
51.0;7267961344.0
52.0;4899193760.0
53.0;10072953536.0
54.0;13898494976.0
55.0;8828989304.0
56.0;8015810326.96875
57.0;8293274624.0
58.0;8432354176.0
59.0;10763706624.0
60.0;12172406912.0
61.0;9670248704.0
62.0;12385912192.0
63.0;20493004288.0
64.0;11287463872.0
65.0;18066514112.0
66.0;13211169024.0
67.0;9497263360.0
68.0;20060148239.75
69.0;2914150672.0
70.0;35472684332.0
71.0;15969350208.0
72.0;5411967392.0
73.0;6264232274.0
74.0;575481712.0
75.0;2722114536.75
76.0;6191428585.0
77.0;7902490335.375
78.0;2052497063.875
79.0;2112384512.0
80.0;754375914.0
81.0;11186183422.0
82.0;809513080.875
83.0;7306559296.0
84.0;12179664256.0
85.0;6175032320.0
86.0;6110995456.0
87.0;4529393152.0
88.0;10411165312.0
89.0;10463081472.0
90.0;5798071488.0
91.0;2204809728.0
92.0;14131414528.0
93.0;2708845440.0
94.0;7190240768.0
95.0;10355719168.0
96.0;12768712960.0
97.0;5367223247.875
98.0;2439987776.0
99.0;8592873472.0
100.0;1433332960.0
101.0;2284284176.0
102.0;10756301440.0
103.0;4114838976.0
104.0;11636185344.0
105.0;5021230848.0
106.0;8189675776.0
107.0;4971767808.0
108.0;13036741184.0
109.0;11448150400.0
110.0;2597848640.0
111.0;8675667988.0
112.0;10280725680.0
113.0;8444712704.0
114.0;7218705280.0
115.0;6167435616.0
116.0;2419871988.0
117.0;6896120636.0
118.0;11165449216.0
119.0;6779886336.0
120.0;3176729726.5
121.0;2579557248.0
122.0;4953129936.0
123.0;6084943552.0
124.0;8670103744.0
125.0;3652096544.0
126.0;11393263808.0
127.0;6066236160.0
128.0;4704147584.0
129.0;1861244608.0
130.0;5318374844.0
131.0;17956372736.0
132.0;9586664448.0
133.0;14172478720.0
134.0;11572341760.0
135.0;9015065520.0
136.0;2806628864.0
137.0;10573699933.0
138.0;2622390272.0
139.0;16921248640.0
140.0;11947958272.0
141.0;4171874896.0
142.0;8392041984.0
143.0;5519045632.0
144.0;2714831536.0
145.0;12629996288.0
146.0;17638721024.0
147.0;7560002240.0
148.0;4013701504.0
149.0;8082098688.0
150.0;6542005308.0
151.0;7751417600.0
152.0;17102974624.0
153.0;10406914432.0
154.0;9326109440.0
155.0;8862828575.859375
156.0;3282661104.0
157.0;15593551616.0
158.0;3315168048.0
159.0;6355466240.0
160.0;6571069600.0
161.0;20671257728.0
162.0;12448335853.96875
163.0;6328872448.0
164.0;3514483536.0
165.0;26279000832.0
166.0;30178472192.0
167.0;29616208002.1875
168.0;9372819362.519531
169.0;85040310272.0
170.0;933073495.625
171.0;2056406597.0
172.0;19123192484.9375
173.0;1723026304.0
174.0;20151380992.0
175.0;27486795196.0
176.0;13289088652.0625
177.0;13622688192.0
178.0;5011258784.0
179.0;14771147264.0
180.0;72860494080.0
181.0;3601635576.0
182.0;20856334352.0
183.0;6003805868.0
184.0;18667379376.0
185.0;8401670586.25
186.0;16414876672.0
187.0;2140385036.0
188.0;21734535306.0
189.0;40936430822.0
190.0;5796968907.5
191.0;2224590592.0
192.0;5876767616.0
193.0;6663223711.744141
194.0;10275231418.5
195.0;152844208.0
196.0;4037539740.0
197.0;13806792832.0
198.0;5701915392.0
199.0;15720643922.84375
200.0;10166736402.75
201.0;7703007488.0
202.0;61045924154.0
203.0;15183892736.0
204.0;95667868996.875
205.0;2107126230.5
206.0;20900928792.0
207.0;4595608066.0
208.0;1876331552.0
209.0;27198952960.0
210.0;66859636832.0
211.0;29829095688.632812
212.0;26488185344.0
213.0;10096256641.875
214.0;3520289040.0
215.0;6744643016.0
216.0;556352936.0
217.0;473437024.0
218.0;400808148.0
219.0;9424005692.0
220.0;818354176.0
221.0;312253652.5
222.0;3744940960.0
223.0;21015106.0
224.0;3598115968.0
225.0;640593740.0
226.0;2448521472.0
227.0;4080479856.0
228.0;2713089904.0
229.0;142705068.0
230.0;2851363840.0
231.0;4248608624.0
232.0;135857408.0
233.0;5848023040.0
234.0;2713246995.28125
235.0;10283839488.0
236.0;701771336.0
237.0;3159599239.0
238.0;4984777302.0
239.0;13306363264.0
240.0;1222412032.0
241.0;10191831168.0
242.0;18156500696.0
243.0;6196530688.0
244.0;3684731408.0
245.0;7035349760.0
246.0;3579513070.7460938
247.0;492294976.0
248.0;1245327502.0
249.0;1961534176.0
250.0;7556083598.0
251.0;13455703412.0
252.0;6121251400.0
253.0;641980771.0
254.0;883128537.75
255.0;10256699392.0
256.0;5029563520.0
257.0;4673731929.0
258.0;5679383156.0
259.0;5210886430.75
260.0;732176033.0
261.0;301850017.75
262.0;2642792768.0
263.0;7606331648.0
264.0;691211496.0
265.0;6348268800.0
266.0;476601549.25
267.0;1399218658.59375
268.0;10986798852.0
269.0;3170807580.5
270.0;14291238784.0
271.0;9940806152.0
272.0;1939661440.0
273.0;4001105771.0
274.0;412270112.0
275.0;3391809216.0
276.0;3058745984.0
277.0;1090775382.0
278.0;2165658432.0
279.0;1829922749.0
280.0;8801723136.0
281.0;8353440170.875
282.0;14608250880.0
283.0;4909862912.0
284.0;7600104288.0
285.0;8437157888.0
286.0;4923859328.0
287.0;6461027840.0
288.0;3404760320.0
289.0;2743623936.0
290.0;7388864768.0
291.0;440333888.0
292.0;11785496576.0
293.0;10841552384.0
294.0;9687524384.0
295.0;4720670720.0
296.0;5419140608.0
297.0;2681268480.0
298.0;8240353280.0
299.0;2922068224.0
300.0;4982867968.0
301.0;8325461760.0
302.0;16861840472.0
303.0;12390651392.0
304.0;1891464704.0
305.0;11631904608.0
306.0;9490559104.0
307.0;6293969408.0
308.0;6462798848.0
309.0;10117983104.0
310.0;8015244181.625
311.0;3729958912.0
312.0;3834065408.0
313.0;9343745280.0
314.0;6992519232.0
315.0;2351228736.0
316.0;4669121138.0
317.0;4260326400.0
318.0;3400570048.0
319.0;5939089582.625
320.0;6081722368.0
321.0;2366126009.5
322.0;8735627008.0
323.0;9465024896.0
324.0;8724252544.0
325.0;8198102912.0
326.0;3421979904.0
327.0;9980892992.0
328.0;13843655264.0
329.0;14644319232.0
330.0;9565876480.0
331.0;2875892096.0
332.0;16411822080.0
333.0;2008478316.0
334.0;4130272576.0
335.0;5016298735.5
336.0;10243819776.0
337.0;10198727680.0
338.0;2126033600.0
339.0;5825316544.0
340.0;7016394960.0
341.0;10010886312.0
342.0;5663548896.5
343.0;1286518944.25
344.0;10427157120.0
345.0;9258855488.0
346.0;8393981664.0
347.0;1670487648.0
348.0;10595583968.0
349.0;2691596544.0
350.0;2216294432.0
351.0;5123063168.0
352.0;7224463867.125
353.0;16301718112.0
354.0;3941316608.0
355.0;12213568998.0
356.0;10938756096.0
357.0;12962004320.0
358.0;7636052448.0
359.0;5915701248.0
360.0;4781664624.0
361.0;3185278984.0
362.0;2856987392.0
363.0;3956618368.0
364.0;3040837632.0
365.0;1536569216.0
366.0;6360686464.0
367.0;2934295808.0
368.0;5190089472.0
369.0;2739598592.0
370.0;1906616948.0
371.0;6289968640.0
372.0;5129250304.0
373.0;6895434768.0
374.0;7235857920.0
375.0;8504354560.0
376.0;2712548672.0
377.0;2716190792.0
378.0;9050213510.0
379.0;2361830656.0
380.0;6499200576.0
381.0;1605049408.0
382.0;13493681152.0
383.0;3609053856.0
384.0;3262808208.0
385.0;4466524382.0
386.0;7536547584.0
387.0;1347319936.0
388.0;2294376256.0
389.0;1335789554.0
390.0;14969700864.0
391.0;4348622336.0
392.0;6488849952.0
393.0;4714836352.0
394.0;3957746048.0
395.0;1989248128.0
396.0;6691726336.0
397.0;4340674048.0
398.0;1880333970.0
399.0;2223910912.0
400.0;4341129472.0
401.0;6494773822.0
402.0;3153562464.0
403.0;5605083648.0
404.0;2962282496.0
405.0;3375827456.0
406.0;2710971136.0
407.0;4611096320.0
408.0;7885812480.0
409.0;6939978240.0
410.0;4269943168.0
411.0;8106421248.0
412.0;2201079708.0
413.0;7918627648.0
414.0;2599957740.0
415.0;7041606528.0
416.0;2846999402.0
417.0;2525976128.0
418.0;6901173376.0
419.0;8803090432.0
420.0;2209433344.0
421.0;4989010580.0
422.0;4218001152.0
423.0;5234485248.0
424.0;6566664896.0
425.0;4610565120.0
426.0;4601495040.0
427.0;5289978176.0
428.0;8171281920.0
429.0;4441976677.9375
430.0;7425051136.0
431.0;1838885760.0
432.0;5097505280.0
433.0;3509647168.0
434.0;3773902800.0
435.0;3078790912.0
436.0;3626567680.0
437.0;6233148160.0
438.0;4016432128.0
439.0;6227522880.0
440.0;3625677824.0
441.0;3557310720.0
442.0;6572829024.0
443.0;2328793856.0
444.0;2693800704.0
445.0;9489066720.0
446.0;3099354624.0
447.0;7293993088.0
448.0;2764402176.0
449.0;6341722496.0
450.0;6473777152.0
451.0;5823236342.0
452.0;3637591296.0
453.0;5605489120.0
454.0;4464434944.0
455.0;2887914016.0
456.0;4422105264.0
457.0;8221209600.0
458.0;1736605696.0
459.0;3935108608.0
460.0;5974616064.0
461.0;3214294720.0
462.0;4878091072.0
463.0;5334034944.0
464.0;2488382720.0
465.0;3572823296.0
466.0;2168448256.0
467.0;6696115744.0
468.0;4750685184.0
469.0;1132514432.0
470.0;4287862784.0
471.0;4358033894.0
472.0;2577094272.0
473.0;4159123360.0
474.0;2231426944.0
475.0;5477367392.0
476.0;2412892160.0
477.0;8105434403.0
478.0;5127087866.0
479.0;3310773856.0
480.0;1610842496.0
481.0;2336772352.0
482.0;7303313024.0
483.0;1470396256.0
484.0;2356137566.0
485.0;2726327353.5818176
486.0;6908017548.875
487.0;4760528384.0
488.0;6487381504.0
489.0;3412658176.0
490.0;5333377152.0
491.0;4126659104.0
492.0;5785052160.0
493.0;3245417472.0
494.0;5829839616.0
495.0;1955702656.0
496.0;4010401024.0
497.0;3079380736.0
498.0;2599555360.0
499.0;6356032000.0
500.0;2269732608.0
501.0;5358350976.0
502.0;5964287136.0
503.0;4720861376.0
504.0;5591716480.0
505.0;3901006848.0
506.0;12761237936.0
507.0;4592939008.0
508.0;9892883712.0
509.0;9004884992.0
510.0;2476386688.0
511.0;4011924150.25
512.0;4507272704.0
513.0;3395717888.0
514.0;3704200288.0
515.0;6913827840.0
516.0;6801116160.0
517.0;5002255552.0
518.0;829715416.0
519.0;13592617408.0
520.0;3242284437.75
521.0;3210147521.0
522.0;12306356564.0
523.0;2864919008.0
524.0;6702508462.0
525.0;17064777728.0
526.0;36408486528.0
527.0;7669771520.0
528.0;27123782528.0
529.0;2403218912.0
530.0;3640603732.123047
531.0;865005586.0
532.0;7753415808.0
533.0;3651083352.0
534.0;3639777298.875
535.0;50865561600.0
536.0;20061162688.0
537.0;8983602960.0
538.0;2069269664.0
539.0;10800814116.0
540.0;1757796224.0
541.0;528439480.0
542.0;127187184368.0
543.0;651417234.0
544.0;597158820.0
545.0;20687066624.0
546.0;13076153168.0
547.0;30271086464.0
548.0;2086961256.0
549.0;458522359.75
550.0;1472218880.0
551.0;664247788.0
552.0;3727782848.0
553.0;1446896060.0
554.0;6179519734.0
555.0;286268352.0
556.0;2076625103.75
557.0;56780930304.0
558.0;2186428160.0
559.0;1509597218.0
560.0;35107115200.0
561.0;3595187232.0
562.0;3835526144.0
563.0;2103439168.0
564.0;1348163840.0
565.0;608586880.0
566.0;1967111552.0
567.0;2333570604.0
568.0;2232261888.0
569.0;1429915896.0
570.0;1586396576.0
571.0;1913968128.0
572.0;1592857412.0
573.0;2412793768.0
574.0;1599779712.0
575.0;1636994664.0
576.0;1683705472.0
577.0;3878859440.5
578.0;1942666656.0
579.0;1369515904.0
580.0;1354728720.0
581.0;994312168.0
582.0;777672960.0
583.0;1417622344.0
584.0;1578290336.0
585.0;617538436.0
586.0;1754533120.0
587.0;3090665088.0
588.0;778961408.0
589.0;1893197056.0
590.0;4203206796.293701
591.0;1360990728.0
592.0;2439687814.0
593.0;1128107904.0
594.0;1337953408.0
595.0;2855428320.0
596.0;1814521696.0
597.0;1432738816.0
598.0;1847673904.0
599.0;2333901353.0
600.0;4642757760.0
601.0;1571088256.0
602.0;2400508540.734375
603.0;2303912080.0
604.0;2315456768.0
605.0;3145349376.0
606.0;1581244736.0
607.0;1819425567.4570312
608.0;831437952.0
609.0;2504037992.0
610.0;2209818112.0
611.0;2740804350.5
612.0;1317987840.0
613.0;1556261888.0
614.0;1948679564.0
615.0;1275116176.0
616.0;1860764096.0
617.0;1966901184.0
618.0;2325441536.0
619.0;1416285632.0
620.0;3715311424.0
621.0;2970800608.0
622.0;2385627720.0
623.0;1163579392.0
624.0;1641354336.0
625.0;1198568576.0
626.0;867555264.0
627.0;1603049536.0
628.0;1922772496.0
629.0;2253085720.0
630.0;1839048768.0
631.0;724034112.0
632.0;1907423616.0
633.0;2870631168.0
634.0;1836933328.0
635.0;902016456.0
636.0;3973264944.0
637.0;4208246272.0
638.0;990507712.0
639.0;590713920.0
640.0;2885680640.0
641.0;1111658224.0
642.0;1620646656.0
643.0;2781856640.0
644.0;1814497408.0
645.0;2433581568.0
646.0;2548906496.0
647.0;917610496.0
648.0;2294894376.0
649.0;611827193.0
650.0;1260431952.0
651.0;2065252736.0
652.0;3536192896.0
653.0;2374775808.0
654.0;668414976.0
655.0;1360599936.0
656.0;1697112466.0
657.0;1960571648.0
658.0;1416192096.0
659.0;1698296832.0
660.0;2337937886.0
661.0;3041475840.0
662.0;1476258816.0
663.0;1657118080.0
664.0;735287584.0
665.0;2038200768.0
666.0;2674047232.0
667.0;661607680.0
668.0;416986944.0
669.0;993246548.0
670.0;5047641088.0
671.0;1093288032.0
672.0;1377117682.0
673.0;3135387904.0
674.0;2151641856.0
675.0;847077568.0
676.0;3839119472.0
677.0;1620240256.0
678.0;3155597312.0
679.0;1638464320.0
680.0;1178792176.0
681.0;1145164160.0
682.0;3162073498.0
683.0;1616559712.0
684.0;1341735680.0
685.0;1313147392.0
686.0;1506843200.0
687.0;3698636032.0
688.0;1053541792.0
689.0;1673263936.0
690.0;1083945728.0
691.0;4540594528.0
692.0;1169422760.0
693.0;817472032.0
694.0;4152647424.0
695.0;1184342432.0
696.0;1189596256.0
697.0;734620160.0
698.0;1172186560.0
699.0;3913869760.0
700.0;1567837056.0
701.0;871179520.0
702.0;3671833864.0
703.0;3743567744.0
704.0;1343842048.0
705.0;1472102784.0
706.0;1978822912.0
707.0;1395096384.0
708.0;1968767360.0
709.0;2973541632.0
710.0;4178818048.0
711.0;1224022400.0
712.0;2062454630.6484375
713.0;1751052160.0
714.0;4299004928.0
715.0;1123674176.0
716.0;4932186368.0
717.0;1538952640.0
718.0;3425328164.5
719.0;1373767552.0
720.0;1711068416.0
721.0;854131688.0
722.0;4322958848.0
723.0;4361601088.0
724.0;3439053312.0
725.0;4465505792.0
726.0;2652616320.0
727.0;1832475136.0
728.0;1520973017.0
729.0;1386873646.0
730.0;3217969074.0
731.0;972266112.0
732.0;3900073632.0
733.0;1119599712.0
734.0;2032445706.0
735.0;1726917536.0
736.0;1205099008.0
737.0;2003460224.0
738.0;1482750848.0
739.0;1439821248.0
740.0;2447600512.0
741.0;2431990624.0
742.0;1530143872.0
743.0;452904992.0
744.0;801089664.0
745.0;1038085760.0
746.0;1300126472.0
747.0;2462184704.0
748.0;1412284992.0
749.0;1303572608.0
750.0;2546355968.0
751.0;4252136448.0
752.0;1829301696.0
753.0;868358304.0
754.0;1193983016.0
755.0;1081890944.0
756.0;975988778.75
757.0;883966016.0
758.0;3086610336.0
759.0;1829299584.0
760.0;690380288.0
761.0;1616437885.0
762.0;1498441920.0
763.0;1591159296.0
764.0;1203139232.0
765.0;1383979520.0
766.0;1057095360.0
767.0;1286039040.0
768.0;983852192.0
769.0;959664248.0
770.0;918802661.0
771.0;1336364032.0
772.0;992338954.0
773.0;1261839875.0
774.0;1105170428.0
775.0;1409837312.0
776.0;1005992576.0
777.0;3503063688.0
778.0;1723652864.0
779.0;1206810368.0
780.0;1703291904.0
781.0;1715108672.0
782.0;1977335695.0
783.0;1633680128.0
784.0;1897752128.0
785.0;566161332.0
786.0;1971174336.0
787.0;722650694.375
788.0;2112998912.0
789.0;1010511512.0
790.0;1026537856.0
791.0;1126773376.0
792.0;1170330752.0
793.0;890031576.0
794.0;1714101504.0
795.0;1187952384.0
796.0;937773944.0
797.0;1285946289.5
798.0;1714962944.0
799.0;1559293952.0
800.0;976828032.0
801.0;826245824.0
802.0;717980544.0
803.0;1467772985.0
804.0;2161715520.0
805.0;1612008320.0
806.0;1366082560.0
807.0;1791578368.0
808.0;1747355072.0
809.0;1484785864.0
810.0;1824759936.0
811.0;2783060580.0
812.0;2233731072.0
813.0;1319005686.0
814.0;1748602736.0
815.0;912514768.0
816.0;1831641408.0
817.0;1329854944.0
818.0;1778303584.0
819.0;1203237760.0
820.0;1014808640.0
821.0;1023264704.0
822.0;1734420608.0
823.0;1740789632.0
824.0;820641408.0
825.0;1243239104.0
826.0;1014509674.0
827.0;593374553.5
828.0;1018583808.0
829.0;1002727936.75
830.0;1512657792.0
831.0;1098434720.0
832.0;1969460416.0
833.0;1899336400.0
834.0;1109855685.0
835.0;1121659008.0
836.0;1014955520.0
837.0;1257515648.0
838.0;906732480.0
839.0;1375158272.0
840.0;1269738240.0
841.0;1800300536.0
842.0;1133097728.0
843.0;983373760.0
844.0;2440108288.0
845.0;1523313024.0
846.0;1911246752.0
847.0;1554136064.0
848.0;1122439423.5
849.0;1788711424.0
850.0;685470272.0
851.0;2069646000.0
852.0;1688270368.0
853.0;710642336.0
854.0;1047390656.0
855.0;907912448.0
856.0;1180257024.0
857.0;1193430784.0
858.0;1209556352.0
859.0;790023936.0
860.0;1922655872.0
861.0;1004970360.0
862.0;1724257368.0
863.0;720223168.0
864.0;1904939008.0
865.0;1477442688.0
866.0;569675790.0
867.0;360883168.0
868.0;937764672.0
869.0;966601600.0
870.0;973739520.0
871.0;364983216.0
872.0;1471647728.0
873.0;1458737632.0
874.0;658626672.0
875.0;1000608736.0
876.0;1298917096.0
877.0;1646685032.0
878.0;604226072.0
879.0;1235475344.0
880.0;524926680.0
881.0;592878176.0
882.0;1086845136.0
883.0;808211360.0
884.0;1563260544.0
885.0;877719808.0
886.0;690476470.0
887.0;594728256.0
888.0;552317696.0
889.0;905532080.0
890.0;469099810.125
891.0;1518559949.0
892.0;478353883.0
893.0;707369664.0
894.0;798229440.0
895.0;774042432.0
896.0;464640704.0
897.0;1508853840.0
898.0;2075129216.0
899.0;1131679008.0
900.0;2146331054.0
901.0;604581704.0
902.0;877456480.0
903.0;441429584.0
904.0;1261696640.0
905.0;437692400.0
906.0;2281581155.75
907.0;638587744.0
908.0;2485963520.0
909.0;568907058.0
910.0;1081084212.0
911.0;1121659904.0
912.0;958361248.0
913.0;1326524064.0
914.0;664669536.0
915.0;1908587584.0
916.0;723734944.0
917.0;1836411648.0
918.0;699475568.0
919.0;390860156.0
920.0;1041307240.0
921.0;1244281984.0
922.0;543231616.0
923.0;640355264.0
924.0;1473319968.0
925.0;790188928.0
926.0;847631360.0
927.0;635499968.0
928.0;732109852.0
929.0;1591475712.0
930.0;664822720.0
931.0;655691400.0
932.0;1702802704.0
933.0;1057951016.0
934.0;839372832.0
935.0;1482820992.0
936.0;632172464.0
937.0;458288624.0
938.0;588537176.0
939.0;842070464.0
940.0;621094080.0
941.0;1758032808.0
942.0;519852896.0
943.0;1736660356.0
944.0;847969312.0
945.0;801623072.0
946.0;879387648.0
947.0;854113552.0
948.0;609234752.0
949.0;688822472.65625
950.0;1489649024.0
951.0;986095104.0
952.0;502784968.0
953.0;1023949975.5
954.0;477451951.75
955.0;1192508160.0
956.0;571551616.0
957.0;1516707584.0
958.0;917865472.0
959.0;1075251328.0
960.0;3522835456.0
961.0;2403770736.0
962.0;1917986624.0
963.0;1224962816.0
964.0;2145953664.0
965.0;2355698234.5
966.0;6527052832.0
967.0;1868826800.0
968.0;489089728.0
969.0;1936200832.0
970.0;886791526.0
971.0;2196916536.0
972.0;7811281408.0
973.0;4252908032.0
974.0;3201214912.0
975.0;4283893632.0
976.0;2194697984.0
977.0;2358563440.0
978.0;1479352896.0
979.0;915818560.0
980.0;1323522432.0
981.0;5686301184.0
982.0;4799441536.0
983.0;4064566784.0
984.0;1091818400.0
985.0;8231885056.0
986.0;1820681472.0
987.0;2447218353.0
988.0;3943728128.0
989.0;1744762048.0
990.0;3129062272.0
991.0;3548233472.0
992.0;3675506176.0
993.0;879755844.0
994.0;2668480768.0
995.0;5773098304.0
996.0;2085583616.0
997.0;878272366.0
998.0;1035520512.0
999.0;1254427278.0
1000.0;2486643072.0
1001.0;2567381952.0
1002.0;3579676160.0
1003.0;2163860336.0
1004.0;4408690944.0
1005.0;1663189617.0
1006.0;4243674176.0
1007.0;8270607360.0
1008.0;1970998732.5
1009.0;3436604480.0
1010.0;1450287616.0
1011.0;2137563648.0
1012.0;1070223024.0
1013.0;3904256192.0
1014.0;5235738624.0
1015.0;2640943698.0
1016.0;819976935.75
1017.0;3926545664.0
1018.0;1362290568.0
1019.0;5273690112.0
1020.0;6216552768.0
1021.0;1681734266.0
1022.0;5310116064.0
1023.0;6284903936.0
1024.0;3542186944.0
1025.0;6817012736.0
1026.0;5834183680.0
1027.0;6760135016.671875
1028.0;2182320640.0
1029.0;1901421568.0
1030.0;2951022336.0
1031.0;1828347560.0
1032.0;1345305344.0
1033.0;8008250368.0
1034.0;896001344.0
1035.0;2687952942.0
1036.0;4510776064.0
1037.0;2513604352.0
1038.0;1997411456.0
1039.0;2992029568.0
1040.0;1416453495.0
1041.0;2130316720.0
1042.0;3194446080.0
1043.0;1206193514.25
1044.0;2588282962.5
1045.0;2704798208.0
1046.0;988495744.0
1047.0;5550462960.0
1048.0;4025095371.0
1049.0;3100668928.0
1050.0;1544195712.0
1051.0;5553958820.0
1052.0;1428549376.0
1053.0;3983991296.0
1054.0;3217255424.0
1055.0;2971418776.0
1056.0;5089221120.0
1057.0;11623108960.0
1058.0;2692991232.0
1059.0;6552715672.0
1060.0;1070169728.0
1061.0;4252330240.0
1062.0;4242728192.0
1063.0;2120242317.21875
1064.0;1786955392.0
1065.0;1883011968.0
1066.0;663091392.0
1067.0;1368395264.0
1068.0;2062625920.0
1069.0;1894425920.0
1070.0;3916736000.0
1071.0;1619553152.0
1072.0;1090269594.0
1073.0;2991716864.0
1074.0;1912154880.0
1075.0;6141763456.0
1076.0;1602216016.0
1077.0;6816857303.25
1078.0;3540101600.0
1079.0;663160224.0
1080.0;2939197696.0
1081.0;11586932796.0
1082.0;2278442872.0
1083.0;4284542720.0
1084.0;5320892032.0
1085.0;17369555584.0
1086.0;13831236608.0
1087.0;10969122752.0
1088.0;8910895424.0
1089.0;8364021056.0
1090.0;7411739136.0
1091.0;2493015640.25
1092.0;5105780592.0
1093.0;12546420736.0
1094.0;4316129408.0
1095.0;12069373792.0
1096.0;3312492320.0
1097.0;1284051456.0
1098.0;5187804672.0
1099.0;6106673376.0
1100.0;2488153664.0
1101.0;9707542048.0
1102.0;3832006752.0
1103.0;6732539512.0
1104.0;8746222592.0
1105.0;983134017.0
1106.0;2800239296.0
1107.0;920590688.0
1108.0;6092184340.0
1109.0;9973652448.0
1110.0;6469325824.0
1111.0;8596238336.0
1112.0;2873843584.0
1113.0;5631463424.0
1114.0;17963151232.0
1115.0;466616140.0
1116.0;6820425216.25
1117.0;1525903883.0
1118.0;3207280515.0
1119.0;17548065408.0
1120.0;4353578496.0
1121.0;2223174016.0
1122.0;13403121664.0
1123.0;858382695.5820312
1124.0;2030508032.0
1125.0;5364295680.0
1126.0;2779776256.0
1127.0;2492209408.0
1128.0;5122533312.0
1129.0;8641055744.0
1130.0;5799542230.0
1131.0;10502690832.0
1132.0;8503558464.0
1133.0;3308663040.0
1134.0;4839698040.0
1135.0;14049377280.0
1136.0;3067792502.5
1137.0;21993563136.0
1138.0;8269774848.0
1139.0;9123853312.0
1140.0;1220436096.0
1141.0;1297254272.0
1142.0;4987074048.0
1143.0;16340633600.0
1144.0;6160697408.0
1145.0;93321937568.0
1146.0;11623510528.0
1147.0;27718543168.0
1148.0;20821799104.0
1149.0;11182702432.0
1150.0;4152675910.0
1151.0;6254905856.0
