material,singlefamily_climate1,singlefamily_climate2,singlefamily_climate3,singlefamily_climate4,singlefamily_climate5,commercial_industrial,commercial_innercity,multifamily,highrise,skyscraper,lightweight
iron_steel,0.0031830663615560638,0.00236745604896039,0.008068412030543868,0.008235214323069659,0.0030489735898313443,0.022535706510294407,0.01581372864953171,0.01581372864953171,0.01588558951487724,0.036684209456398754,0.017922552614283258
copper,6.429467778844023e-5,6.429467778844023e-5,6.429467778844023e-5,6.429467778844023e-5,1.3717321530859586e-4,3.479128130490499e-5,2.052545155993432e-6,2.052545155993432e-6,0,0,0
aluminum,8.147191260057577e-4,0.0010527955069186152,8.364669251020704e-4,9.289093526241972e-4,0.00129933107451451,9.857529703056414e-5,9.415664780763791e-4,9.415664780763791e-4,5.541636606108305e-4,0.0020156250000000005,0
all_other_metals,0,0,3.402350646257603e-6,0,0,0,3.2561188811188813e-4,3.2561188811188813e-4,0,0,0
concrete,0.130380054433315,0.1388597994481032,0.1936142050040355,0.2001710123851836,0.18427614149914293,0.17514713306663532,0.21535140097581004,0.21535140097581004,0.26392176724137933,0.3475996117015896,0.1341499782964103
bricks,0,0,0,0,0.04479943276200544,0,0.066864406779661,0.066864406779661,0,0,0
glass,0.00300169779286927,0.00300169779286927,0.00300169779286927,0.00300169779286927,0.002564550948162928,0.0070960299194476415,0.0015685674923289188,0.0015685674923289188,6.877995671279596e-4,0.009182291666666668,0.0014576608697246933
aggregate,0.021691386725543257,0.03969480558182182,0.03893798161348595,0.020339788342055277,0.06648927240964608,0.07715524944154878,0.014786887426259365,0.014786887426259365,0.005265294757438622,0,0
all_other_minerals,0.016303863034723167,0.01379312762973352,0.04824611953086845,0.016066258602601205,0.04956383106398761,0.009402159747858097,0.04143673546239497,0.04143673546239497,0.026295659834907604,0.009256944444444444,0.02079073152841368
timber,0.013506577355168345,0.022374541569398537,0.012167718782428227,0.010098097815014393,0.02576868829337094,2.4182281468668507e-4,0.014268023833696365,0.014268023833696365,0.00421609825830071,0,0.016593304674933106
other_biomass_based_materials,0.009186461947294604,0.009186461947294604,0.015906824012672894,0.009115449915110357,0.009336387452654048,0,0.004535984848484848,0.004535984848484848,3.9e-4,0,0
bitumen,0,2.406089121460318e-4,0.0012432919203637367,0,1.6472909788452878e-4,8.910047142186168e-4,4.545368944877321e-5,4.545368944877321e-5,7.972041494501651e-4,0,0
all_other_fossil_fuel_based_materials,0.00991793385989518,0.009749520188971728,0.009749520188971728,0.009833727024433454,0.008050982223160565,1.1597093768301663e-7,8.273029116294909e-4,8.273029116294909e-4,1.6446616379310345e-4,0,0.0026530612244897956
all_other_materials,0.01408565805449076,0.011501070347678454,0.011501070347678454,0.014045422905415302,0.011501070347678454,0.0035962587775503455,0.002003118994129107,0.002003118994129107,6.987713429964364e-5,2.2395833333333336e-4,0.004554343173746078
insulation,0.0013391525799069904,0.0018935015137215396,0.002510375221479631,0.001650549937255481,0.0023070901825073126,4.0589828189055823e-4,7.415290311595437e-4,7.415290311595437e-4,2.812600378776586e-4,0,9.146886868883425e-4
total,0.22347486594855684,0.25377968116540617,0.3458513803989344,0.29355042307342066,0.4093076541598553,0.29660474582340357,0.37951237100587837,0.37951237100587837,0.3185291803200629,0.4049626406024328,0.19903632106888927
