material,singlefamily_climate1,singlefamily_climate2,singlefamily_climate3,singlefamily_climate4,singlefamily_climate5,commercial_industrial,commercial_innercity,multifamily,highrise,skyscraper,lightweight
iron_steel,0.0022143645089137557,0.001345981282990752,0.0029354725297989206,0.002876467114490293,0.0015406035926511933,0.013644299001037422,0.003043161733592055,0.003043161733592055,0.013527511961722489,0.025258251627480428,0.009849290495910993
copper,6.429467778844023e-5,6.429467778844023e-5,1.854263600406658e-6,1.8496099004573577e-6,6.429467778844023e-5,3.4349827387802076e-5,2.052545155993432e-6,2.052545155993432e-6,0,0,0
aluminum,8.147191260057577e-4,5.328571782730661e-4,7.03186341173795e-4,8.147191260057577e-4,8.147191260057577e-4,9.857529703056414e-5,9.067767750723651e-4,9.067767750723651e-4,5.541636606108305e-4,0.0020156250000000005,0
all_other_metals,0,0,3.402350646257603e-6,0,0,0,3.2561188811188813e-4,3.2561188811188813e-4,0,0,0
concrete,0.07133259005005671,0.07340635520797706,0.1491373150916933,0.0863651209684801,0.10256603881604112,0.11577368147486918,0.042855322381511754,0.042855322381511754,0.20819834710743804,0.23883399527802585,0.05332748590963905
bricks,0,0,0,0,0.02270845315332587,0,0.066864406779661,0.066864406779661,0,0,0
glass,0.0025644891128563147,0.0010830359550801328,0.0021274032094521517,0.0025645283948692787,0.0010682505093778296,0.0069582562609809984,6.986411978962635e-4,6.986411978962635e-4,5.640137931034483e-4,0.009182291666666668,0.0014576608697246933
aggregate,0.021691386725543257,0.037611564119267346,0.027379466030351525,0.020339788342055277,0.036522148147017285,0.07292516753536857,0.011678847840977693,0.011678847840977693,0.005262126593209592,0,0
all_other_minerals,0.012380344025833183,0.012819695486506199,0.03901636995822814,0.012380519094688956,0.02521923855501,0.009391083442671085,0.029081696047271465,0.029081696047271465,0.010983251912257134,0.009256944444444444,0.018355413910831772
timber,0.008930722669225658,0.010788612500641462,0.008241584852734924,0.007123399471859337,0.012524642258162598,1.246224352788808e-4,0.006810287441817044,0.006810287441817044,5.516492224880383e-4,0,0.013088924687562734
other_biomass_based_materials,0.009044437882926108,0.009044437882926108,0.009186461947294604,0.004494261312467705,0.008566183250818225,0,0.004535984848484848,0.004535984848484848,3.9e-4,0,0
bitumen,0,1.635144406822444e-4,8.58972954652181e-4,0,9.886363636363639e-5,8.794591484464901e-4,2.758727086153618e-5,2.758727086153618e-5,7.972041494501651e-4,0,0
all_other_fossil_fuel_based_materials,0.009749520188971728,9.182640791264102e-4,0.0028038984833389,0.005610334891341256,0.0011371006447163836,1.1597093768301663e-7,1.6265876556646587e-4,1.6265876556646587e-4,9.339849137931034e-5,0,0.0026530612244897956
all_other_materials,0.011501070347678454,2.456576251476545e-4,0.0050081859744556265,0.011501070347678454,0.0011974559917738374,0.002348906789413118,0.001341030989272944,0.001341030989272944,6.987713429964364e-5,2.2395833333333336e-4,0.003916073574922162
insulation,4.5426168466063967e-4,6.119031704192195e-4,6.799659457913424e-4,7.212742329735999e-4,7.318927076224585e-4,9.533947065592634e-5,3.847241867043847e-4,3.847241867043847e-4,1.852134010556383e-4,0,9.146886868883425e-4
total,0.15074220100046,0.14863617360682613,0.24808353993321205,0.15479333290681047,0.21475988506667465,0.22227385665407773,0.1687187906919577,0.1687187906919577,0.24117675742701433,0.28477106634995075,0.10356259935996955
