material,motorway,primary,secondary,tertiary,local_climate1,local_climate2,local_climate3,local_climate4,local_climate5,local_climate6,track_climate1,track_climate2,track_climate3,track_climate4,track_climate5,track_climate6,motorway_elevated,bridge_motorway,other_elevated,bridge_other,tunnel
iron_steel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11677633256775347,0,0.1360460395029841,0.1717884096795677
copper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aluminum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all_other_metals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
concrete,0.21519378447017262,0.11574950558022215,0.0759567159666318,0.04054128937775599,0.0070448650667607506,0.0070448650667607506,0.0070448650667607506,0.0070448650667607506,0.0070448650667607506,0.0070448650667607506,5.450561525507155e-4,5.450561525507155e-4,5.450561525507155e-4,5.450561525507155e-4,5.450561525507155e-4,5.450561525507155e-4,0,1.533954960572634,0,1.2952550169632424,4.5567217421635995
bricks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aggregate,0.991005125026467,0.9346624057801736,0.8795685935470577,0.7720923216560938,0.3250454154178617,0.32852575838793685,0.33453725988170296,0.32235605948643997,0.3252036128255924,0.3335880754353188,0.1144859283024795,0.12196698677719767,0.13488881505171085,0.10870511039019726,0.11482597641496667,0.13284852637678773,0.4172801614954181,0,0.286778123018596,0,0
all_other_minerals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
timber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other_biomass_based_materials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bitumen,0.01230690131718248,0.014775758198956507,0.0137721329937048,0.011498074239209618,0.0038171384809675504,0.0038171384809675504,0.0038171384809675504,0.0038171384809675504,0.0038171384809675504,0.0038171384809675504,2.9532926386425466e-4,2.9532926386425466e-4,2.9532926386425466e-4,2.9532926386425466e-4,2.9532926386425466e-4,2.9532926386425466e-4,0.02196211376291674,0,0.01509358542203137,0,0
all_other_fossil_fuel_based_materials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all_other_materials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
insulation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
total,1.218505810813822,1.0651876695593523,0.9692974425073944,0.8241316852730594,0.33590741896559,0.33938776193566517,0.3453992634294313,0.3332180630341683,0.3360656163733207,0.34445007898304714,0.11532631371889447,0.12280737219361264,0.1357292004681258,0.10954549580661223,0.11566636183138164,0.1336889117932027,0.4392422752583348,1.6507312931403875,0.3018717084406274,1.4313010564662265,4.728510151843167
