material,motorway,primary,secondary,tertiary,local_climate1,local_climate2,local_climate3,local_climate4,local_climate5,local_climate6,track_climate1,track_climate2,track_climate3,track_climate4,track_climate5,track_climate6,motorway_elevated,bridge_motorway,other_elevated,bridge_other,tunnel
iron_steel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11677633256775347,0,0.1360460395029841,0.1717884096795677
copper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aluminum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all_other_metals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
concrete,0.21519378447017262,0.11907598553115309,0.07856545729078712,0.042185507030106165,0.009020681474059437,0.009020681474059437,0.009020681474059437,0.009020681474059437,0.009020681474059437,0.009020681474059437,6.979236495010829e-4,6.979236495010829e-4,6.979236495010829e-4,6.979236495010829e-4,6.979236495010829e-4,6.979236495010829e-4,0,1.533954960572634,0,1.2952550169632424,4.5567217421635995
bricks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aggregate,0.991005125026467,1.086913533614482,0.9970649591647508,0.8650622268733074,0.41017579179584873,0.41446531450646634,0.4218744900975331,0.4068611606103715,0.4103707701008768,0.42070462026736466,0.16122099110046414,0.1720685258888055,0.19080517688684961,0.1528388051276549,0.16171406086357057,0.1878467583082111,0.4172801614954181,0,0.286778123018596,0,0
all_other_minerals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
timber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other_biomass_based_materials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bitumen,0.01230690131718248,0.016449001769183253,0.015071971534986886,0.012924011940700387,0.005234786892870454,0.005234786892870454,0.005234786892870454,0.005234786892870454,0.005234786892870454,0.005234786892870454,4.050117037320089e-4,4.050117037320089e-4,4.050117037320089e-4,4.050117037320089e-4,4.050117037320089e-4,4.050117037320089e-4,0.02196211376291674,0,0.01509358542203137,0,0
all_other_fossil_fuel_based_materials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all_other_materials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
insulation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
total,1.218505810813822,1.2224385209148183,1.0907023879905249,0.9201717458441139,0.4244312601627786,0.4287207828733962,0.43612995846446295,0.42111662897730134,0.42462623846780667,0.43496008863429453,0.16232392645369723,0.17317146124203858,0.1919081122400827,0.153941740480888,0.16281699621680365,0.18894969366144418,0.4392422752583348,1.6507312931403875,0.3018717084406274,1.4313010564662265,4.728510151843167
