FIPS,GDP_2018
1001,1602077
1003,6799715
1005,730518
1007,353016
1009,967135
1011,235358
1013,609244
1015,3959304
1017,807107
1019,540834
1021,918168
1023,546076
1025,750365
1027,444465
1029,302347
1031,1326701
1033,2363329
1035,488194
1037,178018
1039,1166050
1041,448270
1043,2601327
1045,2514046
1047,1122110
1049,1921659
1051,1789092
1053,1215138
1055,2841049
1057,316814
1059,962638
1061,502402
1063,209945
1065,246837
1067,396376
1069,4880057
1071,1437962
1073,41028930
1075,304861
1077,2371552
1079,504193
1081,5389074
1083,3385841
1085,399841
1087,481537
1089,22720023
1091,672252
1093,810967
1095,3245603
1097,18455706
1099,629022
1101,12524276
1103,5104998
1105,196637
1107,427099
1109,1285265
1111,484942
1113,1315599
1115,1872929
1117,10673132
1119,302068
1121,2894807
1123,1213743
1125,9884658
1127,1886388
1129,742567
1131,416036
1133,645050
4001,2386806
4003,4187426
4005,7089777
4007,1705180
4009,899154
4011,1555996
4012,661271
4013,223590591
4015,4900496
4017,2859345
4019,39534741
4021,8368354
4023,1792086
4025,6657557
4027,7331342
5001,971183
5003,680615
5005,1285220
5007,13639837
5009,1176932
5011,313707
5013,320358
5015,783382
5017,247654
5019,727789
5021,315184
5023,698553
5025,153491
5027,859980
5029,769677
5031,4182226
5033,1526442
5035,1638514
5037,394483
5039,197398
5041,500131
5043,574922
5045,3581062
5047,414704
5049,163469
5051,3051463
5053,368134
5055,1318104
5057,883716
5059,930648
5061,608701
5063,1760694
5065,273891
5067,664339
5069,2745288
5071,675288
5073,146635
5075,413547
5077,146574
5079,233168
5081,431025
5083,511681
5085,1212353
5087,384158
5089,453045
5091,1210444
5093,2434838
5095,162850
5097,134103
5099,247658
5101,90560
5103,575625
5105,145683
5107,447430
5109,233587
5111,535584
5113,509929
5115,2585841
5117,185538
5119,25901785
5121,439618
5123,642713
5125,2354762
5127,284074
5129,149873
5131,6056680
5133,493638
5135,347174
5137,227224
5139,2340456
5141,492984
5143,10277344
5145,2115786
5147,229597
5149,580435
6001,123718310
6003,100131
6005,1585410
6007,8543593
6009,1238320
6011,1408034
6013,76615513
6015,709056
6017,7471362
6019,41016044
6021,1103979
6023,5053603
6025,8102824
6027,1175310
6029,47738604
6031,5882811
6033,1850962
6035,1077095
6037,681549961
6039,5988270
6041,25037176
6043,764080
6045,3290676
6047,8994225
6049,373250
6051,957625
6053,25923751
6055,9898897
6057,3896864
6059,226110295
6061,20911650
6063,940398
6065,78156440
6067,80936234
6069,2115616
6071,80460743
6073,209426148
6075,166716731
6077,27808462
6079,15808438
6081,119797765
6083,26938329
6085,306691667
6087,13243490
6089,7219547
6091,84198
6093,1563467
6095,21944195
6097,27565642
6099,21234213
6101,3307355
6103,1885606
6105,359579
6107,17063694
6109,2284494
6111,46592945
6113,13472232
6115,2980485
8001,24745551
8003,638684
8005,43909234
8007,504138
8009,129189
8011,135559
8013,25865152
8014,6562146
8015,712666
8017,176810
8019,464803
8021,204469
8023,80947
8025,135223
8027,110677
8029,784802
8031,69239514
8033,156648
8035,17842000
8037,3602348
8039,583632
8041,32154123
8043,1269710
8045,4328140
8047,546571
8049,848318
8051,1049017
8053,35131
8055,258738
8057,127312
8059,28935488
8061,54467
8063,282013
8065,264924
8067,3403255
8069,17863652
8071,686472
8073,346758
8075,995087
8077,5967075
8079,52987
8081,952534
8083,1910458
8085,1449318
8087,1522602
8089,520822
8091,209924
8093,382312
8095,180410
8097,2019058
8099,512958
8101,5626244
8103,756446
8105,419472
8107,1721099
8109,186030
8111,32409
8113,572545
8115,73907
8117,2300478
8119,880384
8121,167576
8123,22881521
8125,508649
9001,82176512
9003,78719146
9005,7385901
9007,8740036
9009,46357219
9011,17444299
9013,4841261
9015,4393990
10001,7128085
10003,43292638
10005,11359701
11001,123836129
12001,12295786
12003,595462
12005,7649376
12007,647437
12009,23605957
12011,96571820
12013,224485
12015,4934235
12017,3528236
12019,4918863
12021,17643609
12023,2107949
12027,908827
12029,283977
12031,58004224
12033,13977767
12035,2481563
12037,336194
12039,1172331
12041,336277
12043,287745
12045,370845
12047,442683
12049,954913
12051,1249834
