ID,NAME, Total,Occupied,Vacant
0500000US01001,"Autauga County, Alabama",24350,22412,1938
0500000US01003,"Baldwin County, Alabama",124148,93116,31032
0500000US01005,"Barbour County, Alabama",11618,9677,1941
0500000US01007,"Bibb County, Alabama",9002,7927,1075
0500000US01009,"Blount County, Alabama",24622,22367,2255
0500000US01011,"Bullock County, Alabama",4516,3928,588
0500000US01013,"Butler County, Alabama",9806,8170,1636
0500000US01015,"Calhoun County, Alabama",53052,46437,6615
0500000US01017,"Chambers County, Alabama",16373,14238,2135
0500000US01019,"Cherokee County, Alabama",14513,10411,4102
0500000US01021,"Chilton County, Alabama",19438,17302,2136
0500000US01023,"Choctaw County, Alabama",7104,5675,1429
0500000US01025,"Clarke County, Alabama",11655,9662,1993
0500000US01027,"Clay County, Alabama",7035,5926,1109
0500000US01029,"Cleburne County, Alabama",6801,6054,747
0500000US01031,"Coffee County, Alabama",24105,21263,2842
0500000US01033,"Colbert County, Alabama",27666,24425,3241
0500000US01035,"Conecuh County, Alabama",6382,5066,1316
0500000US01037,"Coosa County, Alabama",5999,4451,1548
0500000US01039,"Covington County, Alabama",18596,15515,3081
0500000US01041,"Crenshaw County, Alabama",6516,5680,836
0500000US01043,"Cullman County, Alabama",39145,34723,4422
0500000US01045,"Dale County, Alabama",22761,20159,2602
0500000US01047,"Dallas County, Alabama",18880,16037,2843
0500000US01049,"DeKalb County, Alabama",30584,27145,3439
0500000US01051,"Elmore County, Alabama",36818,32567,4251
0500000US01053,"Escambia County, Alabama",16684,14499,2185
0500000US01055,"Etowah County, Alabama",47306,41974,5332
0500000US01057,"Fayette County, Alabama",7760,6653,1107
0500000US01059,"Franklin County, Alabama",13912,12142,1770
0500000US01061,"Geneva County, Alabama",12452,10874,1578
0500000US01063,"Greene County, Alabama",4205,3388,817
0500000US01065,"Hale County, Alabama",7399,6138,1261
0500000US01067,"Henry County, Alabama",9058,7169,1889
0500000US01069,"Houston County, Alabama",49282,44368,4914
0500000US01071,"Jackson County, Alabama",24627,21733,2894
0500000US01073,"Jefferson County, Alabama",307927,274699,33228
0500000US01075,"Lamar County, Alabama",7071,5958,1113
0500000US01077,"Lauderdale County, Alabama",44585,39544,5041
0500000US01079,"Lawrence County, Alabama",15225,13517,1708
0500000US01081,"Lee County, Alabama",74856,68728,6128
0500000US01083,"Limestone County, Alabama",42692,39365,3327
0500000US01085,"Lowndes County, Alabama",4779,4272,507
0500000US01087,"Macon County, Alabama",9604,7965,1639
0500000US01089,"Madison County, Alabama",169820,157770,12050
0500000US01091,"Marengo County, Alabama",9777,8226,1551
0500000US01093,"Marion County, Alabama",14073,12228,1845
0500000US01095,"Marshall County, Alabama",41245,37257,3988
0500000US01097,"Mobile County, Alabama",184441,163750,20691
0500000US01099,"Monroe County, Alabama",10127,8337,1790
0500000US01101,"Montgomery County, Alabama",105293,93223,12070
0500000US01103,"Morgan County, Alabama",53265,49241,4024
0500000US01105,"Perry County, Alabama",3933,3360,573
0500000US01107,"Pickens County, Alabama",8646,7437,1209
0500000US01109,"Pike County, Alabama",15977,13901,2076
0500000US01111,"Randolph County, Alabama",12400,8931,3469
0500000US01113,"Russell County, Alabama",27253,23997,3256
0500000US01115,"St. Clair County, Alabama",37775,34376,3399
0500000US01117,"Shelby County, Alabama",89060,84241,4819
0500000US01119,"Sumter County, Alabama",6279,5020,1259
0500000US01121,"Talladega County, Alabama",37948,33090,4858
0500000US01123,"Tallapoosa County, Alabama",22686,17376,5310
0500000US01125,"Tuscaloosa County, Alabama",101460,89962,11498
0500000US01127,"Walker County, Alabama",29975,26423,3552
0500000US01129,"Washington County, Alabama",7712,6321,1391
0500000US01131,"Wilcox County, Alabama",5261,4316,945
0500000US01133,"Winston County, Alabama",13015,9845,3170
0500000US02013,"Aleutians East Borough, Alaska",679,483,196
0500000US02016,"Aleutians West Census Area, Alaska",1331,902,429
0500000US02020,"Anchorage Municipality, Alaska",118640,109343,9297
0500000US02050,"Bethel Census Area, Alaska",5984,4897,1087
0500000US02060,"Bristol Bay Borough, Alaska",857,357,500
0500000US02063,"Chugach Census Area, Alaska",3565,2788,777
0500000US02066,"Copper River Census Area, Alaska",2769,1134,1635
0500000US02068,"Denali Borough, Alaska",1606,748,858
0500000US02070,"Dillingham Census Area, Alaska",2405,1558,847
0500000US02090,"Fairbanks North Star Borough, Alaska",42659,36521,6138
0500000US02100,"Haines Borough, Alaska",1370,966,404
0500000US02105,"Hoonah-Angoon Census Area, Alaska",1777,979,798
0500000US02110,"Juneau City and Borough, Alaska",14093,12940,1153
0500000US02122,"Kenai Peninsula Borough, Alaska",32622,23873,8749
0500000US02130,"Ketchikan Gateway Borough, Alaska",6614,5479,1135
0500000US02150,"Kodiak Island Borough, Alaska",5825,4612,1213
0500000US02158,"Kusilvak Census Area, Alaska",2342,1943,399
0500000US02164,"Lake and Peninsula Borough, Alaska",1469,543,926
0500000US02170,"Matanuska-Susitna Borough, Alaska",51077,38380,12697
0500000US02180,"Nome Census Area, Alaska",4095,3030,1065
0500000US02185,"North Slope Borough, Alaska",2619,2190,429
0500000US02188,"Northwest Arctic Borough, Alaska",2717,2014,703
0500000US02195,"Petersburg Borough, Alaska",1718,1367,351
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",3227,2312,915
0500000US02220,"Sitka City and Borough, Alaska",4139,3421,718
0500000US02230,"Skagway Municipality, Alaska",760,531,229
0500000US02240,"Southeast Fairbanks Census Area, Alaska",3513,2445,1068
0500000US02275,"Wrangell City and Borough, Alaska",1273,933,340
0500000US02282,"Yakutat City and Borough, Alaska",441,265,176
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",4014,2194,1820
0500000US04001,"Apache County, Arizona",28723,22103,6620
0500000US04003,"Cochise County, Arizona",58648,50936,7712
0500000US04005,"Coconino County, Arizona",69108,51320,17788
0500000US04007,"Gila County, Arizona",32373,22312,10061
0500000US04009,"Graham County, Arizona",13704,12150,1554
0500000US04011,"Greenlee County, Arizona",4389,3634,755
0500000US04012,"La Paz County, Arizona",13457,7370,6087
0500000US04013,"Maricopa County, Arizona",1812827,1643579,169248
0500000US04015,"Mohave County, Arizona",117650,91270,26380
0500000US04017,"Navajo County, Arizona",56180,36836,19344
0500000US04019,"Pima County, Arizona",470132,427021,43111
0500000US04021,"Pinal County, Arizona",172878,146663,26215
0500000US04023,"Santa Cruz County, Arizona",18729,16670,2059
0500000US04025,"Yavapai County, Arizona",121154,104425,16729
0500000US04027,"Yuma County, Arizona",92048,69589,22459
0500000US05001,"Arkansas County, Arkansas",8671,7293,1378
0500000US05003,"Ashley County, Arkansas",9371,8019,1352
0500000US05005,"Baxter County, Arkansas",22699,18936,3763
0500000US05007,"Benton County, Arkansas",113088,104111,8977
0500000US05009,"Boone County, Arkansas",17368,15455,1913
0500000US05011,"Bradley County, Arkansas",5073,4277,796
0500000US05013,"Calhoun County, Arkansas",2444,2019,425
0500000US05015,"Carroll County, Arkansas",13853,11727,2126
0500000US05017,"Chicot County, Arkansas",5104,4142,962
0500000US05019,"Clark County, Arkansas",9977,8170,1807
0500000US05021,"Clay County, Arkansas",7470,6176,1294
0500000US05023,"Cleburne County, Arkansas",15527,10819,4708
0500000US05025,"Cleveland County, Arkansas",3570,3101,469
0500000US05027,"Columbia County, Arkansas",10999,9082,1917
0500000US05029,"Conway County, Arkansas",9646,8387,1259
0500000US05031,"Craighead County, Arkansas",46739,43221,3518
0500000US05033,"Crawford County, Arkansas",25300,22986,2314
0500000US05035,"Crittenden County, Arkansas",21291,18885,2406
0500000US05037,"Cross County, Arkansas",7585,6711,874
0500000US05039,"Dallas County, Arkansas",3468,2770,698
0500000US05041,"Desha County, Arkansas",5795,4891,904
0500000US05043,"Drew County, Arkansas",8259,7133,1126
0500000US05045,"Faulkner County, Arkansas",51685,47622,4063
0500000US05047,"Franklin County, Arkansas",7716,6706,1010
0500000US05049,"Fulton County, Arkansas",6185,4991,1194
0500000US05051,"Garland County, Arkansas",52326,42997,9329
0500000US05053,"Grant County, Arkansas",7839,7091,748
0500000US05055,"Greene County, Arkansas",19159,17673,1486
0500000US05057,"Hempstead County, Arkansas",9601,7992,1609
0500000US05059,"Hot Spring County, Arkansas",14179,12473,1706
0500000US05061,"Howard County, Arkansas",6152,5096,1056
0500000US05063,"Independence County, Arkansas",16667,14934,1733
0500000US05065,"Izard County, Arkansas",6721,5494,1227
0500000US05067,"Jackson County, Arkansas",7079,6203,876
0500000US05069,"Jefferson County, Arkansas",30573,26264,4309
0500000US05071,"Johnson County, Arkansas",11475,9902,1573
0500000US05073,"Lafayette County, Arkansas",3916,2842,1074
0500000US05075,"Lawrence County, Arkansas",7489,6514,975
0500000US05077,"Lee County, Arkansas",3695,3103,592
0500000US05079,"Lincoln County, Arkansas",4366,3807,559
0500000US05081,"Little River County, Arkansas",6043,5098,945
0500000US05083,"Logan County, Arkansas",9744,8449,1295
0500000US05085,"Lonoke County, Arkansas",30112,27841,2271
0500000US05087,"Madison County, Arkansas",7611,6437,1174
0500000US05089,"Marion County, Arkansas",9461,7480,1981
0500000US05091,"Miller County, Arkansas",19779,17068,2711
0500000US05093,"Mississippi County, Arkansas",19075,16036,3039
0500000US05095,"Monroe County, Arkansas",3828,3040,788
0500000US05097,"Montgomery County, Arkansas",5435,3651,1784
0500000US05099,"Nevada County, Arkansas",4298,3427,871
0500000US05101,"Newton County, Arkansas",4086,3169,917
0500000US05103,"Ouachita County, Arkansas",11837,9944,1893
0500000US05105,"Perry County, Arkansas",4933,4085,848
0500000US05107,"Phillips County, Arkansas",8315,6890,1425
0500000US05109,"Pike County, Arkansas",5289,4128,1161
0500000US05111,"Poinsett County, Arkansas",10327,9254,1073
0500000US05113,"Polk County, Arkansas",9612,7992,1620
0500000US05115,"Pope County, Arkansas",26902,24196,2706
0500000US05117,"Prairie County, Arkansas",4071,3502,569
0500000US05119,"Pulaski County, Arkansas",190511,170622,19889
0500000US05121,"Randolph County, Arkansas",8562,7322,1240
0500000US05123,"St. Francis County, Arkansas",9565,8470,1095
0500000US05125,"Saline County, Arkansas",51879,48232,3647
0500000US05127,"Scott County, Arkansas",4851,3930,921
0500000US05129,"Searcy County, Arkansas",4705,3441,1264
0500000US05131,"Sebastian County, Arkansas",56749,51312,5437
0500000US05133,"Sevier County, Arkansas",6741,5731,1010
0500000US05135,"Sharp County, Arkansas",9499,7356,2143
0500000US05137,"Stone County, Arkansas",6784,5333,1451
0500000US05139,"Union County, Arkansas",18599,16182,2417
0500000US05141,"Van Buren County, Arkansas",9668,7012,2656
0500000US05143,"Washington County, Arkansas",100508,92548,7960
0500000US05145,"White County, Arkansas",33270,29705,3565
0500000US05147,"Woodruff County, Arkansas",3250,2775,475
0500000US05149,"Yell County, Arkansas",9246,7722,1524
0500000US06001,"Alameda County, California",621958,591636,30322
0500000US06003,"Alpine County, California",1540,530,1010
0500000US06005,"Amador County, California",18805,15678,3127
0500000US06007,"Butte County, California",90133,83268,6865
0500000US06009,"Calaveras County, California",27422,18758,8664
0500000US06011,"Colusa County, California",8099,7227,872
0500000US06013,"Contra Costa County, California",423342,407029,16313
0500000US06015,"Del Norte County, California",11090,9807,1283
0500000US06017,"El Dorado County, California",93467,75320,18147
0500000US06019,"Fresno County, California",338441,319296,19145
0500000US06021,"Glenn County, California",10895,10177,718
0500000US06023,"Humboldt County, California",62120,56422,5698
0500000US06025,"Imperial County, California",56625,52050,4575
0500000US06027,"Inyo County, California",9469,8046,1423
0500000US06029,"Kern County, California",301009,281498,19511
