"state","grand_total_t_10m2","building_commercial_industrial","building_commercial_innercity","building_highrise","building_lightweight","building_multifamily","building_singlefamily","building_skyscraper","building","other_airport","other_parking","other_remaining_impervious","other","rail_bridge","rail_other","rail_railway","rail_subway_elevated","rail_subway_surface","rail_subway","rail","rail_tram","rail_tunnel","street_bridge_motorway","street_bridge_other","street_local","street_motorway_elevated","street_motorway","street_other_elevated","street_primary","street_secondary","street_tertiary","street","street_track","street_tunnel"
"US_AL",2440013467.71494,314567836.995815,14375825.3356552,2242074.01182556,85258904.2293079,72320626.0921783,721544703.181385,1470023,1211779981.4458,22011783.1103516,16784934.4521179,213744605.131372,252541299.660181,1041704.66455078,155137.496299744,68185271.791748,0,0,0,69574172.1682129,1974.45190429688,190079.758178711,9705785.41046143,5272260.87468147,555207154.262928,2589416.3271637,106587120.188477,1111957.06567097,4425502.14669037,131390388.923721,85046757.8494873,906118319.889965,4071946.74482197,710888.846923828
"US_AR",1839184186.58166,203148867.826775,6884079.13490081,758787.600891113,49216333.143851,20730990.2348709,464833081.758089,186891.65625,745758994.790288,19322011.9082031,6990673.06028748,164601878.363968,190914483.403152,993751.218200684,321934.598564148,53468081.0835266,0,0,0,54991481.980011,24556.6713867188,183173.655151367,6004865.33300781,4437018.91383362,492256056.442953,1600319.82110596,98092215.8053589,935799.291519165,32943457.5634766,67921186.1267016,139459273.238129,847519427.805382,3575929.81544822,293474.999343872
"US_AZ",2471597352.63103,672562590.32341,9666695.82112885,1816223.57080078,95820788.2682927,9838029.50348473,405921606.899807,2849322.140625,1198475554.28464,41941189.6843262,40145329.8012238,256311498.308549,338397861.710832,1430136.17910767,294439.232849121,46145639.4775391,0,0,0,48104610.7976074,67013.8212890625,167384.733764648,7377161.66943359,6047810.77688575,443037588.86039,1972119.79855347,161307998.407227,1275527.24854553,62921842.0404968,69030316.7368164,79019385.6784973,886620433.045341,53363989.4801917,1267183.26237488
"US_CA",9535815629.86079,2154468176.79475,106608869.522985,38678759.1401567,359404262.920278,144629977.200191,2297472378.29482,33545891.1445312,5134809398.80384,102017372.895508,122418354.856941,1392306212.48757,1616742544.95878,6488176.22904968,2715595.23463821,140158316.720413,3911362.8515625,6099462.8359375,17191253.3554688,182737602.85516,156328.714752197,6017053.12878418,44676822.9643555,18906521.3049545,1328595694.57428,11986354.1276855,505792594.233269,3987521.91483784,112565971.106567,227158926.569321,269887358.871567,2601539121.08254,72588891.4698615,5391470.56152344
"US_CO",2241258906.23904,273348111.412215,20393261.1015491,5750843.85472488,52071160.2452595,25881924.9550776,568173441.880578,5662655.3984375,951281316.021437,29143823.5989838,42860666.7354736,181225803.040948,253230316.006055,1374756.18325806,1357061.92112732,60833221.4293213,0,0,0,65277498.5995636,28149.9208984375,1684431.73052979,5613796.58349609,6082533.86220551,575161165.798931,1500622.94177246,118623399.729004,1282850.0500946,58336084.9157104,96630774.813385,68715139.0888977,971468284.00003,37253008.8338726,2269618.30192566
"US_CT",1171763330.57996,140701621.309326,19141385.359375,7115607.33398438,32297133.6232507,139108229.711879,395478698.283508,10036337.0546875,743878924.249901,5842797.99902344,13824496.5750847,132432460.863487,152099861.413345,527912.747817993,136673.952392578,12807730.7339783,0,0,0,13724740.3929901,9295.7373046875,243123.447387695,6538159.16015625,2078659.47652435,127525235.200745,1754427.23583984,65625391.8326416,438404.446523666,2672394.20019531,29338531.1199341,24781213.2666626,262060138.035767,802480.801122665,505444.584472656
"US_DC",141803975.474609,13349957,34520364,3854865,1523507.03103256,30090721.1636808,18707622.8106384,0,102047012.631012,99158.71875,2545794.85684967,8923180.64038086,11568141.9978027,200128.84375,25246.32421875,855667.8125,393191.40625,670659.875,9571550.52587891,12129336.5258789,38201.23828125,374668.4375,684192.051757812,329119.295539856,6897089.35980225,184066.149383545,2081023.4609375,69413.5823392868,320194.375,3141979.70741272,1375946.40972519,16059592.3087158,10640.2802734375,965916.544921875
"US_DE",377352840.549927,47545109.1089935,8582408.47436523,1862201.265625,11233606.693119,37417549.5023346,126917082.195353,261325.515625,233819099.414683,3821301.0859375,5891898.95251465,36469369.8969116,46182600.3109741,144011.344665527,32356.0162124634,6051336.81793213,0,0,0,6230567.10462189,0,2859.58081054688,1653961.34179688,895340.572485924,42457150.0201416,441547.298706055,12316344.6992188,188833.616238117,16900318.3699036,5793184.87823486,10193762.8189697,91120355.1065674,260601.361096382,19656.4230957031
"US_FL",5414366611.8642,890977275.4373,49210239.1868982,8941457.55761719,364627821.354651,176278040.613789,1491219928.29384,28250710.5625,3009505586.89333,80069823.3436279,67479292.0604453,634274097.368467,781823000.06842,2527010.49132538,610695.940338135,65458585.1990967,3595315.5,67004.408203125,0,72412942.8056488,62063.8642578125,92262.6590881348,21903822.8139648,14937403.9097939,834668057.912266,5849905.72131348,254332311.749023,3150407.42387962,14629596.8885269,234566219.479435,138514191.839722,1550627601.04236,27106769.8996955,970157.741638184
"US_GA",4311226476.01397,626723532.883355,46256223.4690576,8928377.99718475,128251436.948654,299862429.99485,1303279583.80995,10910281.4414062,2424211648.71353,35152453.3068848,24800653.5393524,382299237.65782,442252401.366499,1780642.97705078,519284.360824585,94667639.9881592,1697198.953125,2795795.875,3894656.4296875,105565561.302246,26817.8409423828,183549.603271484,7738975.50125504,8731531.26647949,771462358.46029,2067167.08142662,160203606.62326,1841542.62737846,19051906.4118652,197240585.19916,162544364.200197,1339196980.42207,7531769.19679946,783698.640563965
