"zone";"area_building_commercial_industrial";"area_building_commercial_innercity";"area_building_highrise";"area_building_lightweight";"area_building_multifamily";"area_building_singlefamily";"area_building_skyscraper";"area_other_airport";"area_other_parking";"area_other_remaining_impervious";"area_rail_bridge";"area_rail_exclude";"area_rail_other";"area_rail_railway";"area_rail_subway_elevated";"area_rail_subway_surface";"area_rail_subway";"area_rail_tram";"area_rail_tunnel";"area_street_bridge_motorway";"area_street_bridge_other";"area_street_exclude";"area_street_local";"area_street_motorway_elevated";"area_street_motorway";"area_street_other_elevated";"area_street_primary";"area_street_secondary";"area_street_tertiary";"area_street_track";"area_street_tunnel"
-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0;0;394;0;0;0;16;335;95;58;0
1;717656;14751;552;630159;193104;4500039;0;131405;102761;2827725;8711;32560;2761;1068850;0;0;0;0;0;0;14755;19244;16425627;0;1370609;14755;0;1572054;305662;559676;0
2;4610859;165114;2957;3077482;639667;18305601;5956;1888682;1634795;13728163;36360;452648;11875;706384;0;0;0;0;0;1034838;217813;35649;56723092;1035579;4309552;217813;43;3819370;4154629;4338335;265
3;989202;2188;0;491969;21626;2778424;0;201393;134934;1785372;4061;335661;0;382805;0;0;0;0;0;0;25996;16715;17415470;0;0;25996;0;2860428;972862;242270;0
4;328133;1644;0;242589;26423;1675522;0;57416;68023;1109934;354;484245;0;479220;0;0;0;0;0;0;37616;163519;16547162;0;441;37616;442320;1719904;872139;157656;0
5;975403;11104;0;1211211;169949;6150572;0;11533;71279;2381549;3047;338452;0;264734;0;0;0;0;12245;14512;21438;0;23531815;14512;546533;21438;0;2126459;1095192;118197;1612
6;269043;5641;0;204563;31332;1162136;0;92241;22678;420676;0;442219;0;0;0;0;0;0;0;0;1311;0;8420665;0;0;1311;0;1489358;993405;424487;0
7;620367;2350;0;504957;46873;2410473;0;111927;7030;1085720;9253;3592;0;927033;0;0;0;0;0;47299;35797;10;17525697;47299;2883067;35797;0;1425218;847389;465477;1731
8;3989506;56663;767;1545236;279532;10644673;0;168258;777478;10121446;8490;492752;2775;1692963;0;0;0;0;0;43368;60545;448628;30661193;43376;950708;60545;346289;2909455;2030010;232577;361
9;876297;9034;0;428872;55051;3309323;0;31461;26916;1925921;2765;309855;0;587966;0;0;0;0;0;14198;9201;2363;16656580;14198;871579;9201;0;854748;1035079;105032;0
10;913083;35626;0;521775;21168;3104432;0;80454;10142;1868577;0;427760;0;0;0;0;0;0;0;0;26389;14129;17715354;0;0;26389;0;1509753;1081226;673510;0
11;768709;7455;9;705866;104684;3784279;0;50895;78142;2585333;8272;14196;0;1210492;0;0;0;0;0;13657;27508;0;21622429;13657;2373093;27508;89187;881275;1279323;115690;0
12;394839;4819;0;290658;22224;1596050;0;42564;17252;921073;1983;285264;0;584018;0;0;0;0;0;0;13033;0;17939025;0;0;13033;0;1868033;271210;175144;0
13;724861;1353;392;380037;52241;2533272;0;75078;202;2200860;3336;0;0;912404;0;0;0;0;0;0;18740;1476;22939246;0;0;18740;93620;1792322;1415855;162238;0
14;520278;5712;0;287351;38888;1706438;0;40086;527;457671;954;0;0;553609;0;0;0;0;0;0;5742;153977;15438916;0;0;5742;0;713930;1349891;809576;0
15;472343;2793;0;281441;25475;1813451;0;0;20879;591593;6674;56489;0;446090;0;0;0;0;0;30446;19017;436650;14299857;30446;1759284;19017;0;865709;691316;300213;0
16;1422745;4131;0;1043240;116947;5700196;0;542863;84003;3068077;971;106980;6752;199961;0;0;0;0;0;0;15936;21131;17943801;0;0;15936;0;2010970;2703135;254733;0
17;2720801;19333;1638;781772;37696;5577097;0;324865;199195;6872736;6169;80610;0;1979074;0;0;0;0;0;0;79755;62080;19021213;0;0;79755;129711;2771077;987450;174662;736
18;308063;882;0;286603;11754;1578648;0;194835;33082;583555;0;0;0;762100;0;0;0;0;0;25434;17136;0;19567551;25434;2512358;17136;0;1181394;719251;401348;0
19;202271;2620;0;180499;32664;1223338;0;41793;0;147280;2708;12100;0;241684;0;0;0;0;0;0;12017;0;16076325;0;0;12017;114170;1550916;839340;595401;156
20;1163561;6005;0;974419;51462;4791978;0;210036;14545;2214094;10263;420554;8285;840763;0;0;0;0;0;0;58557;64427;27034528;0;0;58557;0;3465098;577936;1906773;0
21;518755;428;0;469075;17608;2050801;0;49650;0;402516;0;264397;0;0;0;0;0;0;0;0;5373;601;13377960;0;0;5373;0;1453782;494913;178028;0
22;2869873;23400;261;2051003;242062;10129671;0;177697;513149;7584456;2482;6234;0;623282;0;0;0;0;0;16285;30887;74641;31268443;16285;2136842;30887;1193;2709699;884363;30837;935
23;1431727;7278;0;838466;115304;4797693;0;2679790;168742;4094148;14024;85577;0;1115627;0;0;0;0;0;0;47261;7655;17542657;0;0;47261;0;1645352;2274739;161472;0
24;1068899;9150;0;562923;62272;3727605;0;449686;2823;4384704;20107;255577;305;2312690;0;0;0;0;0;0;49014;103;27838178;0;4922;49014;143912;2044825;1958157;289368;0
25;2961772;12623;0;1713329;71498;8590049;0;138931;8472;5256096;0;6051;0;760222;0;0;0;0;0;10516;32741;3984;32365377;10516;3493425;32741;0;1378251;2584228;199780;0
26;1335043;12733;0;965707;353362;7022856;0;146978;543561;3127966;4898;81591;0;317642;0;0;0;0;0;42973;48396;4197;23174475;42973;397662;48396;608;1341138;2196647;151572;0
27;963924;22856;472;683630;22641;3578268;0;246844;75573;2663823;24717;53252;0;1921818;0;0;0;0;0;39294;66225;2104;26114878;39294;2366869;66225;0;2651092;457569;1495077;0
28;2847054;21778;3955;1510679;345528;9883378;0;251146;365220;11480454;16441;241803;6862;1296986;0;0;0;0;0;130294;70583;10709;25299457;130666;2491160;70583;189;3089427;1714279;46621;2812
29;519470;3704;0;274111;9928;1980678;0;75467;0;924172;2091;212481;0;420474;0;0;0;0;0;0;21226;0;16701074;0;0;21226;0;988486;1687194;218390;0
30;1405173;1672;0;539941;27243;3503258;0;16979;33921;2721092;0;133456;0;440783;0;0;0;0;0;0;59371;133725;16490451;0;0;59371;191922;2181451;1189612;450098;0
31;707102;67;0;766709;38714;3438667;0;117280;5296;922959;1899;493306;35944;0;0;0;0;0;0;0;25376;6224;17290198;0;0;25376;0;1262962;1452146;194270;0
