"zone","mass_grand_t_10m2","mass_building_commercial_industrial","mass_building_commercial_innercity","mass_building_highrise","mass_building_lightweight","mass_building_multifamily","mass_building_singlefamily","mass_building_skyscraper","mass_building","mass_other_airport","mass_other_parking","mass_other_remaining_impervious","mass_other","mass_rail_bridge","mass_rail_other","mass_rail_railway","mass_rail_subway_elevated","mass_rail_subway_surface","mass_rail_subway","mass_rail","mass_rail_tram","mass_rail_tunnel","mass_street_bridge_motorway","mass_street_bridge_other","mass_street_local","mass_street_motorway_elevated","mass_street_motorway","mass_street_other_elevated","mass_street_primary","mass_street_secondary","mass_street_tertiary","mass_street","mass_street_track","mass_street_tunnel"
-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,599.547107696533,0,0,0,0,0,0,0,0,0,0,37.094669342041,37.094669342041,0,0,0,0,0,0,0,0,0,0,0,135.713333129883,0,0,0,17.0430030822754,324.714630126953,78.2925109863281,562.452411651611,6.68892574310303,0
1,20660142.25,1761161.7265625,83869.201171875,4867.373046875,887590.3203125,674584.8515625,5378594.84375,0,8790674.25,154167.734375,58644.390625,1613747.1328125,1826558.3828125,13720.998046875,1698.80383300781,912744.46875,0,0,0,928164.34375,0,0,0,21118.8386230469,5574653.125,0,1670095.625,4454.11613464356,0,1523787.3125,251905.578125,9114755.25,68732.20703125,0
2,84893585.1796875,11015376.0830078,650786.907241821,25670.05859375,3972090.29309082,2283828.05456543,20607139.2438507,214392.828125,38769323.9724884,2215850.25,932956.340332031,7834493.36853027,10983289.9310303,57271.9181518555,7306.517578125,603219.255004883,0,0,0,667797.651855469,0,0,1708239.25195312,311756.07421875,19053749.0351562,454869.933349609,5251213.73339844,65751.58984375,45.8030700683594,3702157.40625,3423959.9609375,34473204.6015625,500328.270309448,1253.05523681641
3,16486464.3730469,1953189.984375,7813.3095703125,0,551565.65625,76436.7001953125,2690477.59375,0,5279481.6875,236279.5,77005.1020507812,1018888.54248047,1332173.17529297,6396.6240234375,0,326896.396972656,0,0,0,333293.058105469,0,0,0,37208.1101074219,5892443.0324707,0,0,7847.45599365234,0,2772618.36889648,801767.01171875,9541513.75292969,29639.3796386719,0
4,13675625,684467,6046.0478515625,0,293044.40625,92566.328125,2892097,0,3968220.75,67361.9453125,38819.859375,633425.1875,739607.1875,557.597839355469,0,409228.53125,0,0,0,409786.15625,0,0,0,53839.8203125,5615892.5,0,537.361083984375,11355.203125,471153.78125,1667099.375,718757.875,8558009,19361.220703125,0
5,28996917.5,2042522.9375,47529.6298828125,0,1511123.09375,591375.4765625,11402678.5,0,15595219.5,13530.8154296875,40678.01171875,1359120.375,1413329.21875,4799.4375,0,226069.25,0,0,0,282590.8125,0,51721.65625,23955.412109375,30684.23828125,7986420.5,6374.28466796875,665954.375,6471.52661132812,0,2061181.4375,902582.125,11705750.25,14515.45703125,7622.3583984375
6,7745913.75,587986.62109375,17629.2310791016,0,256140.8359375,108361.489257812,1239954.09375,0,2210073.09375,108219.5234375,12942.0432128906,240074.52734375,361235.8671875,0,0,0,0,0,0,0,0,0,0,1876.43566894531,2857878.5,0,0,395.753814697266,0,1443645.75,818692.5,5174603.875,52129.9609375,0
7,17892208.375,1334130.24121094,8523.1767578125,0,590975.81640625,163081.025390625,2482262.99609375,0,4578975.1875,131315.690429688,4011.93090820312,619606.488464355,754934.066589355,14574.7288818359,0,791638.3828125,0,0,0,806213.1328125,0,0,78077.939453125,51236.2907714844,5934174.453125,20775.7192382812,3513033.4375,10806.1049194336,0,1381479.625,698359.5859375,11752080.359375,55966.912322998,8185.05078125
8,57131356,9966492,245161.296875,7079.810546875,1938214.375,1000238.125,19443786,0,32601006,197404.5625,443696.5625,5776189,6417289,13372.896484375,1707.41760253906,1445704.375,0,0,0,1460784.625,0,0,71588.921875,86658.125,10406046,19052.572265625,1158442.375,18276.830078125,368862.53125,2820130.5,1672996.75,16652284,28562.080078125,1706.9921875
