"zone";"volume_building_commercial_industrial";"volume_building_commercial_innercity";"volume_building_highrise";"volume_building_lightweight";"volume_building_multifamily";"volume_building_singlefamily";"volume_building_skyscraper"
-9999;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
1;6271546,59375;265100,109375;17687,599609375;3838319,625;2132277,8359375;28511966,75;0
2;39226159,3789062;2057055,4750061;93282,703125;17176950,815239;7218882,39941406;109254520,540619;618798
3;6955356,3125;24696,900390625;0;2385199,15625;241606,857421875;14264298,5;0
4;2437406,25;19110,798828125;0;1267246;292590,6875;8976550;0
5;7273481,625;150235,206298828;0;6534726;1869264,1875;35391810;0
6;2093837,09375;55723,7924804688;0;1107660,375;342517,234375;6573963,125;0
7;4750877,28515625;26940,69921875;0;2555628,171875;515478,783203125;13160386,25;0
8;35490992;774924,125;25727,400390625;8381645;3161626,5;60350100;0
9;7807620,70214844;144081,78125;0;2220217,8671875;633924,150390625;17451229,625;0
10;5865944,00195312;333873,59375;0;2460554,3523407;232002,234375;15265866,9031372;0
11;6039762,3203125;99164,7065429688;275,399993896484;3912277,3125;1144835,68164062;22403233,625;0
12;3130967,4375;79956,5;0;1437819,17499924;246559,1796875;8347335,25;0
13;6342651,54994965;23238,8984375;12142,19921875;2064496,60253906;582144,146728516;14318073,0810547;0
14;3862597,75;88236,390625;0;1477718,375;444055,90625;9070705;0
15;3223466,9453125;35140,201171875;0;1402491,89453125;284245,73828125;9220725,734375;0
16;10660519,7998047;61952,3984375;0;5588153,3984375;1280408,09960938;33235432,5625;0
17;21625472,375;392580,306152344;52758,40234375;3979638,5625;413483,5859375;29331401,5;0
18;2261636,21875;11857,9990234375;0;1297814,875;128661,37890625;7485691,875;0
19;1708169,25;28538,298828125;0;1008321,3125;365272,5;6988011,5;0
20;8663895;81986,2890625;0;4766463,1000061;567710;25084102,1000977;0
21;3560844,9375;6055,10009765625;0;2284048;191608,9921875;10691934;0
22;22724486;311786,34375;8413,2998046875;10915071;2717024,25;57608260;0
23;11503460,2070312;105639,421875;0;4513684,5234375;1298457,39941406;27612808,96875;0
24;8159445,5;131036,3046875;0;3000884;693115,375;20873684;0
25;21043057;157966,921875;0;8125187,80000305;787642,0625;42724343,5999756;0
26;11569673,6875;153043,390625;0;5810882,125;3928109,5625;43733487,75;0
27;7222906,49993896;419400,03125;15280;3179647,41091919;249600,984375;17736872,2877197;0
28;24677104;401036,125;132187,09375;8735682;3851799,25;60331364;0
29;3810596,95019531;46751,90234375;0;1287662,00317383;109867,389160156;9529524,33056641;0
30;9864347;21362,201171875;0;2630790,5;294070;17831014;0
31;4563850,5;408,699981689453;0;3712654,32501221;420020,3125;18056936;0
32;1455874,234375;107373,8046875;0;804936,5625;171625,4296875;5453559,625;0
33;2214451,7578125;32109,19921875;0;1182579,9453125;124124,39453125;8021700,125;0
34;3678841,5859375;1565;0;1724111,828125;95637,6083984375;10492478,5;0
35;27521600;240841,390625;14935,201171875;8312669,5;3167204;58677028;0
36;12588521,697998;1025030,75;612201,375;5386027,58789062;1278215,22460938;31531522,5031433;0
37;160407753,5;19418122,53125;3689372,25;37561841;70472817,75;317961910;1553020
38;3352511,875;67790,9946289062;0;1249714,78124809;214202,3671875;8727782,74996948;0
39;18673293,125;295777,681640625;133294,197021484;6751093,875;1172597,0625;49040891;0
40;8648129,42578125;48280,5992431641;39873;3812230,23144531;603938,665039062;24113633,59375;0
41;30152981,7021484;1835150,78125;115159,3046875;8152118,90234375;4351226,05078125;65534089,28125;0
42;18951121,4960938;103238,3984375;16736;7713449,59960938;2829730,59960938;55484613,9656219;0
43;2838182,03125;90258,2890625;83124,1044921875;1496199,34375;327578,6015625;7630616,125;0
44;2809342,8984375;257156,40625;0;1548556,359375;1171602,37304688;11823196,875;0
45;85530860,2089844;1891398,625;355900,34375;25210513,6884766;22303290,9212646;208354834,482819;0
46;4307910,703125;131690,695556641;5088,39990234375;1898084,23132324;452161,125;11994564,75;0
47;11344518;8053;0;2454714,3499999;237403,75;16673074,7000008;0
48;22777488,90625;484624,290527344;11551,5;9861360,34375;4472455,03125;58339582,25;0
49;90375359;4594288,875;1259382,375;24767256,34375;12789453,7070312;195309211,624878;1492112
50;4135894;228842,046875;0;1955790,25;351248,28125;11192081;0
51;66909628;1396302,875;33309,5;15215712;11865776;124812432;578970
52;43140816;1316356,46875;481777,037597656;9679990,4375;4543180,4375;70854879,5;0
53;1395626,19995117;1048,70007324219;0;777745,075195312;161969,162597656;4835868,7734375;0
54;5059994,3999939;21852,197265625;0;2296133,3500061;538766,375;13402607,2001953;0
55;9543895,63378906;137175,466796875;0;3311349,70117188;1620839,99066162;18738684,6132812;0
56;6362387,875;111991,296875;4695,09985351562;2381664,48748779;637070,25;16006205,9003906;0
57;9166163;234896,1875;13631,7998046875;3089238;751274;24199124;0
58;13692525;352960,028320312;3764,7001953125;6585474,9375;4677650,4375;45437188,5;0
59;33152361,625;1652715,0625;179666,5078125;12602203,875;24922265,125;100303848;0
60;2904881,109375;24459,40234375;0;1121205,95156097;426469,625;7501959,32501221;0
61;22948964;334764,125;0;6057106;3867890,109375;43222729;0
62;8559902,25;249679,568359375;504,799987792969;3250376,9375;2588036,6875;25541208,75;0
63;47441311,5;1518966,67578125;501643,15625;11046967;6266784,5625;88539333;0
64;11647017,9140625;267542,997070312;9372,4990234375;5094038,28125;1512650,83300781;37713506;0
65;2832418,5;248370,625;166239,3125;1773633,72509766;263107,03125;9762937,49847412;0
66;1626760,765625;156180,296875;58521,5;928261,796875;120944,690429688;5733592,25;0
67;7659160,5;44444,7041015625;0;2580893,375;610015,546875;17508478;0
68;13302554,9406204;873183,837524414;585593,390625;1363218,76757812;45196,8969116211;8170515,79492188;0
69;50209615,9406128;104882,810546875;944,799987792969;6364573,23632812;81586,9953613281;21597404,078125;0
70;31216702,7724609;1197970,30078125;355012,99609375;5592779,50976562;2023819,42541504;41154396,0546875;0
71;14895605,2991943;142481,505126953;157108,703125;4003328,69458008;151358,678222656;19602629,2000122;0
72;15371795,5;9179,7998046875;0;1721561,89217758;3536,60009765625;5196787,41249084;0
73;4957735,00097656;16809,001953125;0;572962,524505615;30542,794921875;1618766,97180176;0
74;12910358,78125;11203,4013671875;0;3133651,3671875;19157,298828125;1168909,8984375;0
75;1391632147,12109;25959231,5;4677448,375;254649263,019653;25137342,8994141;1415381640,95312;6877207
76;141199869,704102;163652,912353516;109990,59375;13909362,2964602;100998,599220276;15239198,0347595;0
77;24349099,625;83602,4012451172;86364,8046875;3227855,83984375;52268,9936523438;21655202,21875;0
78;438583511,363281;1324401,32818604;624559,037109375;55714790,6584473;1602528,45947266;187773692,341797;1346740
79;101788689,050781;188485,716796875;2971;28265910,4003906;402872,08984375;98799970,2250977;0
80;17651695,5664062;12799,2998046875;0;1663385,33789062;19302,8999023438;8524335,125;0
81;71428037,8739624;369103,263671875;0;13090476,4931641;1367247,37182617;84636598,4477539;0
82;65523419,96875;96278,091796875;0;21054560,7512207;48829,3994140625;31909641,0175781;0
83;7367380,0859375;613032,799987793;34105,19921875;1438956,27929688;430829,53125;10267310,96875;0
84;6448618,5703125;170269,291992188;0;1417756,6953125;274943,969726562;10614694,0999908;0
85;8707333;461329,78125;2979,90014648438;2976744,55000305;266347,21875;21758996;0
86;55402596;1196188,375;57302,5;16569552,9000244;3292337,25;108797997,099976;0
87;11291582;117194,296875;0;4300433,69999695;697167,75;21888997,7999878;0
88;3062854;19662,798828125;0;1052712;225431,453125;7147134;0
89;3101823,25;11618,3994140625;0;496519,3125;326298;3497402,75;0
90;6270985,90625;146465,5;0;4573302,80312347;1046812,17500305;20778357,4500732;0
91;3031614,4375;56577,109375;0;817457,334374905;179041,600585938;5925867,67499924;0
92;6133272,34375;216895,811523438;0;1790631,578125;1455648,9609375;12918552,75;0
93;3841338,75;34734,1953125;0;1538657,34375;119093,399215698;8792646,25;0
94;5455072,5;272541,40625;1839,39990234375;2138320;216906,328125;15600587;0
95;1679245;1645,30004882812;0;1203958,875;76423,2109375;5638133;0
96;6725683,625;28447,4008789062;0;2005423,13750458;665378,484375;12133233,3500977;0
97;5502529,80004883;53517,5015869141;0;2064255,97424316;669746,815673828;14983926,7470703;0
98;29259482,25;1073415,7109375;43412,8984375;5842117,15625;2404560,70507812;43048662,125;0
99;10700865;178909,21875;0;3814323,25;223296,21875;26218992;0
100;14597099,6015625;128005,3984375;0;2466737,11445618;370302,255859375;19846141,890625;0
101;5006019,75;72325,60546875;13534,1997070312;1169704,828125;312054,421875;7615810,5;0
102;1800887,22509766;27603,4016113281;0;511320,81640625;152709,920898438;3873676,46875;0
103;4531758,59960938;113965,4921875;0;852174,575439453;194448,296875;6419429,59960938;0
104;4480838,28125;10877,8994140625;0;1120891,046875;171248,880859375;7657159,875;0
105;22537854;139711,706054688;1349,39990234375;6443822,375;2528709,25;53307964;0
106;3054061,375;56677,0984191895;8616,69921875;1948394,125;116533,60546875;10497165,5;0
107;1337344,38745117;13363,6000976562;0;916031,040634155;30650,80078125;6471430,54998779;0
108;22481793,3999023;1171223,875;35358,5;6958501,5;6400851,29980469;57136329,75;0
109;2709548,24804688;79457,3046875;0;1110238,17578125;285892,375;8483124,75;0
110;11943440;112102,689453125;0;3151291,875;460450,140625;20035997,5;0
111;5499748;39520,3984375;0;3069663;141457,21875;13318032;0
112;7460845,49975586;286608,0859375;9927,3994140625;2213654,57397461;746625,84375;16474772,6054688;0
113;4094578,515625;26415,5009765625;0;2467891,6875;155256,692382812;10507428,5;0
114;8458718,05322266;99115,9030761719;4690,60009765625;2490373,22705078;299652,14453125;18426458,2460938;0
115;2249452,34375;8861;0;999407,982421875;48621,30859375;6928673,15625;0
116;4902322,90002441;161352,484375;0;1168680,39996338;213612,734375;8288473,10058594;0
117;21752061,9619141;723169,53704834;67938,296875;3440639,90625;810316,5625;28675062,84375;0
118;5575137;23893,400390625;0;2385363,25;421745,0625;14372813;0
119;1337351,59375;1906,60003662109;0;1186547,07495117;90036,794921875;4728460,47460938;0
