"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";2387392513,84173;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";314567836,995815;84058898,5065937;129,908857128816;2797994,46021007;0;9522542,35025054;110422,510655088;991623,020767592;0;190349643,937362;38725,3964416576;6445990,91941345;530425,041000213;19536399,0341246;0;184986,099848816
"building_commercial_innercity";14300906,1921997;805679,44816494;26798,591432035;140938,954507291;14795,8665475175;1635025,53396702;53212,9537876546;2074,04778314661;3038330,78428841;7071451,88056946;93,2680012309283;48693,5126743466;22910,3084792718;536421,76880765;206116,032655597;698350,95173192
"building_highrise";2269067,52629089;42886,0656871796;1050,47565975785;569,323698839173;0;169266,525193214;4515,04630090296;6495,21832457185;0;1867328,44984818;0;5224,24828645587;1900,29528701305;142478,04894495;3177,52336833626;24176,8768892288
"building_lightweight";55783412,293016;0;978170,737485327;1561500,75871448;0;7216502,3336519;0;0;0;34561031,1391821;0;537432,76156725;337241,375422327;5119676,05790466;0;5471848,77204259
"building_multifamily";71943603,1898956;4053137,43939209;134815,916941911;709022,336908102;74433,6708960086;8225323,77742767;267698,63997376;10433,9336659163;15284959,4750786;35574410,9788208;469,203779960168;244962,743004203;115255,199168593;2698578,01806259;1036909,05166531;3513199,08647919
"building_singlefamily";697972545,802107;76307527,9691663;19397169,834048;27259614,7137904;5830,78763390944;110664899,578245;1974082,45061176;1801380,31521621;0;369147879,749161;122503,84379341;6934530,26740283;3755626,98599944;11657380,1427719;30503198,0139875;38440897,499269
"building_skyscraper";1470023;0;0;950,232757568359;0;39276,2900390625;8552,09448242188;0;0;1247760,984375;0;38959,546875;0;134523,6328125;0;0
"building";1158306964,60194;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";22861316,6962891;18593000,2998047;0;0;0;0;0;230899,168960571;0;4037416,2277832;0;0;0;0;0;0
"other_parking";16784934,4521179;16451824,3762741;0;0;0;0;0;333113,892605305;0;0;0;0;0;0;0;0
"other_remaining_impervious";213744605,131372;209502626,821604;0;0;0;0;0;4241973,89137989;0;0;0;0;0;0;0;0
"other";253390871,226587;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";1041704,66455078;0;0;0;0;0;0;0;0;79559,1006355286;0;0;0;962145,647262573;0;0
"rail_other";155137,496299744;10085,5696794987;0;0;0;0;0;0;0;140477,411136627;252,139203168452;0;0;4322,38309550285;0;0
"rail_railway";68186545,4000854;64435514,2901917;0;0;0;0;0;0;0;401593,552327991;0;0;0;1376787,28138137;0;1972816,87924838
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";1974,45190429688;128,360000610352;0;0;0;0;0;0;0;1787,87133789062;3,20900011062622;0;0;55,0114288330078;0;0
"rail_tunnel";190079,758178711;0;0;0;0;0;0;0;0;183174,099487305;0;0;0;6905,66276550293;0;0
"rail";69575460,5776062;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";9705785,41046143;0;0;0;0;0;0;0;0;9019176,48748779;0;0;0;686608,372455597;0;0
"street_bridge_other";5272260,87468147;0;0;0;0;0;0;0;0;4771129,23611641;0;0;0;501131,489390135;0;0
"street_local";555207158,762966;537397561,51683;0;0;0;0;0;6258720,6732353;0;11551017,2537407;0;0;0;0;0;0
"street_motorway";106587120,938477;86686956,0899658;0;0;0;0;0;1076529,95152712;0;18823800,8880768;0;0;0;0;0;0
"street_motorway_elevated";2589416,3271637;2459946,77670288;0;0;0;0;0;129470,838524342;0;0;0;0;0;0;0;0
"street_other_elevated";1111957,06567097;1056360,17367125;0;0;0;0;0;55597,8285413086;0;0;0;0;0;0;0;0
"street_primary";4425502,14669037;3883214,22100067;0;0;0;0;0;61388,4073960781;0;480900,962382793;0;0;0;0;0;0
"street_secondary";131390389,454971;119227087,611069;0;0;0;0;0;1866836,11949992;0;10296090,5866032;0;0;0;0;0;0
"street_tertiary";85046757,708374;79676473,8218231;0;0;0;0;0;1186548,05349159;0;4183679,7674284;0;0;0;0;0;0
"street_track";4071946,88284636;4043224,1224882;0;0;0;0;0;10084,6888824396;0;18612,1276256081;0;0;0;0;0;0
"street_tunnel";710888,846923828;0;0;0;0;0;0;0;0;685062,005279541;0;0;0;25826,8404436111;0;0
"street";906118326,140118;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
