"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",1798001741.04919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",203148867.826775,54285475.2367363,83.8955511428103,1806953.23574156,0,6149685.31663394,71311.2160231434,640393.241293997,0,122928403.698929,25008.9805066334,4162842.53080881,342550.015878275,12616671.9332881,0,119464.552389983
"building_commercial_innercity",6848194.84544206,385811.756610826,12832.9000321534,67490.7360874824,7085.21886420599,782956.451927185,25481.8124035019,993.189208312891,1454949.59262171,3386270.93628979,44.6627796944931,23317.6112392843,10970.946398275,256873.510374069,98701.6837395355,334415.855749361
"building_highrise",767923.210021973,14513.981985569,355.513731077313,192.676890894771,0,57285.0577812195,1528.03227424622,2198.18422520161,0,631962.000427246,0,1768.04782986641,643.119150698185,48219.0139980316,1075.37300038338,8182.20909357071
"building_lightweight",32201367.540432,0,564656.546403383,901388.418962369,0,4165777.48215809,0,0,0,19950622.7796215,0,310236.993607863,194675.047239162,2955370.14370598,0,3158666.12133393
"building_multifamily",20622930.8018341,1161847.82811975,38645.4974048138,203244.290490568,21336.7164212093,2357825.7071414,76736.9204695523,2990.9279364422,4381494.70643711,10197547.3707123,134.499231910449,70219.5691758841,33038.3556766063,773558.804187775,297234.086440682,1007073.44565439
"building_singlefamily",440052668.832633,47999546.3215491,9330289.95084383,13508092.7328028,4769.32283947201,80824548.5695503,1073229.64387671,1473448.08273917,0,229155395.419174,57471.002647946,3870860.51114153,2392745.67756769,7682860.20112142,18891914.3462817,23787428.6538786
"building_skyscraper",186891.65625,0,0,120.808052062988,0,4993.39892578125,1087.27233886719,0,0,158634.375,0,4953.13037109375,0,17102.69140625,0,0
"building",703828869.051252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",20067740.5439453,16320988.2177734,0,0,0,0,0,202684.049316406,0,3544055.51330566,0,0,0,0,0,0
"other_parking",6990673.06028748,6851935.69025421,0,0,0,0,0,138736.851882935,0,0,0,0,0,0,0,0
"other_remaining_impervious",164601878.363968,161335106.13102,0,0,0,0,0,3266689.43224311,0,0,0,0,0,0,0,0
"other",191660254.110184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",993751.218200684,0,0,0,0,0,0,0,0,75896.7007255554,0,0,0,917854.668380737,0,0
"rail_other",321934.598564148,20929.1142115593,0,0,0,0,0,0,0,291512.049369812,523.226402431726,0,0,8969.53147602081,0,0
"rail_railway",53469115.1708069,50527573.6902618,0,0,0,0,0,0,0,314912.300271332,0,0,0,1079616.25755692,0,1546998.02966714
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",24556.6713867188,1596.44018554688,0,0,0,0,0,0,0,22236.1267089844,39.9110078811646,0,0,684.18888092041,0,0
"rail_tunnel",183173.655151367,0,0,0,0,0,0,0,0,176518.848999023,0,0,0,6654.76309585571,0,0
"rail",54992523.3114319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",6004865.33300781,0,0,0,0,0,0,0,0,5580064.75585938,0,0,0,424797.106414795,0,0
"street_bridge_other",4437018.91383362,0,0,0,0,0,0,0,0,4015277.83174896,0,0,0,421741.354740143,0,0
"street_local",492256059.569983,476501663.349263,0,0,0,0,0,5536472.62743287,0,10218036.4231251,0,0,0,0,0,0
"street_motorway",98092216.0553589,79778098.0266724,0,0,0,0,0,990732.082400322,0,17323564.5234222,0,0,0,0,0,0
"street_motorway_elevated",1600319.82110596,1520303.56884766,0,0,0,0,0,80015.9853401184,0,0,0,0,0,0,0,0
"street_other_elevated",935799.291519165,889009.434394836,0,0,0,0,0,46789.9693391323,0,0,0,0,0,0,0,0
"street_primary",32943457.5634766,28906611.633667,0,0,0,0,0,456974.704162121,0,3579827.24863052,0,0,0,0,0,0
"street_secondary",67921186.2595141,61633631.0630894,0,0,0,0,0,965042.248070251,0,5322485.60345417,0,0,0,0,0,0
"street_tertiary",139459271.681244,130653209.778687,0,0,0,0,0,1945697.94365132,0,6860379.87448263,0,0,0,0,0,0
"street_track",3575929.85847801,3551462.92569983,0,0,0,0,0,8599.48204641929,0,15871.0749518557,0,0,0,0,0,0
"street_tunnel",293474.999343872,0,0,0,0,0,0,0,0,282812.921722412,0,0,0,10662.0480833054,0,0
"street",847519430.250938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
