"category";"total"
"grand_total_t_10m2";2471597352,63103
"building_commercial_industrial";672562590,32341
"building_commercial_innercity";9666695,82112885
"building_highrise";1816223,57080078
"building_lightweight";95820788,2682927
"building_multifamily";9838029,50348473
"building_singlefamily";405921606,899807
"building_skyscraper";2849322,140625
"building";1198475554,28464
"other_airport";41941189,6843262
"other_parking";40145329,8012238
"other_remaining_impervious";256311498,308549
"other";338397861,710832
"rail_bridge";1430136,17910767
"rail_other";294439,232849121
"rail_railway";46145639,4775391
"rail_subway_elevated";0
"rail_subway_surface";0
"rail_subway";0
"rail";48104610,7976074
"rail_tram";67013,8212890625
"rail_tunnel";167384,733764648
"street_bridge_motorway";7377161,66943359
"street_bridge_other";6047810,77688575
"street_local";443037588,86039
"street_motorway_elevated";1972119,79855347
"street_motorway";161307998,407227
"street_other_elevated";1275527,24854553
"street_primary";62921842,0404968
"street_secondary";69030316,7368164
"street_tertiary";79019385,6784973
"street";886620433,045341
"street_track";53363989,4801917
"street_tunnel";1267183,26237488
