"category";"total"
"grand_total_t_10m2";9535815629,86079
"building_commercial_industrial";2154468176,79475
"building_commercial_innercity";106608869,522985
"building_highrise";38678759,1401567
"building_lightweight";359404262,920278
"building_multifamily";144629977,200191
"building_singlefamily";2297472378,29482
"building_skyscraper";33545891,1445312
"building";5134809398,80384
"other_airport";102017372,895508
"other_parking";122418354,856941
"other_remaining_impervious";1392306212,48757
"other";1616742544,95878
"rail_bridge";6488176,22904968
"rail_other";2715595,23463821
"rail_railway";140158316,720413
"rail_subway_elevated";3911362,8515625
"rail_subway_surface";6099462,8359375
"rail_subway";17191253,3554688
"rail";182737602,85516
"rail_tram";156328,714752197
"rail_tunnel";6017053,12878418
"street_bridge_motorway";44676822,9643555
"street_bridge_other";18906521,3049545
"street_local";1328595694,57428
"street_motorway_elevated";11986354,1276855
"street_motorway";505792594,233269
"street_other_elevated";3987521,91483784
"street_primary";112565971,106567
"street_secondary";227158926,569321
"street_tertiary";269887358,871567
"street";2601539121,08254
"street_track";72588891,4698615
"street_tunnel";5391470,56152344
