"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",9434087803.82266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",2154468176.79475,575717965.454392,889.743425474326,19163416.5400769,0,65219717.5331559,756282.00601802,6791612.01194473,0,1303700893.05875,265229.590697797,44148534.3881121,3632871.21005094,133804523.108347,0,1266966.71835809
"building_commercial_innercity",106053199.576424,5974795.01912643,198734.031396623,1045181.15895268,109723.826803265,12125093.9459632,394618.660598587,15380.8174103712,22531775.5973646,52440771.5113271,691.660820717812,361103.373741762,169899.334853568,3978017.31918943,1528523.68247487,5178859.35636581
"building_highrise",39144439.7653999,739841.785545528,18122.1030589873,9821.59402561001,0,2920072.12397385,77890.5864509307,112051.187066482,0,32213893.5918121,0,90125.1881868709,32782.6374735339,2457935.32663131,54816.508527087,417083.13581796
"building_lightweight",235151718.862573,0,4123425.00307896,6582424.82600552,0,30420753.5399152,0,0,0,145690180.701482,0,2265518.25084336,1421622.32922981,21581702.0760584,0,23066273.6611711
"building_multifamily",143876082.358665,8105644.52919912,269610.851319611,1417934.89258733,148855.790404752,16449383.5539651,535355.938563466,20866.2499000411,30567525.3262978,71143305.4239197,938.335152627202,489887.385242298,230492.283866465,5396743.26872599,2073657.8241753,7025852.98843312
"building_singlefamily",2316898640.97206,387785468.376822,62408755.5426641,82320694.2928382,0,152867504.892313,9092111.94399503,1792045.80261347,4879027.71485639,1288921562.81576,641344.664991877,24089320.1702346,14179194.5770353,30230155.4979497,93509435.1776516,164182104.418046
"building_skyscraper",33545891.1445312,0,0,21684.2998275757,0,896284.25,195158.618408203,0,0,28473885.6679688,0,889056.096801758,0,3069826.71435547,0,0
"building",5029138900.25985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",105954601.390625,86172374.1530762,0,0,0,0,0,1070141.29376221,0,18712081.2092285,0,0,0,0,0,0
"other_parking",122418354.856941,119988877.617096,0,0,0,0,0,2429515.86572444,0,0,0,0,0,0,0,0
"other_remaining_impervious",1392306212.48757,1364673525.63003,0,0,0,0,0,27631711.8340442,0,0,0,0,0,0,0,0
"other",1620680589.14433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",6488176.22904968,0,0,0,0,0,0,0,0,495527.661158562,0,0,0,5992649.38943481,0,0
"rail_other",2715595.23463821,176539.691060781,0,0,0,0,0,0,0,2458978.18637466,4413.5357632041,0,0,75659.8397293687,0,0
"rail_railway",140160922.125458,132450284.138596,0,0,0,0,0,0,0,825493.763793111,0,0,0,2830051.00211716,0,4055212.70960379
"rail_subway",17191253.3554688,0,0,0,0,0,5752.95395326614,0,0,16378179.0703125,9358.95628261566,0,0,797947.610046387,0,0
"rail_subway_elevated",3911362.8515625,309902.040161133,0,0,0,0,4577.38349151611,0,0,3339796.140625,5454.67330741882,0,0,251637.197998047,0,0
"rail_subway_surface",6099462.8359375,864626.715820312,0,0,0,0,9354.84367370605,0,0,4720498.5234375,15218.5665740967,0,0,489775.209472656,0,0
"rail_tram",156328.714752197,10162.9962091446,0,0,0,0,0,0,0,141556.120300293,254.074779808521,0,0,4355.57317447662,0,0
"rail_tunnel",6017053.12878418,0,0,0,0,0,0,0,0,5798449.3017807,0,0,0,218601.530929327,0,0
"rail",182740195.822643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",44676822.9643555,0,0,0,0,0,0,0,0,41516262.9841309,0,0,0,3160535.1244812,0,0
"street_bridge_other",18906521.3049545,0,0,0,0,0,0,0,0,17109442.7829514,0,0,0,1797076.2867732,0,0
"street_local",1328595697.80414,1285550195.54167,0,0,0,0,0,15127063.2243761,0,27918354.9231155,0,0,0,0,0,0
"street_motorway",505792596.577019,411358067.188568,0,0,0,0,0,5108505.15782523,0,89325354.1853046,0,0,0,0,0,0
"street_motorway_elevated",11986354.1276855,11387032.1183472,0,0,0,0,0,599317.211051941,0,0,0,0,0,0,0,0
"street_other_elevated",3987521.91483784,3788146.0385561,0,0,0,0,0,199376.08363539,0,0,0,0,0,0,0,0
"street_primary",112565971.106567,98772514.4145508,0,0,0,0,0,1561461.87129021,0,12232082.7986145,0,0,0,0,0,0
"street_secondary",227158926.850571,206130052.213806,0,0,0,0,0,3227543.7972579,0,17800740.1275196,0,0,0,0,0,0
"street_tertiary",269887358.500473,252845420.88887,0,0,0,0,0,3765398.67504185,0,13276489.8734035,0,0,0,0,0,0
"street_track",72588892.2424526,72058352.0764079,0,0,0,0,0,186455.988309544,0,344121.973996483,0,0,0,0,0,0
"street_tunnel",5391470.56152344,0,0,0,0,0,0,0,0,5195597.71620178,0,0,0,195874.008068562,0,0
"street",2601539121.04266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
