"category";"total"
"grand_total_t_10m2";1171763330,57996
"building_commercial_industrial";140701621,309326
"building_commercial_innercity";19141385,359375
"building_highrise";7115607,33398438
"building_lightweight";32297133,6232507
"building_multifamily";139108229,711879
"building_singlefamily";395478698,283508
"building_skyscraper";10036337,0546875
"building";743878924,249901
"other_airport";5842797,99902344
"other_parking";13824496,5750847
"other_remaining_impervious";132432460,863487
"other";152099861,413345
"rail_bridge";527912,747817993
"rail_other";136673,952392578
"rail_railway";12807730,7339783
"rail_subway_elevated";0
"rail_subway_surface";0
"rail_subway";0
"rail";13724740,3929901
"rail_tram";9295,7373046875
"rail_tunnel";243123,447387695
"street_bridge_motorway";6538159,16015625
"street_bridge_other";2078659,47652435
"street_local";127525235,200745
"street_motorway_elevated";1754427,23583984
"street_motorway";65625391,8326416
"street_other_elevated";438404,446523666
"street_primary";2672394,20019531
"street_secondary";29338531,1199341
"street_tertiary";24781213,2666626
"street";262060138,035767
"street_track";802480,801122665
"street_tunnel";505444,584472656
