"category","total"
"grand_total_t_10m2",141803975.474609
"building_commercial_industrial",13349957
"building_commercial_innercity",34520364
"building_highrise",3854865
"building_lightweight",1523507.03103256
"building_multifamily",30090721.1636808
"building_singlefamily",18707622.8106384
"building_skyscraper",0
"building",102047012.631012
"other_airport",99158.71875
"other_parking",2545794.85684967
"other_remaining_impervious",8923180.64038086
"other",11568141.9978027
"rail_bridge",200128.84375
"rail_other",25246.32421875
"rail_railway",855667.8125
"rail_subway_elevated",393191.40625
"rail_subway_surface",670659.875
"rail_subway",9571550.52587891
"rail",12129336.5258789
"rail_tram",38201.23828125
"rail_tunnel",374668.4375
"street_bridge_motorway",684192.051757812
"street_bridge_other",329119.295539856
"street_local",6897089.35980225
"street_motorway_elevated",184066.149383545
"street_motorway",2081023.4609375
"street_other_elevated",69413.5823392868
"street_primary",320194.375
"street_secondary",3141979.70741272
"street_tertiary",1375946.40972519
"street",16059592.3087158
"street_track",10640.2802734375
"street_tunnel",965916.544921875
