"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",366272370.975708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",47545109.1089935,12705019.5142517,19.6349597590815,422901.063601971,0,1439278.33318472,16689.7583659515,149878.359140843,0,28770263.7634964,5853.12679249048,974274.983698845,80170.624207139,2952818.58487892,0,27959.5741598904
"building_commercial_innercity",8537680.95361328,480992.654624939,15998.8475997448,84141.0369691849,8833.17588877678,976115.170776367,31768.3134436607,1238.21245327592,1813893.83721924,4221675.2512207,55.6812749672681,29070.2049574852,13677.5401024818,320245.442043304,123051.831460953,416917.886009216
"building_highrise",1884621.6484375,35619.9069824219,872.494157791138,472.863671302795,0,140587.814453125,3750.065574646,5394.73537445068,0,1550948.56640625,0,4339.10726928711,1578.33016967773,118338.094238281,2639.15718078613,20080.6051635742
"building_lightweight",7349959.99842834,0,128882.934382915,205741.908351779,0,950838.688750267,0,0,0,4553721.07727432,0,70811.5710778981,44434.5595353395,674562.827266216,0,720965.362055421
"building_multifamily",37222480.8492279,2097031.59119797,69751.5418283045,366837.832342386,38510.8589006066,4255661.49569321,138503.16852957,5398.35345910117,7908203.93214798,18405685.0242386,242.758690703602,126739.991883516,59631.2620587051,1396206.45098591,536481.425539494,1817674.66217184
"building_singlefamily",119790215.914083,13062119.6099631,2428538.68351838,3535885.85796874,1340.27602258603,22426380.8185668,285571.353287893,414069.48027647,0,62242729.3702224,14885.6070956272,1034471.8086565,652306.815630759,2104211.99590392,5129683.45205243,6458129.3335703
"building_skyscraper",261325.515625,0,0,168.922576904297,0,6982.1337890625,1520.30310058594,0,0,221814.078125,0,6925.82666015625,0,23914.22265625,0,0
"building",222591581.394369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",3968782.21289062,3227793.41015625,0,0,0,0,0,40084.6956787109,0,700905.512695312,0,0,0,0,0,0
"other_parking",5891898.95251465,5774967.21020508,0,0,0,0,0,116930.593736649,0,0,0,0,0,0,0,0
"other_remaining_impervious",36469369.8969116,35745577.4345398,0,0,0,0,0,723771.285802841,0,0,0,0,0,0,0,0
"other",46330121.6859741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",144011.344665527,0,0,0,0,0,0,0,0,10998.7241134644,0,0,0,133012.80960083,0,0
"rail_other",32356.0162124634,2103.48342728615,0,0,0,0,0,0,0,29298.5040206909,52.5870381444693,0,0,901.492230653763,0,0
"rail_railway",6051448.30419922,5718546.16793823,0,0,0,0,0,0,0,35640.2783222198,0,0,0,122184.257418156,0,175082.902743816
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tunnel",2859.58081054688,0,0,0,0,0,0,0,0,2755.69116210938,0,0,0,103.889579772949,0,0
"rail",6230677.06354523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",1653961.34179688,0,0,0,0,0,0,0,0,1536956.32568359,0,0,0,117004.87197876,0,0
"street_bridge_other",895340.572485924,0,0,0,0,0,0,0,0,810237.450912476,0,0,0,85102.5966717601,0,0
"street_local",42457150.0201416,41098295.3479004,0,0,0,0,0,477521.052980423,0,881308.345870972,0,0,0,0,0,0
"street_motorway",12316344.6992188,10016766.5493164,0,0,0,0,0,124395.188720703,0,2175124.08679199,0,0,0,0,0,0
"street_motorway_elevated",441547.298706055,419470.268798828,0,0,0,0,0,22077.4019470215,0,0,0,0,0,0,0,0
"street_other_elevated",188833.616238117,179392.25725925,0,0,0,0,0,9441.66818965226,0,0,0,0,0,0,0,0
"street_primary",16900318.3699036,14829283.5317078,0,0,0,0,0,234433.681642532,0,1836493.57487869,0,0,0,0,0,0
"street_secondary",5793184.87823486,5256906.97113037,0,0,0,0,0,82312.0063018799,0,453970.837608337,0,0,0,0,0,0
"street_tertiary",10193762.8189697,9550085.12658691,0,0,0,0,0,142220.432255745,0,501458.941238403,0,0,0,0,0,0
"street_track",260601.361096382,258818.313925743,0,0,0,0,0,626.700548432767,0,1156.63091471791,0,0,0,0,0,0
"street_tunnel",19656.4230957031,0,0,0,0,0,0,0,0,18942.291015625,0,0,0,714.124240875244,0,0
"street",91120355.1065674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
