"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",5355752593.04514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",890977275.4373,238087262.707596,367.952023305993,7925001.91195696,0,26971500.5574491,312759.379163043,2808659.82473709,0,539143633.133051,109685.297795903,18257540.6252691,1502368.27144936,55334651.8588818,0,523952.021433794
"building_commercial_innercity",48953746.2773886,2757941.70424187,91734.9215323981,482451.774318285,50648.1003583129,5596895.78603721,182154.552598838,7099.72659623704,10400586.8124105,24206466.198935,319.268049074552,166683.858777359,78424.8992779013,1836238.45876706,705561.094862714,2390542.75563839
"building_highrise",9049109.36480713,171030.915409565,4189.32780596614,2270.47906820476,0,675039.774433136,18006.135725081,25903.1132549047,0,7446959.77740479,0,20834.4532259107,7578.43396016955,568206.586141586,12672.054833293,96418.0509486198
"building_lightweight",238569530.329222,0,4183356.66638509,6678093.69059869,0,30862905.6133085,0,0,0,147807643.82787,0,2298445.34760377,1442283.88815588,21895371.6949637,0,23401524.4340658
"building_multifamily",175359309.746643,9879337.80249357,328607.298579559,1728210.11079955,181428.576932073,20048860.8270664,652503.172623456,25432.2210056847,37256347.8690891,86710943.4941769,1143.66345219663,597085.537172765,280928.985095158,6577666.07510018,2527419.14491743,8563263.07775998
"building_singlefamily",1556638378.07988,171494549.869629,77746554.5918943,104551399.42912,0,115321292.594986,6441260.53176242,0,0,865897795.679103,508320.837629937,21427334.4998145,8079395.27051891,22035016.2735436,72067740.4430111,91067308.1631039
"building_skyscraper",28250710.5625,0,0,18261.456401825,0,754806.830810547,164353.101043701,0,0,23979313.5195312,0,748720.033691406,0,2585259.75146484,0,0
"building",2947797981.69704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",83160042.4299316,67633711.6673584,0,0,0,0,0,839916.065603256,0,14686458.2367477,0,0,0,0,0,0
"other_parking",67479292.0604453,66140066.3247654,0,0,0,0,0,1339193.97791972,0,0,0,0,0,0,0,0
"other_remaining_impervious",634274097.368467,621686116.508015,0,0,0,0,0,12587799.6454302,0,0,0,0,0,0,0,0
"other",784913321.625061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",2527010.49132538,0,0,0,0,0,0,0,0,192997.646352768,0,0,0,2334011.647789,0,0
"rail_other",610695.940338135,39701.6015634537,0,0,0,0,0,0,0,552986.734909058,992.539997935295,0,0,17014.9732022285,0,0
"rail_railway",65459765.5665283,61858773.652832,0,0,0,0,0,0,0,385532.286022663,0,0,0,1321729.00116158,0,1893919.62266159
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",3595315.5,284861,0,0,0,0,4207.4951171875,0,0,3069925.25,5013.90771484375,0,0,231302.234375,0,0
"rail_subway_surface",67004.408203125,9498.15686035156,0,0,0,0,102.765480041504,0,0,51855.98828125,167.179822921753,0,0,5380.30029296875,0,0
"rail_tram",62063.8642578125,4034.79827880859,0,0,0,0,0,0,0,56198.9990234375,100.870070934296,0,0,1729.20088195801,0,0
"rail_tunnel",92262.6590881348,0,0,0,0,0,0,0,0,88910.7082519531,0,0,0,3351.9342918396,0,0
"rail",72414122.4243011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",21903822.8139648,0,0,0,0,0,0,0,0,20354303.2524414,0,0,0,1549523.93624878,0,0
"street_bridge_other",14937403.9097939,0,0,0,0,0,0,0,0,13517596.9375839,0,0,0,1419810.07296944,0,0
"street_local",834668052.697423,807678354.323605,0,0,0,0,0,9484889.10778389,0,17505202.9256895,0,0,0,0,0,0
"street_motorway",254332311.812012,206847236.178223,0,0,0,0,0,2568756.65400314,0,44916285.9835205,0,0,0,0,0,0
"street_motorway_elevated",5849905.72131348,5557407.52911377,0,0,0,0,0,292495.304016113,0,0,0,0,0,0,0,0
"street_other_elevated",3150407.42387962,2992886.92957497,0,0,0,0,0,157520.357125998,0,0,0,0,0,0,0,0
"street_primary",14629596.8885269,12836939.6315002,0,0,0,0,0,202934.703588963,0,1589737.98978138,0,0,0,0,0,0
"street_secondary",234566219.639591,212851333.736908,0,0,0,0,0,3332782.20789343,0,18381178.8046362,0,0,0,0,0,0
"street_tertiary",138514191.583618,129767846.30188,0,0,0,0,0,1932510.36107445,0,6813884.9481945,0,0,0,0,0,0
"street_track",27106771.2220988,26909254.9126734,0,0,0,0,0,69415.378197592,0,128112.164359805,0,0,0,0,0,0
"street_tunnel",970157.741638184,0,0,0,0,0,0,0,0,934911.63873291,0,0,0,35246.1890678406,0,0
"street",1550627599.68128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
