"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";4211292766,18032;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";626723532,883355;167473226,075133;258,82162379922;5574534,04913095;0;18972064,619042;219998,326742957;1975643,17772751;0;379239799,12539;77153,8877489577;12842561,5194083;1056782,66041362;38923013,5272333;0;368553,831288706
"building_commercial_innercity";46015091,1528711;2592386,14898637;86228,2035372164;453490,6008402;47607,7677775351;5260920,00410777;171220,039022462;6673,53964020923;9776259,38046432;22753378,3055093;300,102824522386;156678,142814208;73717,1122258306;1726011,00313567;663206,593344264;2247040,62805405
"building_highrise";9035869,75367737;170780,616129398;4183,19841364026;2267,15803663805;0;674052,235449791;17979,7994437814;25865,2091453373;0;7436063,57268524;0;20803,9669377506;7567,34980769455;567375,397777081;12653,5188881308;96277,0075917244
"building_lightweight";83912669,2582548;0;1471422,26631328;2348902,08086585;0;10855480,3331432;0;0;0;51988733,2870167;0;808437,704052938;507298,274139229;7701313,7822628;0;8231075,49890503
"building_multifamily";298299544,004944;16805499,817625;558986,554421365;2939816,48209286;308623,896912418;34104684,7836542;1109957,94906193;43262,1595760109;63375931,0871964;147502049,873539;1945,45933669322;1015687,8723003;477881,964126945;11189105,4501996;4299331,71395028;14566762,9069109
"building_singlefamily";1248021501,3259;136297207,117475;30851726,0897877;43880382,9664773;11870,654275462;212485327,742701;3303286,66930229;3667357,24763942;0;655326491,275621;192922,906947602;11737013,3234216;6748255,30116175;21284562,9021678;54093010,7035831;68142084,4730002
"building_skyscraper";10910281,4414062;0;0;7052,48100852966;0;291502,498413086;63472,3311462402;0;0;9260688,625;0;289151,743041992;0;998413,075439453;0;0
"building";2322919359,93698;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";36509137,9934082;29692708,8186035;0;0;0;0;0;368741,981628418;0;6447681,42492676;0;0;0;0;0;0
"other_parking";24800653,5393524;24308452,3193207;0;0;0;0;0;492193,965596437;0;0;0;0;0;0;0;0
"other_remaining_impervious";382299237,65782;374712046,082499;0;0;0;0;0;7587108,89476639;0;0;0;0;0;0;0;0
"other";443609058,600874;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";1780642,97705078;0;0;0;0;0;0;0;0;135994,711835861;0;0;0;1644648,56234741;0;0
"rail_other";519284,360824585;33758,9554288387;0;0;0;0;0;0;0;470213,497533798;843,973573017865;0;0;14468,1124202609;0;0
"rail_railway";94669445,5828247;89461398,0228271;0;0;0;0;0;0;0;557566,220326424;0;0;0;1911514,48395061;0;2739034,40334129
"rail_subway";3894656,4296875;0;0;0;0;0;1303,32136726379;0;0;3710453,7421875;2120,25844192505;0;0;180774,122314453;0;0
"rail_subway_elevated";1697198,953125;134470,99609375;0;0;0;0;1986,19317626953;0;0;1449187,0546875;2366,86315917969;0;0;109188,828125;0;0
"rail_subway_surface";2795795,875;396315,435546875;0;0;0;0;4287,93754577637;0;0;2163720,5546875;6975,66500854492;0;0;224496,749023438;0;0
"rail_tram";26817,8409423828;1743,4398727417;0;0;0;0;0;0;0;24283,6276855469;43,5859975814819;0;0;747,188591003418;0;0
"rail_tunnel";183549,603271484;0;0;0;0;0;0;0;0;176881,165222168;0;0;0;6668,42139625549;0;0
"rail";105567370,131042;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";7738975,50125504;0;0;0;0;0;0;0;0;7191504,35865021;0;0;0;547471,841319203;0;0
"street_bridge_other";8731531,26647949;0;0;0;0;0;0;0;0;7901595,7804985;0;0;0;829937,399217606;0;0
"street_local";771462360,58529;746698083,878098;0;0;0;0;0;8702756,23440808;0;16061694,9284849;0;0;0;0;0;0
"street_motorway";160203607,076385;130292862,713867;0;0;0;0;0;1618056,17478108;0;28292705,0675278;0;0;0;0;0;0
"street_motorway_elevated";2067167,08142662;1963809,37477636;0;0;0;0;0;103358,432964593;0;0;0;0;0;0;0;0
"street_other_elevated";1841542,62737846;1749465,83192635;0;0;0;0;0;92077,1475147009;0;0;0;0;0;0;0;0
"street_primary";19051906,4118652;16717331,0178223;0;0;0;0;0;264278,56770277;0;2070289,55448341;0;0;0;0;0;0
"street_secondary";197240585,578188;178981586,539362;0;0;0;0;0;2802455,03783083;0;15456282,9780788;0;0;0;0;0;0
"street_tertiary";162544363,032091;152280578,380054;0;0;0;0;0;2267776,37037393;0;7996001,298182;0;0;0;0;0;0
"street_track";7531769,3573229;7478515,87895164;0;0;0;0;0;18715,9601032567;0;34541,9314218282;0;0;0;0;0;0
"street_tunnel";783698,640563965;0;0;0;0;0;0;0;0;755226,458953857;0;0;0;28472,0380096436;0;0
"street";1339196984,05402;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
