"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";1105630618,60701;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";100270663,166889;26794350,9402127;41,4093385459519;891880,25096715;0;3035375,3126791;35197,9526760412;316086,709733425;0;60675277,8390118;12343,9922062652;2054705,22315733;169076,570242818;6227365,68727531;0;58965,6154792237
"building_commercial_innercity";2337702,85943604;131700,825378656;4380,64393279701;23038,6683588326;2418,61317503452;267270,206585407;8698,48324678838;339,03533824021;496662,487719536;1155938,5188694;15,2461041521456;7959,70681405067;3745,04746713117;87686,4388538599;33692,8583239317;114156,309723973
"building_highrise";333637,124694824;6305,84253406525;154,458893358707;83,711714014411;0;24888,4561920166;663,879306793213;955,038122057915;0;274566,49041748;0;768,158138751984;279,413926392794;20949,5609054565;467,213909804821;3554,89655637741
"building_lightweight";13961091,8247721;0;244810,120790713;390802,015068801;0;1806097,62438079;0;0;0;8649704,39079487;0;134505,065530489;84402,470735535;1281318,37208596;0;1369458,32366667
"building_multifamily";2772460,83551526;156194,061469927;5195,3422944583;27323,3149070591;2868,41880892916;316976,22366488;10316,1956955586;402,087929967005;589029,88821727;1370916,19521701;18,0815246412039;9440,02826355211;4441,53850484919;103994,057879984;39958,9305117391;135386,69907622
"building_singlefamily";240794803,431261;48730716,893038;2993690,60364594;4965403,99894159;0;27002347,2186232;743454,574822398;106678,673374299;32683684,6078462;99785037,8133708;79077,5497297079;1236814,85065532;989944,339973655;1701751,27281735;6155757,47326581;13620454,0897561
"building_skyscraper";17351,73828125;0;0;11,2162809371948;0;463,606262207031;100,94652557373;0;0;14728,220703125;0;459,867553710938;0;1587,87939453125;0;0
"building";360487755,690005;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";14792962,7207031;12031043,7016602;0;0;0;0;0;149408,81288147;0;2612507,07250977;0;0;0;0;0;0
"other_parking";7378405,25489044;7231971,6104126;0;0;0;0;0;146431,831716537;0;0;0;0;0;0;0;0
"other_remaining_impervious";52898415,354671;51848583,5357013;0;0;0;0;0;1049822,13871256;0;0;0;0;0;0;0;0
"other";75069768,0650783;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";504893,775375366;0;0;0;0;0;0;0;0;38560,7306270599;0;0;0;466333,179992676;0;0
"rail_other";749361,311538696;48716,290002346;0;0;0;0;0;0;0;678548,204483032;1217,90860813856;0;0;20878,401556015;0;0
"rail_railway";33915204,3013611;32049461,0826416;0;0;0;0;0;0;0;199747,831096649;0;0;0;684798,006118298;0;981257,755853653
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tunnel";212588,892089844;0;0;0;0;0;0;0;0;204865,458740234;0;0;0;7723,4298210144;0;0
"rail";35382031,254715;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";1571038,87683105;0;0;0;0;0;0;0;0;1459900,22546387;0;0;0;111138,721633911;0;0
"street_bridge_other";2187651,32311249;0;0;0;0;0;0;0;0;1979714,12724304;0;0;0;207937,512061119;0;0
"street_local";429507713,223549;415962472,561028;0;0;0;0;0;4759756,62682223;0;8784552,98082662;0;0;0;0;0;0
"street_motorway";69452123,5358887;56484906,2229004;0;0;0;0;0;701467,413545609;0;12265585,4166565;0;0;0;0;0;0
"street_motorway_elevated";419083,687896729;398129,522888184;0;0;0;0;0;20954,1864376068;0;0;0;0;0;0;0;0
"street_other_elevated";461390,510156631;438321,949710846;0;0;0;0;0;23069,5572645664;0;0;0;0;0;0;0;0
"street_primary";5698550,84840393;5000250,69628906;0;0;0;0;0;79047,3515087366;0;619235,801005363;0;0;0;0;0;0
"street_secondary";57400559,0146484;52086415,4775391;0;0;0;0;0;815555,055485725;0;4498015,72210693;0;0;0;0;0;0
"street_tertiary";32334218,0189209;30292503,7028809;0;0;0;0;0;451120,470379829;0;1590615,17185879;0;0;0;0;0;0
"street_track";35132943,1664608;34911932,9419947;0;0;0;0;0;77671,9825499412;0;143350,482459443;0;0;0;0;0;0
"street_tunnel";525791,465332031;0;0;0;0;0;0;0;0;506689,026702881;0;0;0;19102,1793642044;0;0
"street";634690711,591621;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
