"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",5186716001.39862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",800853275.073898,214004234.599419,330.732733049925,7123369.76630604,0,24243290.0395179,281122.967094399,2524557.63651812,0,484608117.269547,98590.3556735776,16410750.4720199,1350400.640369,49737432.1943321,0,470953.19473286
"building_commercial_innercity",36643899.1269665,2064430.27839983,68667.279022608,361134.651606992,37912.1229550801,4189500.66741943,136350.062226534,5314.43079631124,7785260.97705078,18119521.9234982,238.985083420965,124769.649361826,58704.1847522743,1374498.9410342,528141.008258194,1789419.77735221
"building_highrise",20035558.3355637,378678.461950064,9275.55946058407,5027.05338493362,0,1494600.71874714,39867.2338796556,57351.8462706953,0,16488251.2284164,0,46129.3919489831,16779.3449801356,1258061.82538033,28057.1086062714,213478.3039639
"building_lightweight",101368865.904544,0,1777520.22469053,2837541.88432358,0,13113736.4012972,0,0,0,62803846.2479764,0,976616.200715296,612831.045293856,9303408.29716915,0,9943376.64936492
"building_multifamily",237860215.643528,13400488.3243345,445728.35343235,2344174.07900637,246092.712840874,27194635.3567715,885066.647833467,34496.6769209327,50535155.4006376,117616295.261758,1551.28498666352,809895.785612404,381056.860963993,8922046.83550286,3428229.32990816,11615351.5777436
"building_singlefamily",1658117532.92971,314362567.75396,22395406.4532665,36212424.4885915,2541.1655060323,202990017.869467,4959645.47066894,1419045.36817607,194232602.435586,711014293.75066,498165.197125973,9311498.57237099,7119811.21346554,14102747.2515689,46308311.5027246,93188288.8305478
"building_skyscraper",54406085.765625,0,0,35168.4500846863,0,1453629.21166992,316516.185546875,0,0,46180098.9960938,0,1441905.67797852,0,4978767.33300781,0,0
"building",2909285091.26427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",36593715.2460938,29761498.9326172,0,0,0,0,0,369596.205596924,0,6462617.78759766,0,0,0,0,0,0
"other_parking",25778847.2271881,25267231.8974762,0,0,0,0,0,511606.95972681,0,0,0,0,0,0,0,0
"other_remaining_impervious",606718073.888742,594677034.015385,0,0,0,0,0,12040917.0681211,0,0,0,0,0,0,0,0
"other",669090344.59968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",5472397.77193832,0,0,0,0,0,0,0,0,417947.875320196,0,0,0,5054444.840168,0,0
"rail_other",1116284.94267273,72570.1920566559,0,0,0,0,0,0,0,1010799.01979065,1814.25426733494,0,0,31101.4913535118,0,0
"rail_railway",172875572.86281,163365132.291302,0,0,0,0,0,0,0,1018170.60734072,0,0,0,3490611.80538452,0,5001747.04314858
"rail_subway",4419155.6875,0,0,0,0,0,1478.84512329102,0,0,4210149.25,2405.7991027832,0,0,205119.11328125,0,0
"rail_subway_elevated",6076071.875,481414.8125,0,0,0,0,7110.69262695312,0,0,5188170.875,8473.50427246094,0,0,390901.3515625,0,0
"rail_subway_surface",5088207.5,721279.40625,0,0,0,0,7803.88061523438,0,0,3937871.25,12695.4194335938,0,0,408572.90625,0,0
"rail_tram",881.704406738281,57.3199977874756,0,0,0,0,0,0,0,798.385681152344,1.43299996852875,0,0,24.565712928772,0,0
"rail_tunnel",1239435.42723846,0,0,0,0,0,0,0,0,1194406.80545044,0,0,0,45029.1578235626,0,0
"rail",196288008.266876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",13122087.0413818,0,0,0,0,0,0,0,0,12193801.5472412,0,0,0,928284.667907715,0,0
"street_bridge_other",9948175.40396118,0,0,0,0,0,0,0,0,9002594.5526123,0,0,0,945580.426837921,0,0
"street_local",806649691.374575,781065411.457567,0,0,0,0,0,8990915.68978518,0,16593517.3356643,0,0,0,0,0,0
"street_motorway",258696953.127441,210396770.455566,0,0,0,0,0,2612841.15932178,0,45687133.4886169,0,0,0,0,0,0
"street_motorway_elevated",3504909.07281494,3329664.99780273,0,0,0,0,0,175245.528867722,0,0,0,0,0,0,0,0
"street_other_elevated",2098141.45378113,1993235.40457916,0,0,0,0,0,104907.145170927,0,0,0,0,0,0,0,0
"street_primary",45833701.5375977,40217477.2298584,0,0,0,0,0,635784.466840744,0,4980572.47119141,0,0,0,0,0,0
"street_secondary",146237314.821747,132699440.032776,0,0,0,0,0,2077776.27120972,0,11459509.473877,0,0,0,0,0,0
"street_tertiary",119993392.635347,112416436.801678,0,0,0,0,0,1674115.36996049,0,5902801.20302874,0,0,0,0,0,0
"street_track",2268794.65838051,2253991.4695034,0,0,0,0,0,5204.269406192,0,9604.93831304461,0,0,0,0,0,0
"street_tunnel",3698475.76707458,0,0,0,0,0,0,0,0,3564107.37579346,0,0,0,134367.425086975,0,0
"street",1412051660.39562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
