"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",3320267242.24298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",522388839.580402,139592875.638392,215.733935464993,4646507.39606044,0,15813663.147422,183373.836703664,1646744.7948803,0,316105435.170925,64309.5831357716,10704580.2444645,880853.598675555,32443259.6593016,0,307198.375559963
"building_commercial_innercity",19798688.7661819,1115412.80151558,37100.9682300538,195121.23770988,20483.9530040547,2263590.47280788,73670.0209501088,2871.39054221287,4206380.20459175,9789981.84281158,129.123732189299,67413.1185380816,31717.9000197202,742642.328728199,285354.636180162,966823.473953724
"building_highrise",7423561.99600983,140307.535616398,3436.77302682027,1862.6194768101,0,553778.193698883,14771.5842693001,21249.9836322516,0,6109214.21800232,0,17091.8283358663,6217.07338757813,466136.125216961,10395.6992558762,79097.8982435465
"building_lightweight",68417934.5812445,0,1199720.13178062,1915169.86975077,0,8850986.58831394,0,0,0,42388851.8115025,0,659157.391209759,413624.025172886,6279246.4673301,0,6711184.94731069
"building_multifamily",154786909.95829,8720343.89037037,290056.710239545,1525465.67252183,160144.303598613,17696838.3207598,575955.031708866,22448.6510374136,32885638.5421066,76538498.070076,1009.49482986232,527038.289464027,247971.863350868,5806004.19020224,2230913.62610495,7558663.24568748
"building_singlefamily",1092371638.99135,202770658.564216,15118074.7428003,24269764.0213324,2193.45071224123,137214957.661637,3234768.21902707,1074748.64620681,121660677.344152,473300616.264482,318717.05399263,6296857.90010022,4752476.31472576,9778217.90449934,31309047.4359863,61269495.7411233
"building_skyscraper",2548455.65625,0,0,1647.33890533447,0,68089.9969482422,14826.0547180176,0,0,2163138.8671875,0,67540.9040527344,0,233212.316894531,0,0
"building",1867735499.97464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",25556447.7828369,20784932.0631733,0,0,0,0,0,258119.958634824,0,4513385.25622392,0,0,0,0,0,0
"other_parking",19636665.6668992,19246957.1527424,0,0,0,0,0,389709.397355244,0,0,0,0,0,0,0,0
"other_remaining_impervious",301638029.051498,295651850.597488,0,0,0,0,0,5986310.56061971,0,0,0,0,0,0,0,0
"other",346831116.750717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1287020.99295044,0,0,0,0,0,0,0,0,98294.865814209,0,0,0,1188726.12078857,0,0
"rail_other",999515.32723999,64979.0816168785,0,0,0,0,0,0,0,905065.913825989,1624.47271920741,0,0,27848.1381156445,0,0
"rail_railway",90212453.7897339,85249506.0617371,0,0,0,0,0,0,0,531316.210620761,0,0,0,1821522.02983809,0,2610080.09837437
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tunnel",274342.347381592,0,0,0,0,0,0,0,0,264375.3722229,0,0,0,9966.95282649994,0,0
"rail",92773339.7824707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",8632852.81176758,0,0,0,0,0,0,0,0,8022148.31140137,0,0,0,610707.032516479,0,0
"street_bridge_other",8087562.62626648,0,0,0,0,0,0,0,0,7318835.85881805,0,0,0,768727.415258408,0,0
"street_local",554879853.361,537231323.483127,0,0,0,0,0,6202090.24111306,0,11446494.3732995,0,0,0,0,0,0
"street_motorway",159046881.743408,129352202.985229,0,0,0,0,0,1606374.14748764,0,28088429.60466,0,0,0,0,0,0
"street_motorway_elevated",2304812.0657959,2189571.28381348,0,0,0,0,0,115240.619169235,0,0,0,0,0,0,0,0
"street_other_elevated",1705724.10697746,1620437.91412926,0,0,0,0,0,85286.2118970156,0,0,0,0,0,0,0,0
"street_primary",97501057.5410843,85553600.6633797,0,0,0,0,0,1352485.58371568,0,10595039.6458912,0,0,0,0,0,0
"street_secondary",93209779.9984283,84581264.919693,0,0,0,0,0,1324350.79224634,0,7304150.28602505,0,0,0,0,0,0
"street_tertiary",86069680.8210897,80634785.3962011,0,0,0,0,0,1200821.83521025,0,4234001.17724273,0,0,0,0,0,0
"street_track",974630.245124817,968064.352601051,0,0,0,0,0,2307.58724989742,0,4258.84929069877,0,0,0,0,0,0
"street_tunnel",513960.699516296,0,0,0,0,0,0,0,0,495288.394805908,0,0,0,18672.3688588142,0,0
"street",1012926799.52252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
