"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";2066494903,25589;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";221347193,885794;59148476,9303288;91,4110794201124;1968823,41374439;0;6700586,50443643;77699,4265574254;697761,191358007;0;133940566,757545;27249,3333565204;4535755,61848706;373236,456351273;13746896,216369;0;130166,491568867
"building_commercial_innercity";4883581,16376662;275129,824261345;9151,3909910135;48128,9459172748;5052,60732654575;558341,308648974;18171,5776245347;708,262303716765;1037553,04191896;2414815,43677765;31,849899694148;16628,2374344561;7823,5961188497;183181,495748274;70386,108237261;238478,406755701
"building_highrise";833927,745424271;15761,4864411056;386,070808351971;209,237846694887;0;62208,8263697624;1659,36983841285;2387,12242662907;0;686280,378693581;0;1920,01537742466;698,396437991876;52363,5335451961;1167,80348487105;8885,48379008472
"building_lightweight";29695900,8725848;0;520722,563341673;831254,40190544;0;3841651,22427243;0;0;0;18398336,5840797;0;286098,471819915;179528,03848112;2725422,73225001;0;2912900,12196696
"building_multifamily";16070296,5662842;905364,153277397;30114,295292899;158376,90429467;16626,5079763457;1837321,78443241;59796,7661576867;2330,66426449362;3414255,86360931;7946378,85216522;104,807789281243;54718,2052201927;25744,9351227432;602791,631932497;231618,095402956;784755,962269783
"building_singlefamily";410127163,222945;47421454,20829;8087785,32710251;11848452,2108756;4264,98452573447;74609024,2804461;998073,751333999;1330458,20843012;3926979,78502381;210057349,266038;56870,7125505001;3440492,58125959;2194708,05541042;6900440,15856382;17063255,9034843;22187632,9385336
"building_skyscraper";52933,84765625;0;0;34,2168006896973;0;1414,29443359375;307,951202392578;0;0;44930,45703125;0;1402,88879394531;0;4844,04296875;0;0
"building";683011021,350735;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";26744764,7568359;21751426,949707;0;0;0;0;0;270122,100074768;0;4723251,15875244;0;0;0;0;0;0
"other_parking";6524435,64321899;6394955,72431946;0;0;0;0;0;129484,015315771;0;0;0;0;0;0;0;0
"other_remaining_impervious";147568538,418438;144639889,097155;0;0;0;0;0;2928647,60060453;0;0;0;0;0;0;0;0
"other";180837815,155255;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";1418632,92428589;0;0;0;0;0;0;0;0;108346,607812881;0;0;0;1310286,36567688;0;0
"rail_other";734607,478485107;47757,1928215027;0;0;0;0;0;0;0;665189,470397949;1193,93046146631;0;0;20467,3676509857;0;0
"rail_railway";96280376,8222809;90983790,6974182;0;0;0;0;0;0;0;567053,743375421;0;0;0;1944041,43300033;0;2785643,03707981
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tunnel";214058,838989258;0;0;0;0;0;0;0;0;206282,005126953;0;0;0;7776,83139038086;0;0
"rail";98647680,6826324;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";7255597,37347412;0;0;0;0;0;0;0;0;6742316,54248047;0;0;0;513276,40593338;0;0
"street_bridge_other";7405513,63485336;0;0;0;0;0;0;0;0;6701616,6195755;0;0;0;703899,001727104;0;0
"street_local";742979409,131763;719094453,540007;0;0;0;0;0;8393734,71844026;0;15491365,6020439;0;0;0;0;0;0
"street_motorway";123950394,84082;100807897,524475;0;0;0;0;0;1251898,84327316;0;21890223,0874863;0;0;0;0;0;0
"street_motorway_elevated";1934540,33657837;1837812,00771332;0;0;0;0;0;96726,980360508;0;0;0;0;0;0;0;0
"street_other_elevated";1561877,02921581;1483782,7937851;0;0;0;0;0;78093,8110282421;0;0;0;0;0;0;0;0
"street_primary";45973635,614563;40340175,6593018;0;0;0;0;0;637723,53763485;0;4995766,96043396;0;0;0;0;0;0
"street_secondary";89188636,2213287;80931502,363739;0;0;0;0;0;1267191,05192733;0;6989003,8983078;0;0;0;0;0;0
"street_tertiary";75344651,7799988;70587223,6522217;0;0;0;0;0;1051187,99199176;0;3706414,95667887;0;0;0;0;0;0
"street_track";7968541,17156708;7911495,59748882;0;0;0;0;0;20069,8232080305;0;37040,58292498;0;0;0;0;0;0
"street_tunnel";437041,95010376;0;0;0;0;0;0;0;0;421164,115722656;0;0;0;15877,8867282867;0;0
"street";1103998809,80106;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
