"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";2334348703,23599;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";261506344,746384;69879784,3786469;107,995763142411;2326028,17528498;0;7916273,95446515;91796,400780607;824355,837652951;0;158241395,813915;32193,1777933026;5358679,18765545;440952,661699563;16240998,3872433;0;153782,515448038
"building_commercial_innercity";17630389,0971336;993255,497209966;33037,7593815513;173751,954933658;18240,5946885534;2015687,23743379;65601,8469630256;2556,92243175721;3745706,04692531;8717806,71290016;114,982430449563;60030,1819054373;28244,2317090444;661310,064528286;254103,345972836;860939,242362678
"building_highrise";3327093,4397583;62883,0637457371;1540,29323697463;834,788842182606;0;248192,409998417;6620,32904534042;9523,81994324923;0;2738029,08948517;0;7660,21777246892;2786,36929861456;208912,963136673;4659,14511020482;35450,113488555
"building_lightweight";52530765,5890999;0;921135,731899932;1470452,92636788;0;6795716,31686521;0;0;0;32545850,698144;0;506095,923370078;317577,344373535;4821155,00150168;0;5152795,88984579
"building_multifamily";96619839,9645844;5443344,26218414;181057,022115231;952213,766618729;99964,0327382833;11046582,0225344;359518,167534113;14012,7109529302;20527617,3304787;47776248,4550476;630,138794594677;328983,743661731;154786,996086985;3624178,52104425;1392563,84883928;4718208,4727211
"building_singlefamily";679265694,942261;74068159,5048599;13770920,4165864;20050079,7201056;7599,98698887962;127167946,092625;1619318,98239213;2347963,63433242;0;352944337,137878;84408,3193851635;5865925,5498724;3698872,73032939;11931833,2932639;29087651,2453327;36620619,3568039
"building_skyscraper";1114035,37744141;0;0;720,119966983795;0;29764,9644088745;6481,08071899414;0;0;945597,612304688;0;29524,9286727905;0;101946,790496826;0;0
"building";1111994449,63736;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";18743821,5644531;15244258,5439453;0;0;0;0;0;189312,421356201;0;3310246,28564453;0;0;0;0;0;0
"other_parking";14357272,8450356;14072337,0178547;0;0;0;0;0;284934,23004961;0;0;0;0;0;0;0;0
"other_remaining_impervious";174637023,764923;171171098,645668;0;0;0;0;0;3465847,48897612;0;0;0;0;0;0;0;0
"other";207738047,732639;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";1348873,51138306;0;0;0;0;0;0;0;0;103018,79201889;0;0;0;1245854,68862915;0;0
"rail_other";248735,338432312;16170,4163899422;0;0;0;0;0;0;0;225230,485656738;404,259589195251;0;0;6930,15421628952;0;0
"rail_railway";60630335,3215332;57294863,2033386;0;0;0;0;0;0;0;357088,948068082;0;0;0;1224212,87017846;0;1754191,71342611
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tunnel";822617,345825195;0;0;0;0;0;0;0;0;792731,208984375;0;0;0;29885,9690608978;0;0
"rail";63050423,9758911;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";5675073,71518707;0;0;0;0;0;0;0;0;5273605,82741547;0;0;0;401467,075852633;0;0
"street_bridge_other";5624247,62564087;0;0;0;0;0;0;0;0;5089659,5575676;0;0;0;534588,131751537;0;0
"street_local";398095761,575218;385354945,552711;0;0;0;0;0;4477438,5979143;0;8263497,02181407;0;0;0;0;0;0
"street_motorway";147166872,715332;119690097,762543;0;0;0;0;0;1486384,8461653;0;25990357,5991821;0;0;0;0;0;0
"street_motorway_elevated";1514149,03217506;1438441,36260128;0;0;0;0;0;75707,4516309798;0;0;0;0;0;0;0;0
"street_other_elevated";1186194,25912476;1126884,55127621;0;0;0;0;0;59309,7191205025;0;0;0;0;0;0;0;0
"street_primary";102750959,848511;90160199,8652344;0;0;0;0;0;1425312,95248985;0;11165528,5989075;0;0;0;0;0;0
"street_secondary";72213403,2467041;65528529,2793579;0;0;0;0;0;1026030,64856911;0;5658832,68497086;0;0;0;0;0;0
"street_tertiary";214634358,367783;201081436,523743;0;0;0;0;0;2994523,44787836;0;10558449,5353203;0;0;0;0;0;0
"street_track";1668016,87418818;1656604,39846396;0;0;0;0;0;4011,28164359275;0;7403,16574919783;0;0;0;0;0;0
"street_tunnel";1037520,3283844;0;0;0;0;0;0;0;0;999826,699783325;0;0;0;37693,4702205658;0;0
"street";951566312,50222;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
