"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";2013023038,5277;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";251815096,38974;67290105,1796341;103,993546106329;2239827,06432629;0;7622902,35758686;88394,4983027726;793805,783317804;0;152377127,05405;31000,1232336033;5160090,40552831;424611,317326635;15639115,7686281;0;148083,494831994
"building_commercial_innercity";23818140,1881924;1341859,2980361;44633,0436913706;234733,86922124;24642,5119662881;2723134,86520028;88626,1636015326;3454,32737953123;5060339,14656353;11777503,6900501;155,337910550137;81099,0246202201;38157,1469582319;893409,973231077;343286,14027679;1163103,62672567
"building_highrise";3986478,34505844;75345,6585361958;1845,55950163677;1000,23308217525;0;297380,905725956;7932,39389175177;11411,3164309487;0;3280671,0389843;0;9178,37361812592;3338,59033642709;250316,838140011;5582,52742789313;42475,8551851213
"building_lightweight";57261436,3702934;0;1004088,87397248;1602874,80531628;0;7407708,71021454;0;0;0;35476759,37178;0;551672,573003986;346176,944085233;5255324,32230039;0;5616830,70468343
"building_multifamily";51184342,9159355;2883608,16387463;95914,8191117495;504434,871703386;52955,8936664872;5851919,24037313;190454,50146839;7423,22580929752;10874493,4070759;25309435,0424728;333,815577955102;174278,922257543;81998,3508000374;1919906,62272787;737709,967666507;2499468,12579179
"building_singlefamily";424448789,565554;46753430,9608319;20988976,7244821;28241357,8282474;79,2581886158368;32246080,5730696;1743914,03314362;24486,2409514077;0;235844922,841992;137170,917621627;5806260,89794202;2204818,24722692;6032448,69001544;19626114,1633098;24798810,0563886
"building_skyscraper";5838627,078125;0;0;3774,12868881226;0;155997,299804688;33967,1486816406;0;0;4955848,7890625;0;154739,279907227;0;534300,013671875;0;0
"building";818352638,401421;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";18473480,572876;15024404,7216797;0;0;0;0;0;186582,122817039;0;3262503,24484253;0;0;0;0;0;0
"other_parking";9254944,36616516;9071270,98869324;0;0;0;0;0;183673,68276;0;0;0;0;0;0;0;0
"other_remaining_impervious";280933195,189703;275357758,25313;0;0;0;0;0;5575400,02366775;0;0;0;0;0;0;0;0
"other";308661677,885992;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";1709452,14807129;0;0;0;0;0;0;0;0;130557,566701889;0;0;0;1578895,02725983;0;0
"rail_other";173252,905166626;11263,3510298729;0;0;0;0;0;0;0;156881,983421326;281,583097368479;0;0;4827,10822510719;0;0
"rail_railway";60678570,0723114;57340456,3685989;0;0;0;0;0;0;0;357373,314307868;0;0;0;1225188,62059307;0;1755587,91909909
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";185153,068603516;12036,867980957;0;0;0;0;0;0;0;167656,569335938;300,922065258026;0;0;5158,66069793701;0;0
"rail_tunnel";468,852966308594;0;0;0;0;0;0;0;0;451,819396972656;0;0;0;17,0335903167725;0;0
"rail";62746887,0413208;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";26187161,0339355;0;0;0;0;0;0;0;0;24334638,28125;0;0;0;1852536,43196106;0;0
"street_bridge_other";9900801,87937164;0;0;0;0;0;0;0;0;8959716,21839905;0;0;0;941075,872511864;0;0
"street_local";380226232,46814;367993366,321752;0;0;0;0;0;4298921,86865601;0;7934032,2133103;0;0;0;0;0;0
"street_motorway";102557542,104492;83409668,5908203;0;0;0;0;0;1035831,42097092;0;18112137,8064575;0;0;0;0;0;0
"street_motorway_elevated";7000058,20010376;6650054,68612671;0;0;0;0;0;350003,17701149;0;0;0;0;0;0;0;0
"street_other_elevated";2088147,97357368;1983739,67518997;0;0;0;0;0;104407,328781962;0;0;0;0;0;0;0;0
"street_primary";64097481,9927063;56243238,7615356;0;0;0;0;0;889129,448084593;0;6965220,65047264;0;0;0;0;0;0
"street_secondary";69499209,5069656;63065465,1083679;0;0;0;0;0;987463,615186334;0;5446135,78053856;0;0;0;0;0;0
"street_tertiary";159169306,128051;149118717,64141;0;0;0;0;0;2220686,41266482;0;7829963,91281104;0;0;0;0;0;0
"street_track";2370625,86258173;2353802,75703096;0;0;0;0;0;5912,74615453789;0;10912,476828875;0;0;0;0;0;0
"street_tunnel";164944,645568848;0;0;0;0;0;0;0;0;158952,104614258;0;0;0;5992,49481964111;0;0
"street";823261253,477191;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
