"category","total"
"grand_total_t_10m2",2025818921.27777
"building_commercial_industrial",251815096.38974
"building_commercial_innercity",23942933.9562683
"building_highrise",3939054.01665878
"building_lightweight",87517948.4685458
"building_multifamily",51452511.6840858
"building_singlefamily",407330327.401835
"building_skyscraper",5838627.078125
"building",831836507.077908
"other_airport",17787007.4212646
"other_parking",9254944.36616516
"other_remaining_impervious",280933195.189703
"other",307975246.472906
"rail_bridge",1709452.14807129
"rail_other",173252.905166626
"rail_railway",60677377.5371246
"rail_subway_elevated",0
"rail_subway_surface",0
"rail_subway",0
"rail",62745689.2899475
"rail_tram",185153.068603516
"rail_tunnel",468.852966308594
"street_bridge_motorway",26187161.0339355
"street_bridge_other",9900801.87937164
"street_local",380226232.55407
"street_motorway_elevated",7000058.20010376
"street_motorway",102557541.010742
"street_other_elevated",2088147.97357368
"street_primary",64097481.9927063
"street_secondary",69499209.4249344
"street_tertiary",159169306.628051
"street",823261251.751361
"street_track",2370625.79726481
"street_tunnel",164944.645568848
