"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",1764084425.0688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",244772723.565186,65408178.209156,101.085138133196,2177185.77509785,0,7409714.48955536,85922.3669755608,771605.15856868,0,148115548.296814,30133.1458543725,5015776.80110407,412736.041192055,15201741.8434315,0,143942.070808142
"building_commercial_innercity",46221485.0180969,2604012.82269359,86614.921617344,455524.760014296,47821.2645790689,5284517.70705843,171988.037154064,6703.46804432338,9820094.6608448,22855433.8923588,301.448884666897,157380.886923715,74047.7550104186,1733752.63499808,666181.430109859,2257120.01749396
"building_highrise",7373988.64794922,139370.627189636,3413.82323876023,1850.1814763248,0,550080.442886353,14672.9419956207,21108.0794553757,0,6068419.81256104,0,16977.6961539984,6175.5582728982,463023.493927002,10326.2785201073,78569.7028303146
"building_lightweight",33540197.9566997,0,588133.058594579,938865.263452717,0,4338975.51881104,0,0,0,20780080.1116183,0,323135.421020651,202768.994011549,3078242.99540437,0,3289992.23717998
"building_multifamily",183194112.978388,10320730.7477527,343289.361699928,1805424.83197393,189534.603017565,20944642.4331238,681656.527621508,26568.5057572683,38920956.9120345,90585101.556572,1194.76084039637,623762.50778766,293480.794575229,6871546.46769428,2640340.51697081,8945864.39560437
"building_singlefamily",563400874.207279,62103334.1736541,11365742.7728578,16566273.2825381,6223.40797626541,104938084.88033,1348151.6054831,1925853.26449521,973254.806029797,291987136.134286,71474.1814156021,4840261.05158105,3058376.5282573,9821301.36453648,24002320.6161513,30393126.9930333
"building_skyscraper",3296334.90625,0,0,2130.77325439453,0,88071.9504394531,19176.957824707,0,0,2797941.75390625,0,87361.7053222656,0,301651.71875,0,0
"building",1081799972.72975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",12838528.4833984,10441513.3331299,0,0,0,0,0,129669.008426666,0,2267343.58624268,0,0,0,0,0,0
"other_parking",34001017.6733551,33326225.8306351,0,0,0,0,0,674784.055167675,0,0,0,0,0,0,0,0
"other_remaining_impervious",128155431.485582,125611996.153568,0,0,0,0,0,2543371.98505515,0,0,0,0,0,0,0,0
"other",174994919.007524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1033413.10678101,0,0,0,0,0,0,0,0,78925.8465843201,0,0,0,954487.411102295,0,0
"rail_other",721691.490081787,46917.4931344986,0,0,0,0,0,0,0,653493.479385376,1172.9368288815,0,0,20107.4971179962,0,0
"rail_railway",23027117.6732788,21760304.0632324,0,0,0,0,0,0,0,135620.748260021,0,0,0,464951.247847557,0,666234.396816254
"rail_subway",8375620.28125,0,0,0,0,0,2802.85225200653,0,0,7979500.984375,4559.70648765564,0,0,388762.422119141,0,0
"rail_subway_elevated",1033122.875,81855.510925293,0,0,0,0,1209.03980398178,0,0,882151.941894531,1440.76201438904,0,0,66465.4373168945,0,0
"rail_subway_surface",2990023.70019531,423848.531860352,0,0,0,0,4585.84100723267,0,0,2314038.47558594,7460.28023529053,0,0,240092.105041504,0,0
"rail_tram",8920.4130859375,579.919982910156,0,0,0,0,0,0,0,8077.4560546875,14.4980001449585,0,0,248.537124633789,0,0
"rail_tunnel",1093296.61303711,0,0,0,0,0,0,0,0,1053578.19192505,0,0,0,39719.8642883301,0,0
"rail",38283246.6517334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",7311343.76159668,0,0,0,0,0,0,0,0,6794122.62194824,0,0,0,517220.295783997,0,0
"street_bridge_other",4218402.19603348,0,0,0,0,0,0,0,0,3817442.96825027,0,0,0,400961.838666439,0,0
"street_local",237986478.610519,230369740.795044,0,0,0,0,0,2676664.68198764,0,4940020.29150653,0,0,0,0,0,0
"street_motorway",83905518.5917664,68239937.2092896,0,0,0,0,0,847445.508962154,0,14818097.603302,0,0,0,0,0,0
"street_motorway_elevated",1958106.84281921,1860201.15950012,0,0,0,0,0,97905.3356351852,0,0,0,0,0,0,0,0
"street_other_elevated",889691.349730492,845207.328636169,0,0,0,0,0,44484.5880692601,0,0,0,0,0,0,0,0
"street_primary",42828197.6669006,37580082.7442169,0,0,0,0,0,594091.817101002,0,4653963.97289276,0,0,0,0,0,0
"street_secondary",36967294.4609985,33545179.2306213,0,0,0,0,0,525243.331628323,0,2896852.79434013,0,0,0,0,0,0
"street_tertiary",48865438.4315186,45779811.8261719,0,0,0,0,0,681757.714931488,0,2403822.95637131,0,0,0,0,0,0
"street_track",2483975.84192801,2466976.09285975,0,0,0,0,0,5973.5176838506,0,11024.64479235,0,0,0,0,0,0
"street_tunnel",1592042.12749863,0,0,0,0,0,0,0,0,1534202.52883911,0,0,0,57839.6308054924,0,0
"street",469006519.145798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
