"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",738428422.302368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",46409770.5107574,12401628.2007866,19.166103398009,412802.29674387,0,1404908.27569389,16291.1928617284,146299.163068593,0,28083251.2529907,5713.35106724873,951009.798937082,78256.3025847524,2882304.19193077,0,27291.9203090295
"building_commercial_innercity",4378913.33628845,246697.849896431,8205.68887606263,43155.3358091116,4530.47250139713,500642.287853241,16293.726364255,635.070123061538,930332.618000031,2165268.04663849,28.5585348425666,14909.8818483353,7015.10416722298,164251.471767426,63112.3806736469,213834.126626968
"building_highrise",1039220.32484436,19641.5739693642,481.111999697983,260.747058965266,0,77523.1462898254,2067.86643204093,2974.77411413193,0,855226.189865112,0,2392.67619341612,870.324686974287,65254.1629447937,1455.28828790784,11072.8738124371
"building_lightweight",10666702.4094734,0,187042.379306406,298584.606193662,0,1379912.73488927,0,0,0,6608636.35877609,0,102765.997906625,64486.0947282314,978965.821106911,0,1046307.25563884
"building_multifamily",14333457.1608734,807514.101726532,26859.6271629035,141259.864455581,14829.5516811311,1638748.69794273,53334.1356576681,2078.77096362039,3045248.45820236,7087554.25340271,93.4803891825723,48804.3792365789,22962.4922496676,537643.113254547,206585.216764927,699941.050439835
"building_singlefamily",203542976.1474,41191951.1414871,2530558.09545135,4197239.25577641,0,22824984.2743301,628439.815844417,90175.1077064723,27627409.0083466,84347958.6572113,66844.0081645101,1045475.01998949,836796.410941482,1438483.60598445,5203437.85783291,11513328.3769798
"building_skyscraper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"building",280370950.506378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",7567376.18993378,6154515.28166962,0,0,0,0,0,76430.4547698498,0,1336433.87418079,0,0,0,0,0,0
"other_parking",7020110.71298218,6880790.43762207,0,0,0,0,0,139321.142177582,0,0,0,0,0,0,0,0
"other_remaining_impervious",74796159.3002071,73311746.1107712,0,0,0,0,0,1484405.11347508,0,0,0,0,0,0,0,0
"other",89383621.1225262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",391627.461845398,0,0,0,0,0,0,0,0,29910.1325082779,0,0,0,361717.29599762,0,0
"rail_other",968944.002746582,62991.4335536957,0,0,0,0,0,0,0,877379.256286621,1574.78317385912,0,0,26996.2039775848,0,0
"rail_railway",22233708.5761719,21010660.8409424,0,0,0,0,0,0,0,130948.520499706,0,0,0,448931.671652794,0,643281.54986763
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",1092.74743652344,71.0400085449219,0,0,0,0,0,0,0,989.485717773438,1.77600002288818,0,0,30.4457130432129,0,0
"rail_tunnel",19810.0952148438,0,0,0,0,0,0,0,0,19090.3858642578,0,0,0,719.70756149292,0,0
"rail",23615214.5379028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",1111190.0390625,0,0,0,0,0,0,0,0,1032581.7734375,0,0,0,78607.9914550781,0,0
"street_bridge_other",1949414.80690002,0,0,0,0,0,0,0,0,1764122.17010498,0,0,0,185293.033082962,0,0
"street_local",184013604.829163,178226937.279846,0,0,0,0,0,2033605.38944054,0,3753197.09243584,0,0,0,0,0,0
"street_motorway",39422804.9709473,32062425.5001221,0,0,0,0,0,398171.641384602,0,6962260.24811554,0,0,0,0,0,0
"street_motorway_elevated",296483.284179688,281659.059570312,0,0,0,0,0,14824.1633911133,0,0,0,0,0,0,0,0
"street_other_elevated",411145.617595673,390588.553138733,0,0,0,0,0,20557.2821204662,0,0,0,0,0,0,0,0
"street_primary",8199084.4407959,7194361.69543457,0,0,0,0,0,113733.623434067,0,890957.81552124,0,0,0,0,0,0
"street_secondary",39100319.3457031,35480665.7890625,0,0,0,0,0,555549.365661621,0,3063997.98278809,0,0,0,0,0,0
"street_tertiary",56360498.3823853,52801674.8109741,0,0,0,0,0,786326.593292713,0,2772523.14656639,0,0,0,0,0,0
"street_track",14140546.3523903,14052987.4666023,0,0,0,0,0,30768.0318898857,0,56785.1575012207,0,0,0,0,0,0
"street_tunnel",53276.1268310547,0,0,0,0,0,0,0,0,51340.5844116211,0,0,0,1935.54008483887,0,0
"street",345058309.571167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
