"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",4210517917.14926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",593488240.461126,158592007.060679,245.096052831608,5278913.6736981,0,17965965.1849012,208331.76864828,1870873.13920304,0,359128409.443712,73062.3627310123,12161514.0069829,1000741.15739169,36858910.2354418,0,349009.143630479
"building_commercial_innercity",20534210.1542587,1156850.39095026,38479.2584797479,202369.939072162,21244.9210410342,2347682.33817148,76406.8213899732,2978.06150365015,4362646.69477153,10153679.3888493,133.920659253672,69917.5009104386,32896.2236139774,770231.277169228,295955.575674042,1002740.52535468
"building_highrise",6343689.85005379,119897.663086206,2936.84148382023,1591.67265165178,0,473222.598275542,12622.8320318051,18158.844453156,0,5220537.66160297,0,14605.5603076369,5312.70591241028,398329.537088871,8883.48395067453,67591.89415057
"building_lightweight",80044726.6053801,0,1403597.07565974,2240628.78327891,0,10355094.1725983,0,0,0,49592298.5461294,0,771172.46424221,483913.937564105,7346319.28109856,0,7851665.62845814
"building_multifamily",101090057.825127,5695182.45950937,189433.641653683,996268.705971599,104588.860919341,11557660.755348,376151.324765667,14661.0217453032,21477340.1778421,49986649.0665398,659.29243918063,344204.247009687,161948.2577665,3791853.33816993,1456991.13111225,4936499.59767568
"building_singlefamily",1466283705.57264,296738467.1124,18229631.2203609,30236087.9844117,0,164426755.664846,4527155.34614381,649603.575748922,199022387.335004,607626065.394427,481530.953480866,7531394.88571792,6028114.59585908,10362555.4088094,37484556.4214427,82939674.9125755
"building_skyscraper",4105843.625,0,0,2654.04511260986,0,109700.552368164,23886.4147491455,0,0,3485056.79296875,0,108815.878540039,0,375731.045166016,0,0
"building",2271889903.97108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",36550756.8359375,29726561.1826172,0,0,0,0,0,369162.441993713,0,6455032.95727539,0,0,0,0,0,0
"other_parking",16882978.5499878,16547924.026825,0,0,0,0,0,335059.700125217,0,0,0,0,0,0,0,0
"other_remaining_impervious",559823195.973259,548712885.469706,0,0,0,0,0,11110250.2524182,0,0,0,0,0,0,0,0
"other",613257014.704603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1169036.9431839,0,0,0,0,0,0,0,0,89283.9879584312,0,0,0,1079752.98569107,0,0
"rail_other",1289299.36238098,83817.9651851654,0,0,0,0,0,0,0,1167464.31254578,2095.4490109086,0,0,35921.9268898964,0,0
"rail_railway",73698736.7138672,69644352.4455261,0,0,0,0,0,0,0,434056.758938134,0,0,0,1488084.20013857,0,2132297.91999578
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",52318.41015625,3401.23785400391,0,0,0,0,0,0,0,47374.3671875,85.0309524536133,0,0,1457.67443847656,0,0
"rail_tunnel",458445.205474854,0,0,0,0,0,0,0,0,441789.842163086,0,0,0,16655.4764385223,0,0
"rail",76667849.0837936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",7717460.81054688,0,0,0,0,0,0,0,0,7171510.84375,0,0,0,545949.903137207,0,0
"street_bridge_other",6581429.68431854,0,0,0,0,0,0,0,0,5955860.58634186,0,0,0,625568.884163857,0,0
"street_local",788557387.883362,763759213.921707,0,0,0,0,0,8714647.12637359,0,16083644.2000463,0,0,0,0,0,0
"street_motorway",218018478.049316,177313475.349731,0,0,0,0,0,2201987.77568054,0,38503146.1841736,0,0,0,0,0,0
"street_motorway_elevated",2059651.28015137,1956668.67541504,0,0,0,0,0,102982.550880432,0,0,0,0,0,0,0,0
"street_other_elevated",1388070.74979401,1318667.3261795,0,0,0,0,0,69403.5397438407,0,0,0,0,0,0,0,0
"street_primary",13562931.7832642,11900972.0782471,0,0,0,0,0,188138.80565691,0,1473831.32494354,0,0,0,0,0,0
"street_secondary",84958502.6038513,77093891.7581177,0,0,0,0,0,1207119.10069609,0,6657561.12384605,0,0,0,0,0,0
"street_tertiary",100239830.313019,93910309.3466949,0,0,0,0,0,1398524.09242034,0,4931090.40183258,0,0,0,0,0,0
"street_track",24571983.0307356,24419852.6566602,0,0,0,0,0,53465.5811155369,0,98675.3738673506,0,0,0,0,0,0
"street_tunnel",1045492.39611816,0,0,0,0,0,0,0,0,1007509.27613831,0,0,0,37983.1059184074,0,0
"street",1248701530.36908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
