"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",3081670476.66775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",296232427.444763,79159284.9553871,122.336777755281,2634907.32731593,0,8967492.77141714,103986.25699186,933823.787360996,0,179254622.599297,36468.1888990086,6070269.73713064,499507.718562081,18397674.7469568,0,174203.732912034
"building_commercial_innercity",10500781.0388336,591589.952311993,19677.516773358,103487.916820168,10864.2248294018,1200557.42484856,39072.9201552123,1522.92114891019,2230969.37499332,5192386.59891319,68.4843419029203,35754.3955965936,16822.469669912,393880.784306884,151345.726475537,512781.304501891
"building_highrise",6510038.65567017,123041.689348221,3013.85292541981,1633.41040828824,0,485631.806175232,12953.8319805861,18635.0146826506,0,5357432.4576416,0,14988.5569667816,5452.01566562057,408774.842617035,9116.42986094952,69364.3265731335
"building_lightweight",56098556.4673882,0,983697.618825337,1570323.57505436,0,7257270.66721144,0,0,0,34756303.0724567,0,540469.086767647,339146.721981368,5148600.47318489,0,5502764.72053472
"building_multifamily",83385923.5941563,4697770.9715085,156257.651829619,821789.654301614,86271.9799069576,9533530.67886758,310274.986216135,12093.3974875412,17715954.8654099,41232336.6549358,543.828641616637,283922.960857548,133585.916989312,3127776.08402503,1201824.3335233,4071957.43196535
"building_singlefamily",970007594.904366,196304807.880703,12059655.537481,20002425.831365,0,108775133.422541,2994901.77798495,429739.79652254,131661649.869828,401969924.21466,318552.731017508,4982332.65554467,3987848.99759824,6855261.24393776,24797587.3582979,54868056.3343589
"building_skyscraper",9073610.1875,0,0,5865.24407196045,0,242430.102050781,52787.2071533203,0,0,7701716.2734375,0,240475.035644531,0,830337.744140625,0,0
"building",1431808657.5503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",24616010.8310547,20020085.8896484,0,0,0,0,0,248621.562423706,0,4347302.73852539,0,0,0,0,0,0
"other_parking",15492919.8709984,15185444.5655022,0,0,0,0,0,307472.682070434,0,0,0,0,0,0,0,0
"other_remaining_impervious",272792029.997973,267378208.089121,0,0,0,0,0,5413830.06765071,0,0,0,0,0,0,0,0
"other",312900993.747302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1878473.2204895,0,0,0,0,0,0,0,0,143466.418388367,0,0,0,1735006.87986755,0,0
"rail_other",221086.306594849,14372.9204244614,0,0,0,0,0,0,0,200194.318283081,359.323116779327,0,0,6159.8199596405,0,0
"rail_railway",93953604.8660126,88784815.4194794,0,0,0,0,0,0,0,553349.261107981,0,0,0,1897058.83899426,0,2718323.36581898
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",2982.90502929688,193.920013427734,0,0,0,0,0,0,0,2701.02880859375,4.84800052642822,0,0,83.1085662841797,0,0
"rail_tunnel",535451.342987061,0,0,0,0,0,0,0,0,515998.070526123,0,0,0,19453.1223297119,0,0
"rail",96591579.6175385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",6850396.54614258,0,0,0,0,0,0,0,0,6365783.88745117,0,0,0,484611.976959229,0,0
"street_bridge_other",6390335.66024399,0,0,0,0,0,0,0,0,5782928.89078903,0,0,0,607405.315766811,0,0
"street_local",772927158.745389,748615602.650022,0,0,0,0,0,8543451.62993532,0,15767677.292525,0,0,0,0,0,0
"street_motorway",148478279.271851,120756759.743546,0,0,0,0,0,1499631.17781973,0,26221980.0971127,0,0,0,0,0,0
"street_motorway_elevated",1832180.55505371,1740571.40997314,0,0,0,0,0,91609.0778656006,0,0,0,0,0,0,0,0
"street_other_elevated",1347767.57069206,1280379.45922089,0,0,0,0,0,67388.3689369857,0,0,0,0,0,0,0,0
"street_primary",92717523.0288086,81356206.4733887,0,0,0,0,0,1286130.1120491,0,10075238.3873901,0,0,0,0,0,0
"street_secondary",87377131.6659241,79289099.0985413,0,0,0,0,0,1241480.38705921,0,6847099.91231918,0,0,0,0,0,0
"street_tertiary",115242453.83115,107965987.945611,0,0,0,0,0,1607838.20067519,0,5669115.8888868,0,0,0,0,0,0
"street_track",5960650.35091436,5923721.45650661,0,0,0,0,0,12989.1800305075,0,23972.6724826712,0,0,0,0,0,0
"street_tunnel",1244387.32281494,0,0,0,0,0,0,0,0,1199178.91896057,0,0,0,45209.0344386101,0,0
"street",1240368617.0581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
