"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";3141432558,52707;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";377833332,913078;100964686,264579;156,035959705064;3360722,7770437;0;11437703,1958271;132630,576433504;1191057,22209828;0;228632524,052362;46513,7858130657;7742404,35981593;637103,36716966;23465543,299752;0;222190,254325664
"building_commercial_innercity";26662917,1302843;1502127,44254988;49963,904238537;262769,898057148;27585,7424392169;3048378,64335978;99211,450706996;3866,90467295959;5664735,42881608;13184172,7208529;173,891063149342;90785,300749328;42714,5251276139;1000116,8603754;384287,455308363;1302021,74075514
"building_highrise";3846905,18097305;72707,6826294661;1780,9433417879;965,213208155707;0;286969,036329746;7654,66525707394;11011,7865798473;0;3165808,54866409;0;8857,02191373706;3221,69985656813;241552,762988806;5387,07284089178;40988,7027059197
"building_lightweight";66009531,1518332;0;1157488,73012848;1847753,96099817;0;8539417,71543764;0;0;0;40896739,802783;0;635954,269148342;399064,19887088;6058209,07867097;0;6474942,97874032
"building_multifamily";57519007,9305801;3240488,55877852;107785,455937184;566864,79256928;59509,7968703397;6576165,98499894;214025,600282542;8341,94385440042;12220345,1527019;28441780,8445816;375,129305844282;195848,088167854;92146,6358298585;2157518,57582057;829010,364453316;2808807,88171446
"building_singlefamily";872016883,330421;102456904,169554;17059412,7309329;25036998,2321849;8872,99577246988;157324714,058081;2134388,43389709;2776238,70026325;10719283,8897328;444789627,68395;124481,83564053;7254113,60070203;4643111,67714243;14488551,9113936;35978765,1358207;47221709,9412847
"building_skyscraper";7225493,5;0;0;4670,60797119141;0;193051,759765625;42035,4733886719;0;0;6133025,8125;0;191494,9921875;0;661214,1015625;0;0
"building";1411114315,82977;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";26497267,994873;21550108,4105225;0;0;0;0;0;267622,342071056;0;4679540,91416931;0;0;0;0;0;0
"other_parking";8795038,99502563;8620491,00289917;0;0;0;0;0;174546,326873779;0;0;0;0;0;0;0;0
"other_remaining_impervious";266585633,057696;261294975,217147;0;0;0;0;0;5290660,99058548;0;0;0;0;0;0;0;0
"other";301877996,209979;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";1985471,97815704;0;0;0;0;0;0;0;0;151638,346029282;0;0;0;1833833,64073944;0;0
"rail_other";896748,059249878;58297,8556714058;0;0;0;0;0;0;0;812006,037658691;1457,44598889351;0;0;24984,7711334229;0;0
"rail_railway";82259808,5500565;77734360,3978882;0;0;0;0;0;0;0;484477,914083838;0;0;0;1660943,00492907;0;2379988,0136652
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";47441,0864257812;3084,16650390625;0;0;0;0;0;0;0;42957,9370117188;77,1040215492249;0;0;1321,78497314453;0;0
"rail_tunnel";553504,175689697;0;0;0;0;0;0;0;0;533395,121185303;0;0;0;20108,9980297089;0;0
"rail";85742969,9368744;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";9805289,86068726;0;0;0;0;0;0;0;0;9111638,30215454;0;0;0;693647,24546814;0;0
"street_bridge_other";9001110,03585052;0;0;0;0;0;0;0;0;8145550,18416977;0;0;0;855561,112756729;0;0
"street_local";777714969,564197;752842761,818262;0;0;0;0;0;8740577,49111579;0;16131498,5617869;0;0;0;0;0;0
"street_motorway";196118345,816376;159502364,134384;0;0;0;0;0;1980796,20265985;0;34635430,5420074;0;0;0;0;0;0
"street_motorway_elevated";2613471,88568115;2482798,08602142;0;0;0;0;0;130673,608173847;0;0;0;0;0;0;0;0
"street_other_elevated";1898399,02740192;1803479,0997057;0;0;0;0;0;94919,9383416772;0;0;0;0;0;0;0;0
"street_primary";87216827,2457275;76529474,0914307;0;0;0;0;0;1209829,30510861;0;9477494,80659342;0;0;0;0;0;0
"street_secondary";98405754,662466;89296179,479219;0;0;0;0;0;1398171,37645998;0;7711323,0895052;0;0;0;0;0;0
"street_tertiary";155721919,047829;145888848,137444;0;0;0;0;0;2172590,63362545;0;7660384,80984998;0;0;0;0;0;0
"street_track";3661495,14901781;3636497,56919909;0;0;0;0;0;8782,84844338894;0;16209,5156963822;0;0;0;0;0;0
"street_tunnel";540426,073806763;0;0;0;0;0;0;0;0;520792,308441162;0;0;0;19633,86876297;0;0
"street";1342697509,51086;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
