"category","total"
"grand_total_t_10m2",3217637480.97754
"building_commercial_industrial",377833332.913078
"building_commercial_innercity",26802617.394515
"building_highrise",3801140.75629044
"building_lightweight",100888473.483153
"building_multifamily",57820386.6159058
"building_singlefamily",913933995.60854
"building_skyscraper",7225493.5
"building",1488305476.6671
"other_airport",25512635.7840576
"other_parking",8795038.99502563
"other_remaining_impervious",266585633.057696
"other",300893353.122088
"rail_bridge",1985471.97815704
"rail_other",896748.059249878
"rail_railway",82258211.6260529
"rail_subway_elevated",0
"rail_subway_surface",0
"rail_subway",0
"rail",85741370.3842697
"rail_tram",47441.0864257812
"rail_tunnel",553504.175689697
"street_bridge_motorway",9805289.86068726
"street_bridge_other",9001110.03585052
"street_local",777714959.613016
"street_motorway_elevated",2613471.88568115
"street_motorway",196118344.691376
"street_other_elevated",1898399.02740192
"street_primary",87216827.2457275
"street_secondary",98405754.2561512
"street_tertiary",155721920.534157
"street",1342697503.26086
"street_track",3661495.12122369
"street_tunnel",540426.073806763
