"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";1639894195,01931;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";194451006,618898;51961246,7798128;80,3035374702113;1729588,83105302;0;5886385,50378209;68258,0182747291;612974,904916503;0;117665184,990959;23938,2224626781;3984608,97535151;327883,744470857;12076487,2898377;0;114349,709647076
"building_commercial_innercity";5745249,89861107;323674,241875768;10766,0822883658;56620,9176617265;5944,10041833669;656856,093529701;21377,8066119626;833,229654104915;1220621,27280807;2840889,91222477;37,4695535928622;19562,162220411;9204,00741551071;215502,390023708;82805,1578735411;280556,002675653
"building_highrise";335711,211761475;6345,04271221161;155,419084727764;84,2321009933949;0;25043,176109314;668,006340384483;960,974950671196;0;276273,32699585;0;772,933371841908;281,150889903307;21079,791929245;470,118305981159;3576,99601745605
"building_lightweight";33553927,6558626;0;588373,714732967;939249,141292347;0;4340752,01795205;0;0;0;20788599,5763891;0;323267,810433639;202852,019114004;3079503,83205835;0;3291338,56727368
"building_multifamily";22165545,5200119;1248756,12290919;41536,2280232087;218447,1648947;22932,7213037685;2534193,06750011;82476,9515407234;3214,65316704824;4709233,42347479;10960334,9171133;144,559959710736;75472,0802133977;35509,6419897377;831421,934883356;319467,693780184;1082403,181777
"building_singlefamily";366138352,721802;40085276,5774381;11656470,5579671;16179058,4273497;2500,14548388511;52404477,141418;1123112,28525828;772402,32190983;0;195475741,258643;74360,5342740489;3893738,56198853;1957369,16277105;5944922,15076604;16174644,9136099;20394253,8606114
"building_skyscraper";891533,21875;0;0;576,293132781982;0;23820,1156005859;5186,63778686523;0;0;756736,8984375;0;23628,0209960938;0;81585,31640625;0;0
"building";623281194,656956;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";15227395,657959;12384377,5133972;0;0;0;0;0;153796,606219411;0;2689229,3537159;0;0;0;0;0;0
"other_parking";7978080,68507385;7819748,77111816;0;0;0;0;0;158333,05755949;0;0;0;0;0;0;0;0
"other_remaining_impervious";136778949,335705;134064421,687635;0;0;0;0;0;2714515,56031686;0;0;0;0;0;0;0;0
"other";159984393,050121;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";960791,655075073;0;0;0;0;0;0;0;0;73379,4433641434;0;0;0;887412,136787415;0;0
"rail_other";49727,3693695068;3232,79877471924;0;0;0;0;0;0;0;45028,262336731;80,8199363201857;0;0;1385,48478484154;0;0
"rail_railway";47248257,9749603;44649009,3039627;0;0;0;0;0;0;0;278274,100638568;0;0;0;954008,811778784;0;1367014,08713508
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tunnel";26733,0689697266;0;0;0;0;0;0;0;0;25761,8471069336;0;0;0;971,221651077271;0;0
"rail";48285512,42276;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";6400521,22021484;0;0;0;0;0;0;0;0;5947733,78076172;0;0;0;452786,830627441;0;0
"street_bridge_other";6841221,92138672;0;0;0;0;0;0;0;0;6190961,81376648;0;0;0;650262,372060776;0;0
"street_local";416397422,724009;403042338,031197;0;0;0;0;0;4693339,02964234;0;8661963,04843223;0;0;0;0;0;0
"street_motorway";103031586,129395;83795325,929657;0;0;0;0;0;1040620,01253176;0;18195882,4675827;0;0;0;0;0;0
"street_motorway_elevated";1705675,74914551;1620391,83105469;0;0;0;0;0;85283,7810554504;0;0;0;0;0;0;0;0
"street_other_elevated";1442863,23928833;1370720,10777473;0;0;0;0;0;72143,1611596346;0;0;0;0;0;0;0;0
"street_primary";101375214,786743;88952888,0245361;0;0;0;0;0;1406226,83806038;0;11016013,8740158;0;0;0;0;0;0
"street_secondary";68812108,8151398;62442300,0194244;0;0;0;0;0;977703,007446408;0;5392313,06520271;0;0;0;0;0;0
"street_tertiary";92881298,356837;87016337,9851971;0;0;0;0;0;1295854,03437166;0;4569083,39397955;0;0;0;0;0;0
"street_track";9375830,40995646;9311014,23071015;0;0;0;0;0;22771,5682001871;0;42026,9342877395;0;0;0;0;0;0
"street_tunnel";78937,7618713379;0;0;0;0;0;0;0;0;76069,9089050293;0;0;0;2867,83559608459;0;0
"street";808343023,244778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
