"category";"total"
"grand_total_t_10m2";4230452232,25568
"building_commercial_industrial";559846869,409363
"building_commercial_innercity";36106464,6099854
"building_highrise";3872529,40867615
"building_lightweight";138779868,983281
"building_multifamily";234770555,705414
"building_singlefamily";1450436860,01143
"building_skyscraper";4415817,5546875
"building";2428229456,96717
"other_airport";29055943,3139977
"other_parking";34192289,4691238
"other_remaining_impervious";302434927,585021
"other";365682973,06179
"rail_bridge";1404269,34405518
"rail_other";682171,192756653
"rail_railway";67369050,5935364
"rail_subway_elevated";0
"rail_subway_surface";0
"rail_subway";0
"rail";69896392,5205688
"rail_tram";20250,8981933594
"rail_tunnel";420645,544311523
"street_bridge_motorway";10632797,5915527
"street_bridge_other";10840458,5798874
"street_local";743786800,164987
"street_motorway_elevated";2833816,8338623
"street_motorway";247226608,753418
"street_other_elevated";2286331,42345238
"street_primary";119807261,534214
"street_secondary";100278657,840881
"street_tertiary";122368724,707535
"street";1366645058,70246
"street_track";5482207,45393848
"street_tunnel";1101212,98160553
