"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",4110484658.9156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",559846869.409363,149602488.79451,231.203257546287,4979687.95920599,0,16947591.5514433,196522.69399507,1764825.64154688,0,338771832.692917,68920.9280904401,11472151.7631953,944015.818860173,34769605.9449344,0,329226.020029843
"building_commercial_innercity",35918278.4972649,2023552.94730616,67307.6225468218,353983.825532943,37161.4434380196,4106546.23707914,133650.178814024,5209.20018707961,7631100.46389055,17760728.3858986,234.252969070731,122299.113861859,57541.8115831092,1347281.96990883,517682.941612601,1753985.76075637
"building_highrise",3919153.76459503,74073.1944024563,1814.39076071233,983.340869516134,0,292358.622509003,7798.42869564891,11218.5970269293,0,3225265.32314682,0,9023.36625571549,3282.20688486099,246089.377207756,5488.24705921859,41758.5062843561
"building_lightweight",90801242.4737101,0,1592214.54409902,2541727.90604051,0,11746632.2793056,0,0,0,56256588.0239862,0,874803.943306891,548943.347473035,8333529.40884473,0,8906782.85131649
"building_multifamily",233546761.334137,13157492.6525688,437646.225105882,2301665.03171396,241630.15502131,26701481.9424286,869017.036993742,33871.1470791772,49618755.6592407,115483390.176926,1523.15350149071,795210.281063557,374147.055003136,8760261.28993225,3366065.27976894,11404727.4651175
"building_singlefamily",1378689968.15986,153162680.8953,29633860.9969113,42862059.4674733,14373.1989159258,248593099.219553,3420656.07959198,4453578.54266551,4006978.50019073,715623563.756473,190402.018597606,12133648.7117611,7451668.08971886,23687768.0869822,58753296.5947746,74702602.5665829
"building_skyscraper",4415817.5546875,0,0,2854.41497039795,0,117982.454833984,25689.729675293,0,0,3748162.6484375,0,117030.992675781,0,404097.048339844,0,0
"building",2307137861.3952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",30177345.6640625,24543087.298249,0,0,0,0,0,304791.00602616,0,5329457.49132931,0,0,0,0,0,0
"other_parking",34192289.4691238,33513709.6232758,0,0,0,0,0,678580.25986433,0,0,0,0,0,0,0,0
"other_remaining_impervious",302434927.585021,296432740.056846,0,0,0,0,0,6002122.74101,0,0,0,0,0,0,0,0
"other",366804428.452415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1404269.34405518,0,0,0,0,0,0,0,0,107249.595149517,0,0,0,1297019.59535217,0,0
"rail_other",682171.192756653,44348.2436289787,0,0,0,0,0,0,0,617708.027751923,1108.70589746535,0,0,19006.3777444363,0,0
"rail_railway",67370362.7915649,63664211.8397064,0,0,0,0,0,0,0,396784.964626193,0,0,0,1360303.81643558,0,1949198.3199501
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",20250.8981933594,1316.5196685791,0,0,0,0,0,0,0,18337.2426757812,32.9130010604858,0,0,564.222839355469,0,0
"rail_tunnel",420645.544311523,0,0,0,0,0,0,0,0,405363.493286133,0,0,0,15282.202545166,0,0
"rail",69897684.8514099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",10632797.5915527,0,0,0,0,0,0,0,0,9880609.82055664,0,0,0,752187.339263916,0,0
"street_bridge_other",10840458.5798874,0,0,0,0,0,0,0,0,9810064.12664413,0,0,0,1030391.88114548,0,0
"street_local",743786804.356397,719981781.017775,0,0,0,0,0,8365600.33746865,0,15439444.8636394,0,0,0,0,0,0
"street_motorway",247226610.034668,201068129.404205,0,0,0,0,0,2496987.98118162,0,43661390.4079056,0,0,0,0,0,0
"street_motorway_elevated",2833816.8338623,2692125.83496094,0,0,0,0,0,141690.848316193,0,0,0,0,0,0,0,0
"street_other_elevated",2286331.42345238,2172015.05712605,0,0,0,0,0,114316.524445415,0,0,0,0,0,0,0,0
"street_primary",119807261.534214,105126332.003511,0,0,0,0,0,1661908.11690618,0,13018958.0191043,0,0,0,0,0,0
"street_secondary",100278657.840942,90995545.6048508,0,0,0,0,0,1424790.31970656,0,7858094.9334631,0,0,0,0,0,0
"street_tertiary",122368723.691849,114641776.153843,0,0,0,0,0,1707255.94220328,0,6019651.43280518,0,0,0,0,0,0
"street_track",5482207.47406101,5444684.51545334,0,0,0,0,0,13186.7585041299,0,24337.3018351942,0,0,0,0,0,0
"street_tunnel",1101212.98160553,0,0,0,0,0,0,0,0,1061205.86581421,0,0,0,40007.4594435692,0,0
"street",1366645063.26496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
