"category";"total"
"grand_total_t_10m2";1010462556,56627
"building_commercial_industrial";63469990,3285522
"building_commercial_innercity";843501,644100189
"building_highrise";498800,848945618
"building_lightweight";12956058,1880531
"building_multifamily";2443165,30352688
"building_singlefamily";120742843,220459
"building_skyscraper";0
"building";200954330,966309
"other_airport";14045091,2719727
"other_parking";2102465,36322021
"other_remaining_impervious";61769484,9121231
"other";77917039,3348526
"rail_bridge";577893,522720337
"rail_other";73442,9050750732
"rail_railway";67488636,0938721
"rail_subway_elevated";0
"rail_subway_surface";0
"rail_subway";0
"rail";68169328,5511322
"rail_tram";0
"rail_tunnel";29360,3332519531
"street_bridge_motorway";696720,8984375
"street_bridge_other";1734692,52309036
"street_local";406026113,20104
"street_motorway_elevated";185571,510375977
"street_motorway";63958489,1730957
"street_other_elevated";365859,078572273
"street_primary";36146433,8337059
"street_secondary";55312404,4235382
"street_tertiary";54483085,9221954
"street";663421974,853514
"street_track";44426165,1905231
"street_tunnel";86394,6212158203
