"category";"total"
"grand_total_t_10m2";1495954820,48846
"building_commercial_industrial";150666485,887703
"building_commercial_innercity";4671014,28383255
"building_highrise";937690,718513489
"building_lightweight";34576032,0757236
"building_multifamily";25616043,9563179
"building_singlefamily";308128882,090729
"building_skyscraper";863014,546875
"building";525459396,434288
"other_airport";19800002,8483086
"other_parking";3989943,03219604
"other_remaining_impervious";103229772,43199
"other";127019739,890989
"rail_bridge";1160687,30112839
"rail_other";1067155,44807434
"rail_railway";77933424,2844849
"rail_subway_elevated";0
"rail_subway_surface";0
"rail_subway";0
"rail";80377396,1846924
"rail_tram";0
"rail_tunnel";216428,466964722
"street_bridge_motorway";2165057,57617188
"street_bridge_other";5665194,0957489
"street_local";525623726,168304
"street_motorway_elevated";578312,537963867
"street_motorway";58958095,6894531
"street_other_elevated";1194830,47109032
"street_primary";26412524,9577637
"street_secondary";60175249,0236816
"street_tertiary";79954937,2551746
"street";763098137,056519
"street_track";2138229,45159042
"street_tunnel";231890,811309814
