"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",536485522.515141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",48233431.3296356,12888959.3330231,19.9192491052017,429023.387462854,0,1460113.76351213,16931.3530323803,152047.993316412,0,29186782.9193726,5937.85710629076,988379.63152647,81331.3483498096,2995563.3078022,0,28364.3713859171
"building_commercial_innercity",3099968.32861328,174645.151436806,5809.0607175231,30550.985509038,3207.26199562848,354420.31014061,11534.8399139047,449.58628244698,658611.253875732,1532861.11667633,20.2174754345324,10555.1695070267,4966.21277463436,116278.766281128,44679.2313387394,151379.833916187
"building_highrise",513813.177612305,9711.22415161133,237.872242391109,128.919040381908,0,38329.1196975708,1022.39801692963,1470.79293417931,0,422842.230773926,0,1182.9911673069,430.307473480701,32263.0797080994,719.526130259037,5474.66912269592
"building_lightweight",8785562.93052936,0,154056.430288553,245927.600310996,0,1136557.77339667,0,0,0,5443168.53088927,0,84642.5815820917,53113.6301423367,806319.117364943,0,861785.251044035
"building_multifamily",11387733.3012695,641558.700683594,21339.5908172131,112229.029688358,11781.8656698763,1301962.66809082,42373.2127475739,1651.55417566001,2419409.11136246,5630963.35388184,74.2688461701619,38774.4092270136,18243.3804281652,427149.885734558,164129.107463121,556093.433585167
"building_singlefamily",171312729.572571,34669303.5347586,2129850.70734292,3532620.59660137,0,19210724.8698778,528928.098247886,75896.1036191899,23252689.751637,70991707.5652771,56259.4896013718,879927.37448898,704292.165701747,1210704.75768346,4379492.78835833,9690221.20437622
"building_skyscraper",318217.6875,0,0,205.698135375977,0,8502.1884765625,1851.28295898438,0,0,270104.46875,0,8433.6240234375,0,29120.505859375,0,0
"building",243651240.172623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",6110446.015625,4969596.84716797,0,0,0,0,0,61715.4672088623,0,1079133.05163574,0,0,0,0,0,0
"other_parking",11266235.3532104,11042644.3704224,0,0,0,0,0,223589.850531578,0,0,0,0,0,0,0,0
"other_remaining_impervious",61521499.9652443,60300467.7758102,0,0,0,0,0,1220955.30876315,0,0,0,0,0,0,0,0
"other",78898148.9463806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",215550.970451355,0,0,0,0,0,0,0,0,16462.4776473045,0,0,0,199088.505321503,0,0
"rail_other",282777.922325134,18383.5464057922,0,0,0,0,0,0,0,256056.177219391,459.588332481682,0,0,7878.65338790417,0,0
"rail_railway",7293889.76196289,6892617.55818176,0,0,0,0,0,0,0,42958.1602445245,0,0,0,147273.70415926,0,211030.724295616
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tunnel",36671.9064941406,0,0,0,0,0,0,0,0,35339.6022949219,0,0,0,1332.30299377441,0,0
"rail",7828890.42152405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",1661850.31079102,0,0,0,0,0,0,0,0,1544287.67834473,0,0,0,117562.931045532,0,0
"street_bridge_other",1307112.54257202,0,0,0,0,0,0,0,0,1182871.32762146,0,0,0,124241.849080086,0,0
"street_local",112523433.811276,108984841.720649,0,0,0,0,0,1243538.81243544,0,2295061.06591574,0,0,0,0,0,0
"street_motorway",33790494.5058594,27481768.7830811,0,0,0,0,0,341284.276384354,0,5967568.60571289,0,0,0,0,0,0
"street_motorway_elevated",444342.660552979,422125.628875732,0,0,0,0,0,22217.1383295059,0,0,0,0,0,0,0,0
"street_other_elevated",275679.455116272,261895.531995773,0,0,0,0,0,13783.9780604839,0,0,0,0,0,0,0,0
"street_primary",4163994.5078125,3653752.5859375,0,0,0,0,0,57760.9349365234,0,452483.896972656,0,0,0,0,0,0
"street_secondary",22950688.6336365,20826077.9785461,0,0,0,0,0,326089.317099571,0,1798470.32036209,0,0,0,0,0,0
"street_tertiary",25572060.9985352,23957313.0398407,0,0,0,0,0,356774.505407095,0,1257958.85377216,0,0,0,0,0,0
"street_track",3333414.99433613,3312783.46963835,0,0,0,0,0,7253.09223808534,0,13386.2158637699,0,0,0,0,0,0
"street_tunnel",84536.3085021973,0,0,0,0,0,0,0,0,81465.0635375977,0,0,0,3071.23324203491,0,0
"street",206107742.73682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
