"category";"total"
"grand_total_t_10m2";2599468326,9411
"building_commercial_industrial";357015199,630859
"building_commercial_innercity";112400250,929443
"building_highrise";11218489,5839844
"building_lightweight";72625400,9197502
"building_multifamily";315820455,837189
"building_singlefamily";854261297,939819
"building_skyscraper";18094938,1835938
"building";1741436446,94727
"other_airport";10333493,1866455
"other_parking";38002143,6903114
"other_remaining_impervious";264910909,656321
"other";313246446,411146
"rail_bridge";1551254,44842911
"rail_other";797217,247680664
"rail_railway";32043419,5404663
"rail_subway_elevated";545154,3515625
"rail_subway_surface";1669585,2578125
"rail_subway";2235187,14648438
"rail";39801962,1156082
"rail_tram";1023,83538818359
"rail_tunnel";959112,978118896
"street_bridge_motorway";11378812,4144592
"street_bridge_other";5253917,10444069
"street_local";237427907,75679
"street_motorway_elevated";3047611,61034393
"street_motorway";106982407,083252
"street_other_elevated";1108088,91210079
"street_primary";58422962,0911865
"street_secondary";37816885,6763306
"street_tertiary";40638101,7022705
"street";504983428,602722
"street_track";1180270,44513178
"street_tunnel";1726771,15512085
