"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",2563191241.15887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",357015199.630859,95401695.1019287,147.438587637851,3175553.32256413,0,10807503.8578243,125322.817873806,1125431.73192978,0,216035172.843506,43950.9698794037,7315809.97353745,602000.152617216,22172622.3818359,0,209947.957357883
"building_commercial_innercity",111814458.162109,6299366.34786987,209530.122480869,1101959.54339981,115684.46104002,12783777.3500671,416056.208856583,16216.3702177405,23755805.2015381,55289595.5153809,729.235123058781,380720.015195847,179128.989222527,4194120.16768646,1611559.45698547,5460199.59231567
"building_highrise",11353557.8421021,214585.683154106,5256.18432590365,2848.68030515313,0,846945.740951538,22591.5868874788,32499.6076989174,0,9343403.40551758,0,26140.1586418152,9508.36049538851,712906.21245575,15899.1276378632,120971.902744293
"building_lightweight",47517503.8899536,0,833227.486622512,1330120.54913563,0,6147170.31507587,0,0,0,29439807.6095161,0,457796.768081903,287269.498805285,4361047.47922444,0,4661035.17082858
"building_multifamily",314174288.19281,17699859.7356834,588734.591559142,3096267.15109348,325048.202466607,35919656.2194061,1169028.36752284,45564.4872057289,66748662.3319969,155351707.399574,2048.99216843722,1069741.3839609,503313.454950929,11784575.9572067,4528131.89176941,15341973.927639
"building_singlefamily",844789633.211914,122296077.795708,14591371.1712933,22059287.865366,5834.1916812351,133881034.382492,2241414.67781973,1945683.09560323,43888550.4165649,404934735.01889,170984.260553546,6163851.80157995,4168796.2738409,11444717.6583433,30595483.3445835,46402048.7083511
"building_skyscraper",18094938.1835938,0,0,11696.6904811859,0,483463.246459961,105270.198516846,0,0,15359052.3642578,0,479564.311523438,0,1655890.63964844,0,0
"building",1704760392.50122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",10732309.3232422,8728536.14428711,0,0,0,0,0,108396.227542877,0,1895374.77416992,0,0,0,0,0,0
"other_parking",38002143.6903114,37247952.5371971,0,0,0,0,0,754190.464152932,0,0,0,0,0,0,0,0
"other_remaining_impervious",264910909.656321,259653468.5194,0,0,0,0,0,5257419.94894448,0,0,0,0,0,0,0,0
"other",313645237.036146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1551254.44842911,0,0,0,0,0,0,0,0,118475.40148592,0,0,0,1432779.1805191,0,0
"rail_other",797217.247680664,51827.4998185635,0,0,0,0,0,0,0,721882.398178101,1295.68650542945,0,0,22211.7584525347,0,0
"rail_railway",32044030.9219055,30281190.002655,0,0,0,0,0,0,0,188726.705421925,0,0,0,647014.189138889,0,927116.825949669
"rail_subway",2235187.14648438,0,0,0,0,0,747.992298126221,0,0,2129475.12109375,1216.84053993225,0,0,103748.323730469,0,0
"rail_subway_elevated",545154.3515625,43193.2248535156,0,0,0,0,637.981800079346,0,0,465490.6484375,760.256090164185,0,0,35072.2710571289,0,0
"rail_subway_surface",1669585.2578125,236670.704101562,0,0,0,0,2560.66276550293,0,0,1292123.8515625,4165.71051025391,0,0,134063.860595703,0,0
"rail_tram",1023.83538818359,66.5599994659424,0,0,0,0,0,0,0,927.085723876953,1.66399991512299,0,0,28.5257148742676,0,0
"rail_tunnel",959112.978118896,0,0,0,0,0,0,0,0,924267.948875427,0,0,0,34844.9262247086,0,0
"rail",39802577.0568924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",11378812.4144592,0,0,0,0,0,0,0,0,10573847.3093567,0,0,0,804961.825117111,0,0
"street_bridge_other",5253917.10444069,0,0,0,0,0,0,0,0,4754527.936903,0,0,0,499387.953361511,0,0
"street_local",237427909.88179,229828962.364944,0,0,0,0,0,2670381.31307352,0,4928421.57053804,0,0,0,0,0,0
"street_motorway",106982408.089111,87008302.2574768,0,0,0,0,0,1080522.52215672,0,18893611.2178192,0,0,0,0,0,0
"street_motorway_elevated",3047611.61034393,2895231.92492294,0,0,0,0,0,152380.62416172,0,0,0,0,0,0,0,0
"street_other_elevated",1108088.91210079,1052684.3482852,0,0,0,0,0,55404.4457574189,0,0,0,0,0,0,0,0
"street_primary",58422962.0911865,51264029.59021,0,0,0,0,0,810415.042457581,0,6348582.35528564,0,0,0,0,0,0
"street_secondary",37816885.6773071,34316080.3242188,0,0,0,0,0,537316.09726429,0,2963434.15808868,0,0,0,0,0,0
"street_tertiary",40638101.3873291,38072055.0063477,0,0,0,0,0,566972.581233978,0,1999098.37774658,0,0,0,0,0,0
"street_track",1180270.47154665,1172193.38982058,0,0,0,0,0,2838.33586971089,0,5238.39518256113,0,0,0,0,0,0
"street_tunnel",1726771.15512085,0,0,0,0,0,0,0,0,1664037.17523193,0,0,0,62734.2370986938,0,0
"street",504983427.676941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
