"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";1546936257,07766;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";226957574,538548;60647647,2355804;93,7279624816788;2018724,6950355;0;6870417,45594418;79668,6992577468;715446,172494333;0;137335303,796588;27940,0119379708;4650719,1542213;382696,422863046;14095332,8291482;0;133465,549615364
"building_commercial_innercity";2195652,65539718;123698,077121511;4114,45546905464;21638,7196014654;2271,64622664452;251029,597933888;8169,91993307974;318,434041020315;466482,543714583;1085697,92331493;14,3196787325887;7476,03901426774;3517,48071411718;82358,1628713012;31645,5166105591;107219,606300339
"building_highrise";544308,169921875;10287,5880661011;251,990069150925;136,570384085178;0;40603,9656982422;1083,07755184174;1558,08480644226;0;447938,1171875;0;1253,20194149017;455,846342563629;34177,8941192627;762,23024225235;5799,59255981445
"building_lightweight";18906647,855154;0;331531,351035438;529239,140189394;0;2445884,26319307;0;0;0;11713741,6714263;0;182151,913076952;114301,161121566;1735210,11620027;0;1854570,68006265
"building_multifamily";760828,90109539;42863,3462661505;1425,72496876866;7498,16253796965;787,16207678616;86985,7476756573;2831,00839764997;110,342462088214;161643,771063089;376211,747224808;4,96199635230732;2590,56764538959;1218,86318842508;28538,4344249964;10965,6770464927;37153,3124884069
"building_singlefamily";103788979,313453;20314084,8805357;2127906,77993611;2652485,90847438;0;8785412,68018025;373809,723569053;81756,2110215102;5704028,65503177;50228062,5703265;33395,1461660775;836826,959029865;564783,05241819;894734,212795082;3852326,55232238;7339378,9576388
"building_skyscraper";316816,59375;0;0;204,792419433594;0;8464,751953125;1843,1318359375;0;0;268915,1875;0;8396,4892578125;0;28992,287109375;0;0
"building";353470712,773727;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";24492290,1103516;19919474,0732422;0;0;0;0;0;247372,099777222;0;4325452,97790527;0;0;0;0;0;0
"other_parking";13807134,0416107;13533130,1408844;0;0;0;0;0;274016,774668932;0;0;0;0;0;0;0;0
"other_remaining_impervious";63276450,3667965;62020696,7944908;0;0;0;0;0;1255784,20419872;0;0;0;0;0;0;0;0
"other";101575878,811876;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";680874,261383057;0;0;0;0;0;0;0;0;52001,0583286285;0;0;0;628873,22668457;0;0
"rail_other";654662,706912994;42560,0383365154;0;0;0;0;0;0;0;592799,948951721;1064,00142345577;0;0;18240,0029258728;0;0
"rail_railway";47204906,7527466;44608133,5874634;0;0;0;0;0;0;0;278019,272257447;0;0;0;953136,044851303;0;1365759,84257984
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tunnel";90856,0902099609;0;0;0;0;0;0;0;0;87555,2575683594;0;0;0;3300,83312606812;0;0
"rail";48631310,4923553;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";2489131,08496094;0;0;0;0;0;0;0;0;2313044,60205078;0;0;0;176086,557495117;0;0
"street_bridge_other";2605685,23036957;0;0;0;0;0;0;0;0;2358013,64182281;0;0;0;247671,9604702;0;0
"street_local";611158558,80538;591403753,031868;0;0;0;0;0;6941891,69000956;0;12811874,1812435;0;0;0;0;0;0
"street_motorway";110386523,202637;89777474,8771973;0;0;0;0;0;1114904,60332489;0;19494790,2053528;0;0;0;0;0;0
"street_motorway_elevated";663356,052368164;630188,114685059;0;0;0;0;0;33167,7952880859;0;0;0;0;0;0;0;0
"street_other_elevated";549557,773004532;522079,893148422;0;0;0;0;0;27477,8846318722;0;0;0;0;0;0;0;0
"street_primary";126936799,656738;111381897,872681;0;0;0;0;0;1760797,50469208;0;13793637,2506104;0;0;0;0;0;0
"street_secondary";80704810,2055054;73233099,3440552;0;0;0;0;0;1146668,0380311;0;6324206,40574646;0;0;0;0;0;0
"street_tertiary";72193785,905899;67635176,5736847;0;0;0;0;0;1007226,4879837;0;3551412,2664566;0;0;0;0;0;0
"street_track";35090402,610746;34835388,4372842;0;0;0;0;0;89621,1510885921;0;165403,84209436;0;0;0;0;0;0
"street_tunnel";480861,215896606;0;0;0;0;0;0;0;0;463391,263961792;0;0;0;17469,8499941826;0;0
"street";1043258411,56692;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
