"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";1125385698,68635;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";265841463,473392;71038221,6795797;109,785817926552;2364579,21142845;0;8047498,81037438;93318,0145215057;838019,614666536;0;160864187,679939;32726,822534021;5447508,79771417;448261,771650091;16510184,283458;0;156331,715440497
"building_commercial_innercity";7366710,35770416;415024,245857;13804,56953834;72600,9229648411;7621,68389823288;842239,092445135;27411,2080186158;1068,3896776014;1565113,58839321;3642666,28237057;48,0444261300436;25083,1539539471;11801,6392492987;276322,661909938;106174,986068726;359736,695421457
"building_highrise";6927256,00119019;130927,17484045;3207,00685878098;1738,09176229686;0;516754,868057251;13784,0160444975;19829,289098084;0;5700777,09347534;0;15949,1318628192;5801,42571932077;434972,317903519;9700,68482866883;73809,7243156433
"building_lightweight";25076386,6493924;0;439718,981486533;701942,503852863;0;3244049,13020578;0;0;0;15536285,6783632;0;241592,557055149;151600,476478326;2301452,17105453;0;2459767,85847107
"building_multifamily";9965920,84539795;561457,351516724;18675,2317611575;98216,5901985168;10310,8335300982;1139406,86054611;37082,7276383638;1445,34810527042;2117329,85495758;4927905,69143677;64,995984533336;33933,2681815624;15965,6012668312;373817,947751045;143636,718409538;486662,430884361
"building_singlefamily";184049897,076384;36050925,795211;3739695,4480753;4683034,62934465;0;15694192,2495765;660729,993008073;143537,77143053;10452756,786672;88778959,2556704;59247,6704875162;1471716,20235458;995972,693156685;1580142,44704548;6783051,28609124;12955829,7336046
"building_skyscraper";52851817;0;0;34163,7849121094;0;1412102,140625;307473,841796875;0;0;44860849;0;1400715,515625;0;4836536,875;0;0
"building";552078987,447937;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";25637128,1791992;20850610,46348;0;0;0;0;0;258934,829109661;0;4527644,7928232;0;0;0;0;0;0
"other_parking";10609816,1209908;10399270,6983299;0;0;0;0;0;210562,640624046;0;0;0;0;0;0;0;0
"other_remaining_impervious";153091235,542848;150053540,015441;0;0;0;0;0;3038258,72659425;0;0;0;0;0;0;0;0
"other";189338188,79207;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";297391,882293701;0;0;0;0;0;0;0;0;22712,9893703461;0;0;0;274678,85736084;0;0
"rail_other";139110,444610596;9043,64841270447;0;0;0;0;0;0;0;125965,029174805;226,090901076794;0;0;3875,84578132629;0;0
"rail_railway";29377049,7860107;27760927,0153809;0;0;0;0;0;0;0;173019,547747612;0;0;0;593164,367206573;0;849954,243480682
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";11527,3804931641;749,400230407715;0;0;0;0;0;0;0;10438,0747070312;18,7350006103516;0;0;321,171318054199;0;0
"rail_tunnel";587502,34197998;0;0;0;0;0;0;0;0;566158,073791504;0;0;0;21344,1586875916;0;0
"rail";30412577,6239014;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";3047801,48876953;0;0;0;0;0;0;0;0;2832194,23779297;0;0;0;215608,144012451;0;0
"street_bridge_other";1241193,43173218;0;0;0;0;0;0;0;0;1123216,16744995;0;0;0;117976,156194687;0;0
"street_local";134320072,498384;129982776,27013;0;0;0;0;0;1524452,68076703;0;2813506,14676899;0;0;0;0;0;0
"street_motorway";79000422,8725586;64251070,423584;0;0;0;0;0;797909,005306244;0;13951891,5475464;0;0;0;0;0;0
"street_motorway_elevated";815778,359008789;774989,726928711;0;0;0;0;0;40788,9504318237;0;0;0;0;0;0;0;0
"street_other_elevated";261759,354118347;248671,386867523;0;0;0;0;0;13087,9661257267;0;0;0;0;0;0;0;0
"street_primary";16031582,4003906;14066912,2324219;0;0;0;0;0;222382,018280029;0;1742074,11962891;0;0;0;0;0;0
"street_secondary";42414614,5628357;38488013,1244583;0;0;0;0;0;602633,634667873;0;3323724,71244049;0;0;0;0;0;0
"street_tertiary";36565962,6685715;34256979,1991806;0;0;0;0;0;510158,754444838;0;1798780,06346178;0;0;0;0;0;0
"street_track";38932866,1891154;38652381,7881906;0;0;0;0;0;98569,3680320989;0;181918,825040019;0;0;0;0;0;0
"street_tunnel";930631,940551758;0;0;0;0;0;0;0;0;896821,589233398;0;0;0;33810,1977462769;0;0
"street";353564384,058599;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
