"category","total"
"grand_total_t_10m2",1132558290.91541
"building_commercial_industrial",265841463.473392
"building_commercial_innercity",7405312.80508232
"building_highrise",6844844.38244629
"building_lightweight",38326471.1588929
"building_multifamily",10018127.93927
"building_singlefamily",178917493.700974
"building_skyscraper",52851817
"building",560206289.281315
"other_airport",24684501.362257
"other_parking",10609816.1209908
"other_remaining_impervious",153091235.542848
"other",188385416.78792
"rail_bridge",297391.882293701
"rail_other",139110.444610596
"rail_railway",29376524.0140381
"rail_subway_elevated",0
"rail_subway_surface",0
"rail_subway",0
"rail",30412047.6994629
"rail_tram",11527.3804931641
"rail_tunnel",587502.34197998
"street_bridge_motorway",3047801.48876953
"street_bridge_other",1241193.43173218
"street_local",134320076.498384
"street_motorway_elevated",815778.359008789
"street_motorway",79000422.8725586
"street_other_elevated",261759.354118347
"street_primary",16031582.4003906
"street_secondary",42414614.5237732
"street_tertiary",36565962.6688156
"street",353564389.867192
"street_track",38932865.3626455
"street_tunnel",930631.940551758
