"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";5043397426,34572;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";531460489,924728;142016948,554478;219,480298824179;4727195,85011005;0;16088267,9770284;186558,20193483;1675341,32458443;0;321594659,414391;65426,3161022989;10890464,1005245;896149,418089472;33006637,9731534;0;312532,781586222
"building_commercial_innercity";262570648,701244;14792638,7193854;492034,139236428;2587704,34916061;271658,87939667;30019804,094358;977014,147470564;38080,4925365308;55785119,552248;129835098,390787;1712,44356171682;894034,516025215;420643,859439015;9848943,85161233;3784382,57652438;12822044,3761387
"building_highrise";106848572,10614;2019469,12798214;49466,0668931007;26808,9927931428;0;7970624,22285461;212609,979108632;305854,580257654;0;87930983,7217712;0;246005,577840149;89483,3734087348;6709177,55831146;149627,138845801;1138470,8944037
"building_lightweight";82803620,4947677;0;1451975,03751395;2317856,78645411;0;10712010,1043336;0;0;0;51301602,1571555;0;797753,169330195;500593,443261039;7599531,16406316;0;8122291,16550976
"building_multifamily";478968871,418549;26983998,2585793;897544,760393292;4720362,11073995;495546,325764105;54760635,9140568;1782219,6126903;69464,4887470435;101760477,550676;236838576,872272;3123,75414872449;1630853,86252761;767317,393973053;17965947,3704753;6903282,3375982;23389332,5240207
"building_singlefamily";1492287672,95865;260404001,037483;22047399,4489911;34737268,4164629;4986,53776185215;200802615,061365;4293869,50654477;2004231,60187957;142058223,448349;665286945,557579;399089,641151413;9224538,79065681;6729674,23862767;15225364,0200319;45840863,8892996;83228420,1785402
"building_skyscraper";113721797,396484;0;0;73510,4464011192;0;3038432,6920166;661594,015861511;0;0;96527370,6074219;0;3013929,48233032;0;10406814,5540161;0;0
"building";3068661169,73474;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";25912274,8979492;21074333,7998047;0;0;0;0;0;261713,815788269;0;4576229,56018066;0;0;0;0;0;0
"other_parking";57083141,6741409;55950262,0828552;0;0;0;0;0;1132872,25530243;0;0;0;0;0;0;0;0
"other_remaining_impervious";464825180,369598;455600037,609238;0;0;0;0;0;9224922,16689336;0;0;0;0;0;0;0;0
"other";547820799,748795;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";6833508,56161499;0;0;0;0;0;0;0;0;521902,184463024;0;0;0;6311602,40947723;0;0
"rail_other";1553464,82905579;100991,290211439;0;0;0;0;0;0;0;1406665,5157547;2524,78245448321;0;0;43281,9866776466;0;0
"rail_railway";87414691,1379623;82605844,5744171;0;0;0;0;0;0;0;514839,094562292;0;0;0;1765028,86257553;0;2529135,1580255
"rail_subway";60736861,3569336;0;0;0;0;0;20325,247856915;0;0;57864264,7705078;33065,2717545033;0;0;2819155,5309906;0;0
"rail_subway_elevated";11158794,7324219;884124,171630859;0;0;0;0;13058,8616027832;0;0;9528156,20507812;15561,7077217102;0;0;717895,4765625;0;0
"rail_subway_surface";4733350,3125;670972,3203125;0;0;0;0;7259,61294555664;0;0;3663232,203125;11809,9760131836;0;0;380075,912109375;0;0
"rail_tram";11440,6220703125;743,759887695312;0;0;0;0;0;0;0;10359,513671875;18,5940017700195;0;0;318,754180908203;0;0
"rail_tunnel";5681634,95083618;0;0;0;0;0;0;0;0;5475216,39483643;0;0;0;206415,661465645;0;0
"rail";178123813,308678;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";20790668,6676178;0;0;0;0;0;0;0;0;19319883,8675537;0;0;0;1470777,31069183;0;0
"street_bridge_other";9595897,86503601;0;0;0;0;0;0;0;0;8683801,4183197;0;0;0;912095,540858269;0;0
"street_local";644950953,214905;624580862,574768;0;0;0;0;0;7158331,19376683;0;13211323,3773956;0;0;0;0;0;0
"street_motorway";274072595,520752;222902114,535278;0;0;0;0;0;2768135,11074638;0;48402548,5012207;0;0;0;0;0;0
"street_motorway_elevated";5558746,86451721;5280809,04724884;0;0;0;0;0;277937,394678593;0;0;0;0;0;0;0;0
"street_other_elevated";2023843,63547897;1922651,3598175;0;0;0;0;0;101192,161674261;0;0;0;0;0;0;0;0
"street_primary";30406236,0852356;26680359,3470984;0;0;0;0;0;421781,076394245;0;3304123,18600714;0;0;0;0;0;0
"street_secondary";96476380,6222992;87545323,1500473;0;0;0;0;0;1370764,22055739;0;7560129,28483582;0;0;0;0;0;0
"street_tertiary";156787046,88929;146886928,232918;0;0;0;0;0;2187455,23809105;0;7712787,36680174;0;0;0;0;0;0
"street_track";4186036,64916039;4159750,67047501;0;0;0;0;0;9237,41388600692;0;17048,4381784797;0;0;0;0;0;0
"street_tunnel";3943020,10241699;0;0;0;0;0;0;0;0;3799766,41589355;0;0;0;143251,153046608;0;0
"street";1248791924,20985;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
