"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",4921798721.18288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",729159079.046362,194846011.931596,301.12486314511,6485669.79073352,0,22072963.8374543,255956.129670726,2298552.8064402,0,441224735.837135,89764.359093698,14941622.5729966,1229509.50171985,45284815.7410971,0,428792.332002597
"building_commercial_innercity",41003134.9004383,2310023.08333552,76836.1958307549,404096.497933418,42422.3031264842,4687901.11444736,152570.789148174,5946.65564858029,8711418.73607731,20275089.3856077,267.415602457419,139612.765229344,65687.8640307114,1538014.54306638,590970.276523799,2002293.79863405
"building_highrise",11644489.7323608,220084.307601929,5390.86949636042,2921.67647948116,0,868648.219234467,23170.4881956577,33332.4012410641,0,9582826.55502319,0,26809.9864805341,9752.00704571605,731174.285003662,16306.5361474156,124071.804909229
"building_lightweight",107943489.737001,0,1892808.12299112,3021579.11048838,0,13964270.8573288,0,0,0,66877232.7312447,0,1039957.99735763,652578.097481192,9906813.66797388,0,10588288.698574
"building_multifamily",206762237.743988,11648503.5572519,387453.562878817,2037694.47804236,213918.407886431,23639183.2358227,769352.574611008,29986.5613577459,43928161.7719193,102238967.504845,1348.46813711053,704010.036711514,331237.116758496,7755578.43911219,2980021.2741015,10096751.3946843
"building_singlefamily",1810560092.65931,350654926.994563,23833511.922045,38837238.6108786,1888.83233466523,215707443.429683,5471331.21918346,1310877.54160182,222837669.570224,768052786.201037,560129.612715887,9890475.12448761,7668733.27505983,14567983.4975773,49199185.460259,101965724.083882
"building_skyscraper",9494641.96875,0,0,6137.40087890625,0,253679.255859375,55236.6184082031,0,0,8059089.140625,0,251633.487792969,0,868866.6796875,0,0
"building",2916566263.2829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",31208503.2443848,25381739.633667,0,0,0,0,0,315205.728029251,0,5511567.26794434,0,0,0,0,0,0
"other_parking",14072290.4369965,13793009.3969269,0,0,0,0,0,279278.73984766,0,0,0,0,0,0,0,0
"other_remaining_impervious",462105397.192444,452934467.040802,0,0,0,0,0,9170946.81798524,0,0,0,0,0,0,0,0
"other",507386166.124613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",2462928.84775543,0,0,0,0,0,0,0,0,188103.597213745,0,0,0,2274825.04566193,0,0
"rail_other",982305.727592468,63860.1225776672,0,0,0,0,0,0,0,889480.056797028,1596.50316995382,0,0,27368.6083682775,0,0
"rail_railway",123357152.879887,116570797.818882,0,0,0,0,0,0,0,726525.415375456,0,0,0,2490756.8405742,0,3569040.765504
"rail_subway",474386.53125,0,0,0,0,0,158.750686645508,0,0,451950.4375,258.257049560547,0,0,22019.0859375,0,0
"rail_subway_elevated",208300.859375,16503.91796875,0,0,0,0,243.769821166992,0,0,177861.78125,290.490142822266,0,0,13400.939453125,0,0
"rail_subway_surface",1553865.625,220266.90625,0,0,0,0,2383.18408203125,0,0,1202565.75,3876.978515625,0,0,124771.578125,0,0
"rail_tram",27514.9821777344,1788.76123809814,0,0,0,0,0,0,0,24914.8787841797,44.718957901001,0,0,766.612785339355,0,0
"rail_tunnel",787094.338287354,0,0,0,0,0,0,0,0,758498.716491699,0,0,0,28595.4076728821,0,0
"rail",129853131.901936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",16917542.4853516,0,0,0,0,0,0,0,0,15720753.6258545,0,0,0,1196783.73246765,0,0
"street_bridge_other",11047697.3420105,0,0,0,0,0,0,0,0,9997609.21380615,0,0,0,1050090.40103149,0,0
"street_local",689394889.727608,667498315.554626,0,0,0,0,0,7694981.20490155,0,14201762.5579476,0,0,0,0,0,0
"street_motorway",277879712.299986,225998223.732426,0,0,0,0,0,2806583.67937261,0,49074862.2167902,0,0,0,0,0,0
"street_motorway_elevated",4521281.20532227,4295216.50671387,0,0,0,0,0,226064.058240891,0,0,0,0,0,0,0,0
"street_other_elevated",2330038.73957443,2213536.95941544,0,0,0,0,0,116501.94005537,0,0,0,0,0,0,0,0
"street_primary",71461637.2259417,62704908.3502486,0,0,0,0,0,991281.341915272,0,7765441.62203777,0,0,0,0,0,0
"street_secondary",113133015.520199,102660005.58914,0,0,0,0,0,1607427.02282223,0,8865386.25367475,0,0,0,0,0,0
"street_tertiary",178986510.961639,167684827.412994,0,0,0,0,0,2497178.46551442,0,8804849.16124725,0,0,0,0,0,0
"street_track",1318688.78586292,1309958.08234024,0,0,0,0,0,3068.7789827995,0,5663.69529040158,0,0,0,0,0,0
"street_tunnel",1000907.53704834,0,0,0,0,0,0,0,0,964543.908737183,0,0,0,36363.3215417862,0,0
"street",1367991988.01246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
