"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",2397045187.54274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",277187942.439831,74070255.1255128,114.471903756789,2465512.22742837,0,8390986.39225598,97301.1102943356,873789.304645826,0,167730604.424914,34123.6950682462,5680019.41453674,467395.152190283,17214912.9578494,0,163004.307235167
"building_commercial_innercity",4833583.57717705,272313.038062811,9057.69977399521,47636.2052656785,5000.87752981484,552624.909474611,17985.5383024625,701.011075113551,1026930.4348824,2390092.3379178,31.5238213999328,16457.9987930581,7743.49837032426,181306.074915469,69665.4783994108,236036.842087567
"building_highrise",1324011.02217484,25024.2072940469,612.957228273153,332.202837542631,0,98767.7596821785,2634.54979444295,3789.9890191555,0,1089594.25499344,0,3048.37094593048,1108.83056452125,83136.5694730282,1854.09904790297,14107.3105126619
"building_lightweight",47682312.981119,0,836117.032191577,1334733.46712146,0,6168489.90380307,0,0,0,29541935.3214655,0,459384.619007767,288265.847567511,4376175.94709818,0,4677205.13140532
"building_multifamily",15284875.462616,861114.170430183,28642.4887447283,150636.32647559,15813.8958678618,1747524.8427825,56874.2896676064,2216.75528408913,3247385.05476999,7558006.10920525,99.6853922992887,52043.8633872569,24486.6762660891,573330.429466963,220297.833614588,746401.671379328
"building_singlefamily",565614783.055063,61894529.8857745,11482279.7264942,16694043.5877977,6298.50138022326,105566904.369193,1352573.10513659,1948604.52786191,0,293922965.087703,70801.2809479594,4888284.86776254,3082400.617876,9914418.74168353,24226630.7332877,30563937.352336
"building_skyscraper",4018585.77246094,0,0,2597.64119338989,0,107369.155319214,23378.7714710236,0,0,3410990.89160156,0,106503.281356812,0,367745.813110352,0,0
"building",915945868.729084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",27668044.9169922,22502286.5395508,0,0,0,0,0,279447.002838135,0,4886305.03674316,0,0,0,0,0,0
"other_parking",15016933.8771429,14718901.3866034,0,0,0,0,0,298026.131440356,0,0,0,0,0,0,0,0
"other_remaining_impervious",233029282.569012,228404610.785706,0,0,0,0,0,4624699.51428312,0,0,0,0,0,0,0,0
"other",275714211.292339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1327385.52389526,0,0,0,0,0,0,0,0,101377.661960602,0,0,0,1226007.7431488,0,0
"rail_other",583834.239070892,37955.3919706345,0,0,0,0,0,0,0,528663.441036224,948.883134670556,0,0,16266.5548041463,0,0
"rail_railway",67002695.420929,63316760.3091125,0,0,0,0,0,0,0,394620.052287579,0,0,0,1352881.75351429,0,1938563.19047737
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",44775.5278320312,2910.88354492188,0,0,0,0,0,0,0,40544.3247070312,72.7720537185669,0,0,1247.52122497559,0,0
"rail_tunnel",38766.9609375,0,0,0,0,0,0,0,0,37358.5386352539,0,0,0,1408.41715240479,0,0
"rail",68997448.6127625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",7188770.39978027,0,0,0,0,0,0,0,0,6680220.78356934,0,0,0,508549.443023682,0,0
"street_bridge_other",7787042.78089714,0,0,0,0,0,0,0,0,7046883.10004997,0,0,0,740163.388963938,0,0
"street_local",706520365.265636,683843807.602547,0,0,0,0,0,7968950.46642347,0,14707404.8596113,0,0,0,0,0,0
"street_motorway",140684760.952332,114418320.2146,0,0,0,0,0,1420915.9804287,0,24845588.7662964,0,0,0,0,0,0
"street_motorway_elevated",1917107.92654419,1821252.53622437,0,0,0,0,0,95855.4052047729,0,0,0,0,0,0,0,0
"street_other_elevated",1642344.17794275,1560226.80138302,0,0,0,0,0,82117.1840837002,0,0,0,0,0,0,0,0
"street_primary",78078482.1462402,68510864.7331543,0,0,0,0,0,1083064.93564415,0,8484464.47051239,0,0,0,0,0,0
"street_secondary",79917754.4099693,72519400.1962261,0,0,0,0,0,1135481.75240836,0,6262552.41321683,0,0,0,0,0,0
"street_tertiary",104157048.324093,97580061.9610491,0,0,0,0,0,1453175.72730529,0,5123772.32716155,0,0,0,0,0,0
"street_track",8118207.75008714,8061175.70624155,0,0,0,0,0,20056.871476409,0,37016.6502540961,0,0,0,0,0,0
"street_tunnel",376313.698486328,0,0,0,0,0,0,0,0,362642.145065308,0,0,0,13671.6092910767,0,0
"street",1136387499.22318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
