"category","total"
"grand_total_t_10m2",1709241695.41148
"building_commercial_industrial",223655364.236217
"building_commercial_innercity",10067924.9414473
"building_highrise",3628936.51422119
"building_lightweight",43549182.9743071
"building_multifamily",16463027.8815994
"building_singlefamily",363572112.429543
"building_skyscraper",956596.25
"building",661893369.947903
"other_airport",20210969.9664307
"other_parking",19895641.5921669
"other_remaining_impervious",183127772.734776
"other",223234354.842068
"rail_bridge",1404615.57962036
"rail_other",412058.000350952
"rail_railway",50305019.2357178
"rail_subway_elevated",0
"rail_subway_surface",8599.4453125
"rail_subway",0
"rail",53674136.4093933
"rail_tram",125110.875
"rail_tunnel",1418736.32519531
"street_bridge_motorway",4419907.53515625
"street_bridge_other",5746975.36306763
"street_local",435045376.577888
"street_motorway_elevated",1181706.78210449
"street_motorway",78793480.3486328
"street_other_elevated",1212078.68634129
"street_primary",10900155.8377686
"street_secondary",77807506.1850586
"street_tertiary",78998864.0773926
"street",770440452.529694
"street_track",75588803.3873033
"street_tunnel",745421.386047363
