"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",5095973762.0828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",671488942.685951,179435509.021611,277.308621197471,5972713.54643297,0,20327200.4610071,235712.36902963,2116758.07860507,0,406328028.938168,82664.8124026796,13759875.0311245,1132266.03952835,41703206.2674925,0,394878.645635869
"building_commercial_innercity",124405576.356522,7008722.80831528,233124.813340366,1226049.27345085,128711.417458862,14223331.2149029,462907.382934213,18042.4620341323,26430893.8968658,61515626.9866257,811.352585292654,423592.114310622,199300.302733958,4666411.85494137,1793034.16416836,6075061.93266106
"building_highrise",23114214.2555847,436865.670182705,10700.8349012882,5799.5050509721,0,1724260.12743187,45993.2506772876,66164.5733674765,0,19021829.667099,0,53217.6266700029,19357.6580208838,1451375.63546181,32368.3411850631,246281.535945415
"building_lightweight",87270085.9580812,0,1530295.17306587,2442883.29614171,0,11289816.3533012,0,0,0,54068830.7758274,0,840783.886824694,527595.682264527,8009448.17692572,0,8560406.24529755
"building_multifamily",545534046.383373,30734140.3510251,1022281.43074931,5376380.2396697,564415.501695487,62371074.6039683,2029907.78571023,79118.4140025697,115902702.184787,269753625.551002,3557.88159988452,1857503.9798134,873957.034109259,20462795.8552915,7862677.02085616,26639889.6920016
"building_singlefamily",1582794384.89505,285667610.139661,22588992.7798266,35941420.1375274,4153.71989694145,205363702.322162,4625682.88454401,1820010.28995335,164446310.27868,694962661.065296,444007.52199812,9428945.48233371,7002447.46600932,15083527.7368935,46870005.8445849,88545342.7287452
"building_skyscraper",14793665.5742188,0,0,9562.72509241104,0,395259.413223267,86064.5455856323,0,0,12556918.0229492,0,392071.729675293,0,1353786.86645508,0,0
"building",3049401192.75922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",20421192.6286621,16608462.8651123,0,0,0,0,0,206254.007459641,0,3606478.72412109,0,0,0,0,0,0
"other_parking",60148401.3675265,58954681.1149631,0,0,0,0,0,1193705.40394364,0,0,0,0,0,0,0,0
"other_remaining_impervious",405538753.440846,397490538.351825,0,0,0,0,0,8048322.00600025,0,0,0,0,0,0,0,0
"other",486108366.334157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",4304563.69539642,0,0,0,0,0,0,0,0,328756.658086777,0,0,0,3975809.47398376,0,0
"rail_other",1611576.12667847,104769.314461708,0,0,0,0,0,0,0,1459285.97503662,2619.23058788478,0,0,44901.0806610584,0,0
"rail_railway",115300592.190819,108957646.118759,0,0,0,0,0,0,0,679076.14591682,0,0,0,2328087.93131375,0,3335948.63843846
"rail_subway",6892714,0,0,0,0,0,2306.59790039062,0,0,6566715.5,3752.4130859375,0,0,319932.09375,0,0
"rail_subway_elevated",1046674.70605469,82929.3316650391,0,0,0,0,1224.90263748169,0,0,893725.344726562,1459.66110229492,0,0,67336.9885253906,0,0
"rail_subway_surface",408454.078125,57900.083984375,0,0,0,0,626.45068359375,0,0,316110.3515625,1019.11608886719,0,0,32797.9375,0,0
"rail_tram",502060.665283203,32639.1925048828,0,0,0,0,0,0,0,454617.541503906,815.980109214783,0,0,13988.2320632935,0,0
"rail_tunnel",3427581.27651978,0,0,0,0,0,0,0,0,3303055.92736816,0,0,0,124525.194773674,0,0
"rail",133494101.678177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",19707743.1899414,0,0,0,0,0,0,0,0,18313574.637085,0,0,0,1394168.23886108,0,0
"street_bridge_other",11420093.2187042,0,0,0,0,0,0,0,0,10334609.0359879,0,0,0,1085487.07675648,0,0
"street_local",760776424.019596,736598658.483593,0,0,0,0,0,8496676.19618563,0,15681367.6516411,0,0,0,0,0,0
"street_motorway",279865761.296265,227613765.38068,0,0,0,0,0,2826644.55881554,0,49425600.3391638,0,0,0,0,0,0
"street_motorway_elevated",5267140.94784546,5003783.23760986,0,0,0,0,0,263357.060621262,0,0,0,0,0,0,0,0
"street_other_elevated",2408580.10469055,2288151.26037407,0,0,0,0,0,120429.027108669,0,0,0,0,0,0,0,0
"street_primary",61393334.3535233,53870381.6226599,0,0,0,0,0,851619.187460028,0,6671359.54277682,0,0,0,0,0,0
"street_secondary",113403821.592133,102905689.347824,0,0,0,0,0,1611277.10021472,0,8886608.58448792,0,0,0,0,0,0
"street_tertiary",161718262.592911,151506699.069916,0,0,0,0,0,2256252.00015485,0,7955363.16448951,0,0,0,0,0,0
"street_track",6139729.22020823,6099802.87566653,0,0,0,0,0,14031.2758509601,0,25895.9319877984,0,0,0,0,0,0
"street_tunnel",4868813.13679504,0,0,0,0,0,0,0,0,4691928.67851257,0,0,0,176885.816098213,0,0
"street",1426969618.95383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
