"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";330060403,147095;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";35877157,9506836;9587105,66003418;14,8163957633078;319117,753463745;0;1086066,74160767;12593,9343224168;113096,865093946;0;21709799,0740356;4416,7185703516;735180,066757202;60496,1320242882;2228170,99485779;0;21098,078785181
"building_commercial_innercity";3625787,49633789;204268,561813354;6794,39961624146;35733,0721111298;3751,27848577499;414537,401977539;13491,3880195618;525,845545202494;770325,64050293;1792866,13989258;23,6467729173601;12345,5465984344;5808,58636951447;136002,086288452;52257,7908325195;177056,929550171
"building_highrise";827720,999145508;15644,175617218;383,197311878204;207,68048119545;0;61745,8274383545;1647,01911115646;2369,3552274704;0;681172,357543945;0;1905,72470569611;693,198426008225;51973,790435791;1159,11155080795;8819,34972190857
"building_lightweight";5812529,24263155;0;101923,612164777;162705,46693749;0;751945,677511208;0;0;0;3601198,48053634;0;55999,5153381675;35139,930989556;533460,925425671;0;570156,620393358
"building_multifamily";14195799,0964718;799759,081807494;26601,6629032232;139903,336426601;14687,1430321429;1623010,49243259;52821,8998712599;2058,8069235452;3016002,4801836;7019488,32347012;92,5826563776645;48335,680516988;22741,9644423649;532479,6324296;204601,301301569;693219,505391061
"building_singlefamily";116984407,90999;23674652,969011;1454412,89513938;2412321,9058007;0;13118432,2291269;361189,542296426;51827,2423882035;15878581,5289626;48478162,6874911;38417,9457751462;600876,508215096;480940,734423622;826754,75818551;2990627,70216306;6617168,31466858
"building_skyscraper";300485,9375;0;0;194,236145019531;0;8028,42724609375;1748,12512207031;0;0;255053,59375;0;7963,68310546875;0;27497,849609375;0;0
"building";177623945,863662;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";1865534,234375;1517230,84765625;0;0;0;0;0;18841,8942871094;0;329462,171875;0;0;0;0;0;0
"other_parking";3265731,68408203;3200920,06884766;0;0;0;0;0;64811,7220153809;0;0;0;0;0;0;0;0
"other_remaining_impervious";77587815,0804749;76048039,1161575;0;0;0;0;0;1539808,86412358;0;0;0;0;0;0;0;0
"other";82719078,4554749;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";69187,8196411133;0;0;0;0;0;0;0;0;5284,146484375;0;0;0;63903,6767578125;0;0
"rail_other";41895,382522583;2723,64098453522;0;0;0;0;0;0;0;37936,3988418579;68,0909993872046;0;0;1167,27365422249;0;0
"rail_railway";2520026,25799561;2381391,60394287;0;0;0;0;0;0;0;14841,9723136425;0;0;0;50882,9737443924;0;72910,8659629822
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tunnel";108706,316101074;0;0;0;0;0;0;0;0;104756,963317871;0;0;0;3949,33714294434;0;0
"rail";2739816,47839355;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";1479423,20922852;0;0;0;0;0;0;0;0;1374765,84790039;0;0;0;104657,61076355;0;0
"street_bridge_other";430960,426101685;0;0;0;0;0;0;0;0;389997,51159668;0;0;0;40963,0555706024;0;0
"street_local";33980586,8948326;32893078,7832375;0;0;0;0;0;382183,916086167;0;705354,198707223;0;0;0;0;0;0
"street_motorway";14678291,5092621;11937795,8627472;0;0;0;0;0;148250,66298008;0;2592253,87473297;0;0;0;0;0;0
"street_motorway_elevated";395856,107788086;376063,363647461;0;0;0;0;0;19792,8091049194;0;0;0;0;0;0;0;0
"street_other_elevated";90892,666179657;86348,0191955566;0;0;0;0;0;4544,63426446915;0;0;0;0;0;0;0;0
"street_primary";2219792,94140625;1947788,8203125;0;0;0;0;0;30791,908203125;0;241215,839355469;0;0;0;0;0;0
"street_secondary";6669726,32913208;6052304,44541168;0;0;0;0;0;94765,5654582977;0;522656,348479271;0;0;0;0;0;0
"street_tertiary";6838990,38232422;6407141,68254852;0;0;0;0;0;95415,8500053883;0;336428,497587681;0;0;0;0;0;0
"street_track";145726,914653778;144730,103328705;0;0;0;0;0;350,447447419167;0;646,78090325743;0;0;0;0;0;0
"street_tunnel";47393,8506164551;0;0;0;0;0;0;0;0;45672,0185241699;0;0;0;1721,83528518677;0;0
"street";66977586,3271179;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
