"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";2101935021,31731;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";284111916,780762;75920426,1479797;117,331284836677;2527098,37796569;0;8600583,11664581;99731,6020694822;895615,883027971;0;171920277,60611;34976,0692580156;5821901,67326021;479070,102045357;17644919,000596;0;167076,059198737
"building_commercial_innercity";15034615,9547119;847015,491705775;28173,5088718804;148169,952619024;15554,9786877199;1718911,83085465;55943,0893453062;2180,4592380739;3194215,41086769;7434258,58446693;98,0532080540288;51191,7501083333;24085,7547513768;563943,150371268;216690,939502403;734180,546594769
"building_highrise";1469198,95127106;27768,3032040596;680,172617848963;368,631417647004;0;109598,389467239;2923,44797171652;4205,58926491439;0;1209076,3853302;0;3382,64812277257;1230,4224512428;92253,1346926689;2057,41515975446;15654,2843598127
"building_lightweight";43583679,354005;0;764246,77967594;1220004,54866766;0;5638264,83374965;0;0;0;27002585,3028961;0;419897,19145841;263487,257860061;4000010,92538461;0;4275164,84577854
"building_multifamily";82832119,1985626;4666572,31262684;155219,925474703;816331,805478811;85699,0791831017;9470225,2062645;308214,471817076;12013,0885066129;17598299,0313339;40958526,3648758;540,217441080837;282037,462363124;132698,772810638;3107006,38247776;1193843,38738203;4044915,71031475
"building_singlefamily";624641743,193269;68253448,8479248;16385949,7953203;23160735,6124893;5585,19528846505;102749080,49138;1709144,77648384;1725507,04373412;0;329161692,268548;102997,960301412;6037716,07601344;3369420,92965311;10544493,937622;27184462,4179425;34251629,0869303
"building_skyscraper";85680,484375;0;0;55,384449005127;0;2289,2236328125;498,459991455078;0;0;72725,921875;0;2270,76245117188;0;7840,72802734375;0;0
"building";1051759554,8447;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";18537012,6640625;15076073,7060547;0;0;0;0;0;187223,787361145;0;3273722,98974609;0;0;0;0;0;0
"other_parking";22971816,468174;22515912,2340202;0;0;0;0;0;455898,734895587;0;0;0;0;0;0;0;0
"other_remaining_impervious";185566746,041817;181884014,86315;0;0;0;0;0;3682758,34245676;0;0;0;0;0;0;0;0
"other";227075586,602493;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";1000091,1576767;0;0;0;0;0;0;0;0;76380,9215774536;0;0;0;923710,241485596;0;0
"rail_other";353335,934915543;22970,5330650806;0;0;0;0;0;0;0;319946,578170776;574,263238791376;0;0;9844,50369375944;0;0
"rail_railway";47112476,8299637;44520713,0996246;0;0;0;0;0;0;0;277474,155768722;0;0;0;951268,878702164;0;1363085,64613032
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";529,761047363281;34,439998626709;0;0;0;0;0;0;0;479,699981689453;0,861000001430511;0;0;14,7600002288818;0;0
"rail_tunnel";58927,6392211914;0;0;0;0;0;0;0;0;56786,7755126953;0;0;0;2140,86142539978;0;0
"rail";48525352,690155;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";6517586,21484375;0;0;0;0;0;0;0;0;6056517,11523438;0;0;0;461068,421646118;0;0
"street_bridge_other";5214669,1546936;0;0;0;0;0;0;0;0;4719012,37136841;0;0;0;495657,61816597;0;0
"street_local";437950464,491661;423907559,050014;0;0;0;0;0;4934959,2308825;0;9107899,72181934;0;0;0;0;0;0
"street_motorway";101281934,602783;82372185,0902405;0;0;0;0;0;1022947,64063454;0;17886875,2683945;0;0;0;0;0;0
"street_motorway_elevated";1741056,65032959;1654003,72949219;0;0;0;0;0;87052,8360977173;0;0;0;0;0;0;0;0
"street_other_elevated";1099811,86159515;1044821,07595062;0;0;0;0;0;54990,5827424526;0;0;0;0;0;0;0;0
"street_primary";77812256,5771484;68277352,2685547;0;0;0;0;0;1079375,08412552;0;8455539,14834595;0;0;0;0;0;0
"street_secondary";58122759,822464;52742265,5465012;0;0;0;0;0;825825,679593801;0;4554644,25863647;0;0;0;0;0;0
"street_tertiary";81020807,6008148;75904744,9547157;0;0;0;0;0;1130379,5383411;0;3985632,10814857;0;0;0;0;0;0
"street_track";3575754,76899838;3550988,95831025;0;0;0;0;0;8704,11746483645;0;16064,2041472495;0;0;0;0;0;0
"street_tunnel";237829,848388672;0;0;0;0;0;0;0;0;229189,405303955;0;0;0;8640,44076156616;0;0
"street";774574332,520172;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
