"category","total"
"grand_total_t_10m2",2149195765.7075
"building_commercial_industrial",284111916.780762
"building_commercial_innercity",15113384.8480811
"building_highrise",1451720.66845703
"building_lightweight",66612932.6407102
"building_multifamily",83266145.4732666
"building_singlefamily",649067525.634687
"building_skyscraper",85680.484375
"building",1099709376.11559
"other_airport",17848184.9853516
"other_parking",22971816.468174
"other_remaining_impervious",185566746.041817
"other",226386779.954056
"rail_bridge",1000091.1576767
"rail_other",353335.934915543
"rail_railway",47111589.9300995
"rail_subway_elevated",0
"rail_subway_surface",0
"rail_subway",0
"rail",48524471.110733
"rail_tram",529.761047363281
"rail_tunnel",58927.6392211914
"street_bridge_motorway",6517586.21484375
"street_bridge_other",5214669.1546936
"street_local",437950464.490685
"street_motorway_elevated",1741056.65032959
"street_motorway",101281933.727783
"street_other_elevated",1099811.86159515
"street_primary",77812256.5771484
"street_secondary",58122759.8185577
"street_tertiary",81020807.7726898
"street",774574330.770172
"street_track",3575754.74994779
"street_tunnel",237829.848388672
