"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";991793647,138039;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";71595544,4578171;19131780,705471;29,567229516073;636822,93851006;0;2167327,46415615;25132,1418358088;225693,206362814;0;43323537,9627914;8813,88956232928;1467106,35871398;120724,605970249;4446481,49337482;0;42102,7868454941
"building_commercial_innercity";1487177,54013824;83784,1693633795;2786,83633438312;14656,5171256959;1538,65026729275;170029,406972289;5533,71716500446;215,68431269913;315961,865136147;735373,753160477;9,69912082734663;5063,73136186227;2382,48833528161;55783,5108810067;21434,3931699097;72622,8621886969
"building_highrise";119676,32598877;2261,91858959198;55,4047237336636;30,0275598168373;0;8927,54058074951;238,134854435921;342,574078083038;0;98487,5673828125;0;275,539885520935;100,226340830326;7514,65002822876;167,590561270714;1275,14891815186
"building_lightweight";10781147,5132411;0;189049,210924026;301788,269565336;0;1394717,92726956;0;0;0;6679546,09553948;0;103868,575217404;65178,0103475563;989469,427549489;0;1057533,48493073
"building_multifamily";7123726,0113554;401334,363011897;13349,2194423489;70206,1331641376;7370,2842648197;814457,536427855;26507,0527786277;1033,14889316738;1513488,38464332;3522513,02042913;46,459739882448;24255,764374543;11412,3504815316;267208,464914262;102672,842595726;347870,60733059
"building_singlefamily";161297475,432023;32642494,9910934;2005337,61763865;3326098,83647794;0;18087645,5483483;498006,482193805;71459,1992189419;21893322,5853742;66841454,0731707;52970,4646190382;828485,951188281;663118,533051725;1139925,05762957;4123461,10866928;9123719,63739604
"building_skyscraper";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"building";252404789,186146;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";13011340,9538574;10582060,8891602;0;0;0;0;0;131414,410451889;0;2297863,07063293;0;0;0;0;0;0
"other_parking";1635988,75520325;1603520,30844879;0;0;0;0;0;32467,8388427496;0;0;0;0;0;0;0;0
"other_remaining_impervious";58366028,484045;57207691,9125214;0;0;0;0;0;1158332,51510757;0;0;0;0;0;0;0;0
"other";73013343,5721321;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";961379,304260254;0;0;0;0;0;0;0;0;73424,3245582581;0;0;0;887954,435913086;0;0
"rail_other";669278,351928711;43509,9995250702;0;0;0;0;0;0;0;606033,223556519;1087,75140637159;0;0;18647,161980629;0;0
"rail_railway";33259405,7381592;31429537,3893433;0;0;0;0;0;0;0;195884,492930055;0;0;0;671552,451445103;0;962278,036034584
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tunnel";56841,0295410156;0;0;0;0;0;0;0;0;54775,9766845703;0;0;0;2065,05428314209;0;0
"rail";34946903,2789612;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";1562136,42236328;0;0;0;0;0;0;0;0;1451627,36816406;0;0;0;110508,935699463;0;0
"street_bridge_other";1923855,79196167;0;0;0;0;0;0;0;0;1740992,47654343;0;0;0;182863,673398972;0;0
"street_local";389443274,296024;377167650,23719;0;0;0;0;0;4313472,26018208;0;7960854,58448344;0;0;0;0;0;0
"street_motorway";75469363,3790283;61378932,046875;0;0;0;0;0;762240,516263962;0;13328256,8290405;0;0;0;0;0;0
"street_motorway_elevated";415772,217407227;394983,622924805;0;0;0;0;0;20788,6112823486;0;0;0;0;0;0;0;0
"street_other_elevated";405755,045023918;385467,373539925;0;0;0;0;0;20287,754416883;0;0;0;0;0;0;0;0
"street_primary";25576776,2193604;22442626,1853027;0;0;0;0;0;354790,336774826;0;2779324,33596802;0;0;0;0;0;0
"street_secondary";73647019,6902008;66829834,9520874;0;0;0;0;0;1046391,22770834;0;5771175,52127266;0;0;0;0;0;0
"street_tertiary";52106959,0911255;48817071,7450409;0;0;0;0;0;726984,520726919;0;2563301,91923618;0;0;0;0;0;0
"street_track";10763546,0255897;10695966,6829822;0;0;0;0;0;23758,3480094401;0;43848,0109299943;0;0;0;0;0;0
"street_tunnel";114718,395935059;0;0;0;0;0;0;0;0;110550,623291016;0;0;0;4167,75847673416;0;0
"street";631428812,979774;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
