"category";"total"
"grand_total_t_10m2";3111587439,63465
"building_commercial_industrial";410466616,559015
"building_commercial_innercity";25370381,2380381
"building_highrise";5526219,20275879
"building_lightweight";97037444,6833835
"building_multifamily";157981711,748135
"building_singlefamily";1001261078,67125
"building_skyscraper";4074065,23046875
"building";1701716711,80691
"other_airport";20619999,8330078
"other_parking";20907311,6998196
"other_remaining_impervious";280404986,982343
"other";321932306,499955
"rail_bridge";1177791,67333984
"rail_other";198774,779769897
"rail_railway";60151516,2081604
"rail_subway_elevated";0
"rail_subway_surface";0
"rail_subway";0
"rail";62217468,0835266
"rail_tram";62742,4765625
"rail_tunnel";626641,095703125
"street_bridge_motorway";9954164,83837891
"street_bridge_other";7919304,07579803
"street_local";541556925,573734
"street_motorway_elevated";2656583,55712891
"street_motorway";152427141,88208
"street_other_elevated";1670238,56461334
"street_primary";109264158,900879
"street_secondary";99792298,4217377
"street_tertiary";97101380,7136841
"street";1025720793,84327
"street_track";2624757,94342852
"street_tunnel";753672,286026001
