"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",3021727016.0122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",410466616.559015,109684993.187568,169.512688943813,3650988.15928426,0,12425570.4570757,144085.80005588,1293928.21051888,0,248379427.484001,50531.1836104826,8411109.88304603,692129.637473013,25492250.6488979,0,241380.785485135
"building_commercial_innercity",25238146.5019531,1421859.38510859,47294.0187126286,248728.483182952,26111.6576716052,2885484.76871967,93909.9594644569,3660.26988485886,5362030.72894526,12479667.1912689,164.59897803449,85934.053366702,40432.0330993533,946674.184874773,363752.49591586,1232446.65811312
"building_highrise",5592753.72302246,105704.753446579,2589.19206386805,1403.2579999119,0,417204.816440582,11128.6020525694,16009.2849789858,0,4602553.88134766,0,12876.6235308647,4683.81084185839,351177.178840637,7831.89679002762,59590.6838407516
"building_lightweight",63489852.1497598,0,1113305.07915095,1777222.66526822,0,8213459.90199393,0,0,0,39335611.8397919,0,611678.824869601,383831.149757285,5826956.34218656,0,6227784.46174952
"building_multifamily",157158309.271931,8853932.99633861,294500.580133043,1548834.57643303,162597.696856551,17967954.7441792,584778.343225449,22792.5438694428,33389449.213027,77711015.5092297,1024.95952460484,535112.357265294,251770.646404993,5894952.24337816,2265091.26705873,7674460.63173938
"building_singlefamily",945039617.920223,103050126.107577,19158915.2289315,27894881.213702,10573.4420963831,176923435.849105,2252916.63223697,3266597.37875806,2133.19262695312,491038421.731331,117437.716715564,8161013.11208817,5146099.14785415,16600204.5282714,40468424.4999579,50949105.5954629
"building_skyscraper",4074065.23046875,0,0,2633.50332260132,0,108851.470458984,23701.5322570801,0,0,3458081.8203125,0,107973.629516602,0,372822.787109375,0,0
"building",1611060441.26023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",21415821.3217773,17417375.9602051,0,0,0,0,0,216299.607749939,0,3782131.89508057,0,0,0,0,0,0
"other_parking",20907311.6998196,20492384.5109577,0,0,0,0,0,414926.542789601,0,0,0,0,0,0,0,0
"other_remaining_impervious",280404986.982343,274840038.182048,0,0,0,0,0,5564916.30494255,0,0,0,0,0,0,0,0
"other",322728127.382768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1177791.67333984,0,0,0,0,0,0,0,0,89952.5977916718,0,0,0,1087839.03405762,0,0
"rail_other",198774.779769897,12922.4480247498,0,0,0,0,0,0,0,179991.17350769,323.061256214976,0,0,5538.18887352943,0,0
"rail_railway",60152658.8883972,56843492.7368469,0,0,0,0,0,0,0,354275.72278285,0,0,0,1214567.43176842,0,1740372.00765848
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",62742.4765625,4078.92016601562,0,0,0,0,0,0,0,56813.515625,101.972999572754,0,0,1748.10949707031,0,0
"rail_tunnel",626641.095703125,0,0,0,0,0,0,0,0,603874.841308594,0,0,0,22766.0830383301,0,0
"rail",62218614.3244934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",9954164.83837891,0,0,0,0,0,0,0,0,9249987.28271484,0,0,0,704179.492797852,0,0
"street_bridge_other",7919304.07579803,0,0,0,0,0,0,0,0,7166569.54673004,0,0,0,752734.609205246,0,0
"street_local",541556929.104984,524224618.167263,0,0,0,0,0,6090964.40239774,0,11241403.9311424,0,0,0,0,0,0
"street_motorway",152427142.44458,123968212.108887,0,0,0,0,0,1539514.0310936,0,26919342.1862793,0,0,0,0,0,0
"street_motorway_elevated",2656583.55712891,2523753.6940918,0,0,0,0,0,132829.198310852,0,0,0,0,0,0,0,0
"street_other_elevated",1670238.56461334,1586726.42922211,0,0,0,0,0,83511.9285512567,0,0,0,0,0,0,0,0
"street_primary",109264158.900879,95875324.9942017,0,0,0,0,0,1515660.64281988,0,11873288.4155273,0,0,0,0,0,0
"street_secondary",99792298.4373627,90554301.6583862,0,0,0,0,0,1417878.48583531,0,7819969.93901348,0,0,0,0,0,0
"street_tertiary",97101380.3772583,90969939.8159828,0,0,0,0,0,1354733.59874094,0,4776683.22696733,0,0,0,0,0,0
"street_track",2624757.97060895,2606799.81326675,0,0,0,0,0,6312.07421975769,0,11649.4766543545,0,0,0,0,0,0
"street_tunnel",753672.286026001,0,0,0,0,0,0,0,0,726291.369354248,0,0,0,27381.1802911758,0,0
"street",1025720793.50098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
