"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",10780468296.0008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",1600455873.2582,427674194.373642,660.94971347936,14235615.5913375,0,48448712.8645408,561806.858603228,5045175.66836809,0,968459527.687652,197026.811826195,32795862.8135137,2698693.20098739,99397218.2463286,0,941170.81296165
"building_commercial_innercity",48697331.665076,2743493.77288628,91254.3662430635,479924.477269046,50382.7849848075,5567579.63091388,181200.425737844,7062.53450513331,10346104.5397724,24079665.0480808,317.595709915016,165810.781571136,78014.048003407,1826619.72383272,701864.840238495,2378020.33080816
"building_highrise",9983505.0168047,188691.258678854,4621.90937846247,2504.92555922922,0,744743.347053349,19865.4190920722,28577.8323556222,0,8215919.04958487,0,22985.7817823067,8360.96967614349,626878.737546027,13980.5516340304,106374.057194576
"building_lightweight",261663068.714234,0,4588305.94513004,7324531.2170801,0,33850423.008541,0,0,0,162115311.298444,0,2520935.67983861,1581896.85763165,24014846.3221445,0,25666801.2127458
"building_multifamily",212084958.915108,11948386.8869758,397428.328370413,2090149.5921628,219425.748704495,24247743.6059967,789158.317753334,30758.5376799086,45059046.528481,104871080.341397,1383.18237810438,722134.35433802,339764.581487969,7955237.21179563,3056738.71382268,10356685.4581274
"building_singlefamily",1914719145.63148,223485567.625751,89707960.9424222,119862274.850661,826.223817736318,148934893.55399,7764394.90291325,414522.701736428,0,1058481903.47473,608863.475651195,25399356.6578196,10136980.2652651,26657995.2475775,88183597.5693081,115079540.41935
"building_skyscraper",35171574.9550781,0,0,22735.1518621445,0,939719.398498535,204616.303779602,0,0,29853777.9384766,0,932141.027862549,0,3218595.12109375,0,0
"building",4082776220.27808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",119662170.168945,97320733.8999023,0,0,0,0,0,1208587.5485878,0,21132900.5211487,0,0,0,0,0,0
"other_parking",91109934.3317871,89301775.2648315,0,0,0,0,0,1808168.17024279,0,0,0,0,0,0,0,0
"other_remaining_impervious",1552799612.74095,1521982490.26211,0,0,0,0,0,30816852.4505541,0,0,0,0,0,0,0,0
"other",1763571891.13217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",5460381.25370789,0,0,0,0,0,0,0,0,417030.99176693,0,0,0,5043348.78438568,0,0
"rail_other",1513826.72913361,98414.579757452,0,0,0,0,0,0,0,1370774.70959091,2460.36547531933,0,0,42177.6671121716,0,0
"rail_railway",238478882.752098,225359547.327484,0,0,0,0,0,0,0,1404547.77465245,0,0,0,4815230.93773055,0,6899814.66318953
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",88241.9169921875,5736.63892936707,0,0,0,0,0,0,0,79903.1539916992,143.416204273701,0,0,2458.55641746521,0,0
"rail_tunnel",449684.969482422,0,0,0,0,0,0,0,0,433347.443115234,0,0,0,16337.1988449097,0,0
"rail",245991008.746201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",67234643.1848145,0,0,0,0,0,0,0,0,62478344.701416,0,0,0,4756326.43392944,0,0
"street_bridge_other",33888560.0696259,0,0,0,0,0,0,0,0,30667425.0757332,0,0,0,3221127.64976358,0,0
"street_local",2386878882.41315,2309788254.34214,0,0,0,0,0,27090691.7422424,0,49998243.5248885,0,0,0,0,0,0
"street_motorway",542188082.70874,440958885.142654,0,0,0,0,0,5476097.6782794,0,95752965.5696983,0,0,0,0,0,0
"street_motorway_elevated",17979145.6514893,17080195.0827637,0,0,0,0,0,898957.452907562,0,0,0,0,0,0,0,0
"street_other_elevated",7147340.01933479,6789972.51873016,0,0,0,0,0,357366.946099222,0,0,0,0,0,0,0,0
"street_primary",454269228.427425,398603972.118717,0,0,0,0,0,6301397.41541344,0,49363515.1641402,0,0,0,0,0,0
"street_secondary",385348985.50766,349675407.212433,0,0,0,0,0,5475134.63099861,0,30196938.8124542,0,0,0,0,0,0
"street_tertiary",723078627.742362,677420363.737879,0,0,0,0,0,10088206.0922335,0,35570195.8917956,0,0,0,0,0,0
"street_track",67209278.8504381,66715502.7541137,0,0,0,0,0,173534.889825476,0,320274.1007938,0,0,0,0,0,0
"street_tunnel",2912260.7370224,0,0,0,0,0,0,0,0,2806456.66824341,0,0,0,105803.414557934,0,0
"street",4688134211.16327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
