"category";"total"
"grand_total_t_10m2";3316413000,20979
"building_commercial_industrial";371150573,006065
"building_commercial_innercity";58855008,9282837
"building_highrise";10644002,2583008
"building_lightweight";89396791,4552334
"building_multifamily";268056574,104294
"building_singlefamily";997516099,923527
"building_skyscraper";4379171,04296875
"building";1799998125,51024
"other_airport";23465268,4550781
"other_parking";47720721,5057945
"other_remaining_impervious";232789156,426587
"other";303975183,546311
"rail_bridge";1994759,15657043
"rail_other";539281,470306396
"rail_railway";67483016,318222
"rail_subway_elevated";1449864,85693359
"rail_subway_surface";3234816,515625
"rail_subway";2755395,84179688
"rail";78950817,2559814
"rail_tram";29841,97265625
"rail_tunnel";1463839,15789795
"street_bridge_motorway";12927470,1177979
"street_bridge_other";8050450,07377625
"street_local";604894338,575049
"street_motorway_elevated";3450884,36413574
"street_motorway";178941642,771727
"street_other_elevated";1697897,74078369
"street_primary";114046817,135528
"street_secondary";85160539,6258011
"street_tertiary";94492572,4338684
"street";1133489947,1375
"street_track";26923980,8326185
"street_tunnel";2903437,81790161
