"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",3228833373.03053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",371150573.006065,99178951.1713352,153.276183428427,3301284.09170091,0,11235404.1970711,130284.749451239,1169991.20634031,0,224588776.120419,45691.1249522418,7605463.98566246,625835.117902666,23050511.9918652,0,218260.455617979
"building_commercial_innercity",58548237.9795837,3298473.44620728,109714.132601656,577008.218948126,60574.6340397894,6693836.58010626,217855.205329776,8491.20846900623,12439000.3035145,28950722.2437305,381.841853720747,199352.558222741,93795.4433233812,2196124.34172654,843843.864329636,2859066.82610846
"building_highrise",10772151.1131897,203596.907682896,4987.01899491251,2702.8019259572,0,803574.300300598,21434.693651855,30835.3369202614,0,8864936.37640381,0,24801.5437808633,9021.44443130493,676399.039600372,15084.9452892244,114777.059823513
"building_lightweight",58490763.79171,0,1025644.96654704,1637286.61447275,0,7566740.18827505,0,0,0,36238403.0712025,0,563515.984362939,353608.767722912,5368148.74266192,0,5737415.58225369
"building_multifamily",266659107.06163,15022967.0289145,499695.375802606,2627994.27550089,275888.578394949,30487223.6864853,992226.544282556,38673.3772905171,56653720.2952042,131856631.172539,1739.10601539019,907954.930415869,427193.528349534,10002298.1331062,3843306.59366202,13021681.8169351
"building_singlefamily",941509070.133351,102667901.389182,19087089.7170085,27790393.865193,10533.5997426299,176260085.732934,2244519.85754528,3254302.29458146,6180.7147321701,489200550.725684,117005.023873828,8130417.74499563,5126833.77898068,16537862.7075472,40316715.0964785,50758822.2956738
"building_skyscraper",4379171.04296875,0,0,2830.72579193115,0,117003.332397461,25476.5349121094,0,0,3717056.8828125,0,116059.771484375,0,400743.411132812,0,0
"building",1711509010.81128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",24370897.7900391,19820738.8535156,0,0,0,0,0,246145.896888733,0,4304013.33398438,0,0,0,0,0,0
"other_parking",47720721.5057945,46773648.935648,0,0,0,0,0,947065.403534591,0,0,0,0,0,0,0,0
"other_remaining_impervious",232789156.426587,228169234.478195,0,0,0,0,0,4619934.14766273,0,0,0,0,0,0,0,0
"other",304880844.343186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1994759.15657043,0,0,0,0,0,0,0,0,152347.645877838,0,0,0,1842411.76837158,0,0
"rail_other",539281.470306396,35058.9392938614,0,0,0,0,0,0,0,488319.746429443,876.470727652311,0,0,15025.0760555267,0,0
"rail_railway",67484318.9610329,63771828.0651016,0,0,0,0,0,0,0,397456.378560022,0,0,0,1362605.77469474,0,1952495.68597269
"rail_subway",2755395.84179688,0,0,0,0,0,922.077435493469,0,0,2625078.76171875,1500.04279136658,0,0,127894.257446289,0,0
"rail_subway_elevated",1449864.85693359,114874.450775146,0,0,0,0,1696.74337625504,0,0,1237994.99853516,2021.93822479248,0,0,93276.4758605957,0,0
"rail_subway_surface",3234816.515625,458549.336181641,0,0,0,0,4961.28005409241,0,0,2503486.44238281,8071.0574836731,0,0,259748.390014648,0,0
"rail_tram",29841.97265625,1940.0400390625,0,0,0,0,0,0,0,27021.98828125,48.5009994506836,0,0,831.44580078125,0,0
"rail_tunnel",1463839.15789795,0,0,0,0,0,0,0,0,1410658.74493408,0,0,0,53181.8006057739,0,0
"rail",78952139.5502815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",12927470.1177979,0,0,0,0,0,0,0,0,12012955.168457,0,0,0,914517.229476929,0,0
"street_bridge_other",8050450.07377625,0,0,0,0,0,0,0,0,7285251.08183289,0,0,0,765200.121290207,0,0
"street_local",604894341.149329,585534780.608774,0,0,0,0,0,6803326.42850286,0,12556132.0163359,0,0,0,0,0,0
"street_motorway",178941642.782469,145532488.645802,0,0,0,0,0,1807311.62073827,0,31601949.6986914,0,0,0,0,0,0
"street_motorway_elevated",3450884.36413574,3278340.09106445,0,0,0,0,0,172544.241600037,0,0,0,0,0,0,0,0
"street_other_elevated",1697897.74078369,1613003.15324211,0,0,0,0,0,84894.9054137468,0,0,0,0,0,0,0,0
"street_primary",114046817.135528,100071894.884773,0,0,0,0,0,1582001.91463001,0,12392996.0645772,0,0,0,0,0,0
"street_secondary",85160539.8914261,77277125.8746948,0,0,0,0,0,1209988.414621,0,6673407.39231396,0,0,0,0,0,0
"street_tertiary",94492572.2657471,88525819.0602112,0,0,0,0,0,1318335.95384073,0,4648347.29240227,0,0,0,0,0,0
"street_track",26923981.2561731,26739731.1068416,0,0,0,0,0,64747.2760325465,0,119496.826542214,0,0,0,0,0,0
"street_tunnel",2903437.81790161,0,0,0,0,0,0,0,0,2797954.12161255,0,0,0,105482.887655258,0,0
"street",1133489946.57604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
