"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";356809635,782745;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";21562162,7125683;5761849,01006413;8,90465006410341;191789,621851265;0;652726,024811864;7568,95532909036;67971,2362854034;0;13047589,5332508;2654,44665890955;441842,947908878;36358,1890564673;1339130,35795832;0;12679,9422717765
"building_commercial_innercity";683812,979476929;38524,4611356258;1281,40403900295;6739,15246838331;707,480628952384;78180,5355520248;2544,43588018417;99,1728973072022;145281,161849976;338129,313659668;4,45971365272999;2328,33387181163;1095,48234260082;25649,5907409191;9855,66324412823;33392,4292638302
"building_highrise";15921,9697265625;300,930041313171;7,37115134298801;3,99492488056421;0;1187,7372379303;31,6819240450859;45,576718211174;0;13102,9776000977;0;36,6583629250526;13,3343059718609;999,763563156128;22,2965726256371;169,648258924484
"building_lightweight";6150106,83472419;0;107843,091457458;172155,114531357;0;795617,886982143;0;0;0;3810347,18717241;0;59251,8050398817;37180,7683511581;564443,061959445;0;603269,583977655
"building_multifamily";7590245,88598633;427616,792978287;14223,4313310385;74803,7980563641;7852,95026364923;867794,453052521;28242,9453681707;1100,80696911737;1612603,65296173;3753195,17118835;49,5022799002472;25844,2212109566;12159,7182953954;284707,459918976;109396,690462589;370651,92950058
"building_singlefamily";109586296,902941;22177472,2348151;1362435,90597141;2259768,8876541;0;12288851,3069417;338347,995182093;48549,7278917059;14874435,3908896;45412426,3292017;35988,4055672674;562877,473287463;450526,144331917;774470,877817512;2801500,16546315;6198700,41355288
"building_skyscraper";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"building";145588532,746611;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";1982351,22363281;1612233,86669922;0;0;0;0;0;20021,7123641968;0;350091,849243164;0;0;0;0;0;0
"other_parking";3125718,45094681;3063683,74911118;0;0;0;0;0;62032,9809545875;0;0;0;0;0;0;0;0
"other_remaining_impervious";30081988,6608887;29484969,7666626;0;0;0;0;0;597007,187955141;0;0;0;0;0;0;0;0
"other";35190045,1063843;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";259736,628570557;0;0;0;0;0;0;0;0;19837,1154232025;0;0;0;239899,515045166;0;0
"rail_other";20191,2180480957;1312,63998985291;0;0;0;0;0;0;0;18283,1963806152;32,8160071969032;0;0;562,559856414795;0;0
"rail_railway";10162488,4215221;9603464,74204636;0;0;0;0;0;0;0;59852,991101861;0;0;0;205195,635386944;0;294027,538214922
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tunnel";21322,2502441406;0;0;0;0;0;0;0;0;20547,6062011719;0;0;0;774,644721984863;0;0
"rail";10463742,2709942;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";1442942,27441406;0;0;0;0;0;0;0;0;1340865,13671875;0;0;0;102076,873901367;0;0
"street_bridge_other";912946,756090164;0;0;0;0;0;0;0;0;826170,641584396;0;0;0;86776,1377542019;0;0
"street_local";81861405,6409225;79287139,7333069;0;0;0;0;0;904681,672067285;0;1669669,19037175;0;0;0;0;0;0
"street_motorway";37477423,3212891;30480165,2329407;0;0;0;0;0;378523,329570293;0;6618709,2114563;0;0;0;0;0;0
"street_motorway_elevated";384120,436523438;364914,434326172;0;0;0;0;0;19206,0226287842;0;0;0;0;0;0;0;0
"street_other_elevated";192547,06248188;182919,724281788;0;0;0;0;0;9627,35412850976;0;0;0;0;0;0;0;0
"street_primary";2359012,17480469;2069948,49536133;0;0;0;0;0;32723,0773963928;0;256344,192474365;0;0;0;0;0;0
"street_secondary";15325801,2033997;13906968,4238892;0;0;0;0;0;217752,170288563;0;1200965,3348999;0;0;0;0;0;0
"street_tertiary";23846980,119751;22341184,6016846;0;0;0;0;0;332706,731554031;0;1173097,89955521;0;0;0;0;0;0
"street_track";1665920,91785645;1655603,85007763;0;0;0;0;0;3624,83052649;0;6689,9324529483;0;0;0;0;0;0
"street_tunnel";98182,8010864258;0;0;0;0;0;0;0;0;94615,7752075195;0;0;0;3567,01474761963;0;0
"street";165567246,984238;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
