"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",2489153733.15108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",359746030.130731,96131438.2345166,148.566476222895,3199843.71515279,0,10890168.4133047,126281.409408398,1134040.38047903,0,217687612.080226,44287.118194573,7371766.46088369,606604.293933101,22342221.5042465,0,211553.66920226
"building_commercial_innercity",24377778.5826643,1373387.05891979,45681.7401823744,240249.258832442,25221.5403490888,2787114.41769716,90708.550856499,3535.49573049022,5179235.97936946,12054223.3447163,158.987621687907,83004.57934207,39053.7040289263,914401.767277699,351351.842390409,1190432.55925683
"building_highrise",12432756.3067665,234983.023553193,5755.80467759073,3119.45789498556,0,927451.400083065,24738.9956619814,35588.8557806611,0,10231533.0869789,0,28624.8819620907,10412.1686577424,780670.940505743,17410.4061633386,132470.718031526
"building_lightweight",46913394.3196874,0,822633.537956852,1313210.03615227,0,6069013.43027508,0,0,0,29065550.5917218,0,451976.553626712,283617.300734499,4305606.37096965,0,4601779.94736657
"building_multifamily",53893831.6214676,3036257.32025671,100992.285369769,531137.476096213,55759.2223716006,6161692.7445488,200536.426904738,7816.18255626038,11450140.7845726,26649232.0678825,351.486513061682,183504.478941888,86338.9538571239,2021539.97498298,776761.412398219,2631781.34391451
"building_singlefamily",657429355.622513,80590580.1110392,16714604.0270857,30679451.9578645,0,51033269.4705412,2401972.92753391,86497.9102149028,26500785.5991321,379384146.469357,130741.081142051,6476486.64415795,3357194.49888568,12572729.4429137,17274508.4047545,30226414.8136859
"building_skyscraper",10644248.09375,0,0,6880.51487350464,0,284394.503295898,61924.6195983887,0,0,9034880.24609375,0,282101.081176758,0,974068.510253906,0,0
"building",1165437108.98578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",30982690.2497559,25198069.8779297,0,0,0,0,0,312924.927000046,0,5471683.94281006,0,0,0,0,0,0
"other_parking",32991196.076355,32336450.5680084,0,0,0,0,0,654743.132987022,0,0,0,0,0,0,0,0
"other_remaining_impervious",308483213.017881,302360974.424089,0,0,0,0,0,6122161.32885814,0,0,0,0,0,0,0,0
"other",372456925.258087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",2483184.06369019,0,0,0,0,0,0,0,0,189650.712772369,0,0,0,2293534.79582977,0,0
"rail_other",872163.187503815,56699.7353072166,0,0,0,0,0,0,0,789746.524681091,1417.49201120436,0,0,24299.8710800409,0,0
"rail_railway",68145138.7210174,64396371.2749977,0,0,0,0,0,0,0,401348.446216537,0,0,0,1375950.82967661,0,1971619.40186188
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",98037.3115234375,6373.44104003906,0,0,0,0,0,0,0,88772.9658203125,159.335943222046,0,0,2731.47427368164,0,0
"rail_tunnel",3502383.3034668,0,0,0,0,0,0,0,0,3375143.25164795,0,0,0,127242.880062103,0,0
"rail",75100946.1295104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",8511834.015625,0,0,0,0,0,0,0,0,7909684.8503418,0,0,0,602145.630935669,0,0
"street_bridge_other",6235336.40226364,0,0,0,0,0,0,0,0,5642660.75153732,0,0,0,592671.914661169,0,0
"street_local",526670414.387634,509783848.984619,0,0,0,0,0,5934049.18865871,0,10951818.6272564,0,0,0,0,0,0
"street_motorway",112913459.415527,91832017.4110107,0,0,0,0,0,1140425.95389175,0,19941043.5064697,0,0,0,0,0,0
"street_motorway_elevated",2281549.48413086,2167470.74255371,0,0,0,0,0,114077.44228363,0,0,0,0,0,0,0,0
"street_other_elevated",1315049.74377728,1249296.43308353,0,0,0,0,0,65752.4718644619,0,0,0,0,0,0,0,0
"street_primary",30386243.7720947,26662794.986084,0,0,0,0,0,421503.235334396,0,3301948.94198608,0,0,0,0,0,0
"street_secondary",68886130.6378555,62509018.3293228,0,0,0,0,0,978753.406386256,0,5398073.34775162,0,0,0,0,0,0
"street_tertiary",86955502.1072998,81464819.8104248,0,0,0,0,0,1213184.06335831,0,4277587.22073364,0,0,0,0,0,0
"street_track",29366859.212267,29162758.9723209,0,0,0,0,0,71727.1608743053,0,132378.921304903,0,0,0,0,0,0
"street_tunnel",2639895.86528015,0,0,0,0,0,0,0,0,2543987.09450531,0,0,0,95908.4469563961,0,0
"street",876161822.921858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
