"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";3270613346,02063;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";436785918,682858;116718046,778757;180,382000972453;3885091,6245774;0;13222306,1257641;153324,722550631;1376896,16794394;0;264305698,054119;53771,2589243087;8950435,69960904;736509,657552898;27126823,6607535;0;256858,167988211
"building_commercial_innercity";18822836,8840485;1060435,18036842;35272,3024216369;185503,887129545;19474,312482167;2152019,97330427;70038,8995483369;2729,86202915944;3999051,54582024;9307443,6130619;122,759340379242;64090,3980823755;30154,5580325946;706038,075771213;271289,75845921;919169,605275631
"building_highrise";3938379,89356995;74436,5733020306;1823,29177444056;988,165018672124;0;293792,794316292;7836,68578332663;11273,6351731122;0;3241088,03316498;0;9067,63353252411;3298,30892325193;247296,655010223;5515,17066992819;41963,36403054
"building_lightweight";62200242,1078658;0;1090691,6739344;1741123,35160153;0;8046621,33142483;0;0;0;38536635,5875828;0;599254,184819229;376034,664468704;5708597,17503631;0;6101282,76849532
"building_multifamily";110079633,273605;6201635,56744814;206279,336096302;1084863,48802459;113889,649525441;12585442,1286955;409601,000897437;15964,7672033869;23387248,053895;54431768,2780533;717,921188570734;374813,162664726;176349,865234427;4129049,17727661;1586556,9210158;5375485,06536388
"building_singlefamily";1045781754,58223;211639612,238762;13001724,0552397;21564963,2252192;0;117272331,794703;3228854,44193614;463309,820519652;141946565,960042;433370472,921534;343437,130535134;5371537,21633981;4299368,15678853;7390774,22305304;26734697,2190861;59154179,9087625
"building_skyscraper";2206412,75;0;0;1426,24035644531;0;58951,2578125;12836,1611328125;0;0;1872811,75;0;58475,859375;0;201911,640625;0;0
"building";1679814913,18649;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";29824754,4238281;24256326,6630859;0;0;0;0;0;301229,799720764;0;5267189,97717285;0;0;0;0;0;0
"other_parking";7760677,84590149;7606660,77301788;0;0;0;0;0;154018,544989109;0;0;0;0;0;0;0;0
"other_remaining_impervious";253118408,323944;248094928,750263;0;0;0;0;0;5023384,66878551;0;0;0;0;0;0;0;0
"other";290703768,363007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";1554743,57475281;0;0;0;0;0;0;0;0;118741,908495903;0;0;0;1436001,75313568;0;0
"rail_other";1126128,13171387;73209,7165546417;0;0;0;0;0;0;0;1019711,01191711;1830,25304177403;0;0;31375,6833400726;0;0
"rail_railway";68729181,3310547;64948120,9775391;0;0;0;0;0;0;0;404787,777751923;0;0;0;1387740,11429977;0;1988512,91769409
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";41471,5078125;2696,07983398438;0;0;0;0;0;0;0;37552,556640625;67,4020023345947;0;0;1155,46273803711;0;0
"rail_tunnel";179617,149597168;0;0;0;0;0;0;0;0;173091,600769043;0;0;0;6525,55325126648;0;0
"rail";71631146,0081635;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";8337102,58349609;0;0;0;0;0;0;0;0;7747317,78125;0;0;0;589784,730407715;0;0
"street_bridge_other";7425409,3784256;0;0;0;0;0;0;0;0;6719620,4672699;0;0;0;705789,701665878;0;0
"street_local";579935968,96981;561698201,165146;0;0;0;0;0;6409099,21029115;0;11828540,0674019;0;0;0;0;0;0
"street_motorway";164375052,174316;133685536,022949;0;0;0;0;0;1660189,08122253;0;29029431,8494263;0;0;0;0;0;0
"street_motorway_elevated";2226148,34655762;2114841,02709961;0;0;0;0;0;111307,441452026;0;0;0;0;0;0;0;0
"street_other_elevated";1566072,35566902;1487768,54633522;0;0;0;0;0;78303,6074713469;0;0;0;0;0;0;0;0
"street_primary";46269674,6364746;40599888,2324371;0;0;0;0;0;641829,293024212;0;5027932,09564257;0;0;0;0;0;0
"street_secondary";188949538,582336;171457759,588623;0;0;0;0;0;2684645,75387907;0;14806504,079752;0;0;0;0;0;0
"street_tertiary";220923343,171092;206973305,42379;0;0;0;0;0;3082275,19589584;0;10867844,7858143;0;0;0;0;0;0
"street_track";7734373,75151253;7686493,6258316;0;0;0;0;0;16829,0261092745;0;31059,4274560437;0;0;0;0;0;0
"street_tunnel";720047,969284058;0;0;0;0;0;0;0;0;693888,450408936;0;0;0;26159,5939502716;0;0
"street";1228462552,72;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
