"category";"total"
"grand_total_t_10m2";738862738,664057
"building_commercial_industrial";48448717,7275939
"building_commercial_innercity";921401,820228577
"building_highrise";288741,008056641
"building_lightweight";8204481,69649076
"building_multifamily";419581,413497925
"building_singlefamily";64730311,0002327
"building_skyscraper";0
"building";123013277,290148
"other_airport";11395541,3371582
"other_parking";3258464,89231873
"other_remaining_impervious";35800825,1730042
"other";50454802,5832214
"rail_bridge";530650,509216309
"rail_other";47469,3255157471
"rail_railway";47657072,0157394
"rail_subway_elevated";0
"rail_subway_surface";0
"rail_subway";0
"rail";48706088,4300461
"rail_tram";0
"rail_tunnel";470901,555664062
"street_bridge_motorway";2441045,37744141
"street_bridge_other";1484048,80319214
"street_local";241412326,227556
"street_motorway_elevated";649609,032958984
"street_motorway";97070137,3380127
"street_other_elevated";312996,553539276
"street_primary";2987288,59375
"street_secondary";68979344,5536575
"street_tertiary";33990518,9819946
"street";516688485,14953
"street_track";67003028,8067955
"street_tunnel";359272,205505371
